1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	36218.955345	0.000000	0.010246	636.959880	1455.2
1	34311.726430	0.000000	0.010246	527.368329	4.8
2	34290.130111	0.999993	0.009780	451.882216	4.7
3	31732.580227	0.396003	0.010056	398.447628	4.7
4	27544.305736	0.000000	0.010246	388.591014	5.6
5	30709.575975	0.000000	0.010246	438.970537	5.3
6	27540.667743	0.000000	0.010246	456.031308	7.6
7	28988.731645	0.976451	0.009791	356.353275	4.2
8	33942.437987	0.372462	0.010067	378.337559	5.5
9	27599.000018	0.000000	0.010246	379.582420	7.7
10	28906.073150	0.990910	0.009784	339.398663	9.3
11	33128.754123	1.051646	0.009757	417.306739	8.0
12	30220.570956	0.501136	0.010007	508.108070	5.0
13	29405.358568	0.000000	0.010246	311.882387	6.2
14	30627.476368	0.000000	0.010246	406.195310	8.5
15	29305.930806	0.000000	0.010246	331.150975	6.7
16	28093.494737	0.000000	0.010246	409.325315	6.8
17	26436.418067	0.000000	0.010246	378.294183	12.0
18	29829.813988	0.000000	0.010246	335.243806	5.1
19	35280.717117	0.000000	0.010246	366.966796	4.6
20	30452.309935	0.000000	0.010246	348.155164	14.7
21	31742.763814	1.000000	0.009780	367.075512	7.2
22	26926.951778	1.375376	0.009616	322.950734	8.0
23	29081.385276	0.812877	0.009864	360.094340	7.1
24	26098.652829	1.811356	0.009432	271.009441	10.4
25	27800.943271	1.219259	0.009684	376.446509	5.4
26	28601.844368	0.615282	0.009954	354.868793	10.1
27	26037.232576	0.011292	0.010240	344.357288	7.3
28	26002.995819	0.000000	0.010246	347.440298	7.0
29	27005.646223	0.944082	0.009805	315.548512	11.8
30	24629.641661	0.897947	0.009826	381.713629	5.3
31	26828.293660	0.295663	0.010104	443.142023	6.4
32	26977.702630	1.295663	0.009650	298.824340	9.0
33	26840.323481	2.294443	0.009237	341.442615	6.6
34	27070.707490	1.695824	0.009480	407.848315	6.9
35	30940.751101	1.382991	0.009613	290.496168	8.0
36	30818.933660	0.779765	0.009879	349.302669	7.4
37	26276.170835	0.176108	0.010161	256.545284	5.1
38	22927.411096	0.000000	0.010246	403.563120	4.5
39	27220.629128	0.000000	0.010246	285.263959	7.9
40	27621.308333	0.999918	0.009780	433.027085	6.9
41	26852.178891	0.402826	0.010053	341.911018	4.3
42	27721.331338	0.000000	0.010246	400.033494	4.5
43	25252.134306	0.999997	0.009780	333.619032	4.5
44	26836.297271	1.891773	0.009399	377.457935	6.6
45	28366.846077	2.891724	0.009006	245.719445	6.7
46	26649.060173	2.318904	0.009227	371.368850	9.9
47	24619.056700	2.766476	0.009053	289.937119	5.8
48	26874.783409	2.162488	0.009289	425.007023	7.5
49	27353.111823	3.162244	0.008905	446.448732	9.6
50	22932.765627	4.162244	0.008551	365.579177	7.0
51	22412.954204	5.162244	0.008224	279.858667	9.6
52	27555.379556	6.044353	0.007956	258.047166	5.9
53	24550.747391	5.440419	0.008138	416.265764	6.1
54	27587.801392	6.434448	0.007843	272.845892	8.3
55	24963.516037	6.592574	0.007798	282.135566	5.8
56	24316.574159	5.993605	0.007971	303.888830	4.4
57	22539.001081	5.389703	0.008153	352.349499	5.1
58	25326.523178	6.389702	0.007856	324.818968	7.2
59	25092.988801	7.286648	0.007606	378.193968	7.3
60	25641.783937	6.784606	0.007744	370.856291	9.7
61	23311.819825	7.784603	0.007475	405.503237	6.3
62	24829.049686	7.183963	0.007634	292.471144	7.6
63	21934.683301	8.181445	0.007373	316.757197	6.7
64	23164.806472	8.455914	0.007305	313.799546	5.9
65	24990.553787	7.854271	0.007457	323.292702	6.0
66	24655.942036	8.848056	0.007209	309.432655	6.9
67	25124.717908	9.628004	0.007025	281.384601	8.5
68	24277.706171	9.990183	0.006943	311.958500	8.1
69	25757.242759	10.980547	0.006728	314.976787	8.3
70	24404.074763	10.381293	0.006856	323.368723	6.5
71	23256.743137	9.777307	0.006991	453.962406	7.2
72	26532.453149	9.275717	0.007107	297.638872	7.2
73	23960.518563	8.671727	0.007251	282.374498	10.4
74	26761.490418	8.458593	0.007304	342.917664	4.6
75	24476.107724	7.854603	0.007457	280.165786	6.3
76	25220.772934	8.851376	0.007208	381.567028	9.2
77	25176.067975	9.821544	0.006981	302.474429	5.4
78	24425.372241	9.217554	0.007120	456.392959	7.0
79	23019.152725	8.613663	0.007266	315.952284	6.9
80	24912.567807	9.613663	0.007028	327.792394	10.8
81	22483.803360	9.010433	0.007170	221.094634	4.4
82	21820.120749	8.934072	0.007188	287.911416	5.3
83	22757.388363	8.428748	0.007311	343.159998	9.9
84	19953.689929	8.091876	0.007396	243.171697	7.1
85	22228.064918	7.489657	0.007552	283.534775	7.0
86	21434.736324	7.143412	0.007645	330.745687	7.0
87	22466.306761	6.637002	0.007785	342.387096	9.8
88	24166.384797	7.636976	0.007513	330.873356	6.2
89	23873.473182	8.636583	0.007260	372.341945	7.9
90	19771.454684	9.636569	0.007023	325.213767	7.3
91	20668.639917	9.041867	0.007162	294.758696	7.0
92	21104.241954	8.686434	0.007248	352.123277	7.3
93	23726.841417	8.082585	0.007398	311.366897	9.4
94	19867.499901	8.855261	0.007207	259.641267	6.7
95	24271.560308	9.837864	0.006977	332.083207	4.9
96	19529.173238	9.235799	0.007116	264.376703	6.7
97	24943.151391	10.217669	0.006892	323.258735	7.6
98	25071.711885	11.074448	0.006708	241.703665	6.9
99	22486.656241	12.012024	0.006518	513.080628	5.5
100	24074.495754	11.408034	0.006639	362.968538	7.3
101	22258.062623	12.408034	0.006440	334.203914	9.4
102	21849.698725	13.408032	0.006253	361.794840	5.7
103	24371.363422	14.370607	0.006083	309.854025	6.9
104	19901.731808	13.772149	0.006188	339.079363	8.3
105	22376.542672	13.621668	0.006215	392.071528	7.4
106	25265.116358	13.205730	0.006290	377.581094	7.3
107	19415.731177	14.205730	0.006112	391.310226	9.4
108	22408.687784	15.205730	0.005943	356.669626	6.0
109	24977.480604	14.601740	0.006044	369.929513	6.7
110	20426.056617	14.901723	0.005993	310.659736	5.1
111	23378.580420	14.330736	0.006090	292.611932	7.4
112	21323.786256	15.318276	0.005924	286.654846	8.7
113	20379.473558	14.720305	0.006024	317.270472	6.7
114	21309.054659	15.693063	0.005864	313.596568	8.2
115	22856.436420	16.192104	0.005785	251.666080	6.8
116	20483.531849	17.101503	0.005647	283.261459	11.8
117	19712.743869	18.099808	0.005503	360.631266	10.2
118	20544.017704	17.498669	0.005589	301.591915	6.0
119	20956.207138	17.239922	0.005627	262.934704	6.7
120	22134.882512	18.232903	0.005484	298.228773	6.9
121	19466.750155	19.226040	0.005349	274.768977	11.7
122	22881.593944	20.041313	0.005243	320.412877	5.8
