1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.342373	0.000000	714.635722	0.003731	948.0
1	-1.372812	0.000000	714.635722	0.004443	29.0
2	-1.357065	1.000000	682.152280	0.004209	35.2
3	-1.340715	0.200000	707.893876	0.002806	15.6
4	-1.359392	0.000000	714.635722	0.004325	47.3
5	-1.334507	1.000000	682.152280	0.003919	31.4
6	-1.355269	2.000000	652.493485	0.003507	18.6
7	-1.375934	3.000000	625.306257	0.004418	43.6
8	-1.351956	2.200000	646.868541	0.003454	20.6
9	-1.346443	3.200000	620.138436	0.003942	20.9
10	-1.320569	2.400000	641.339750	0.002719	22.8
11	-1.362851	3.400000	615.055334	0.003418	10.0
12	-1.368228	2.600000	635.904668	0.003003	29.9
13	-1.356508	3.600000	610.054885	0.003543	17.4
14	-1.378441	4.600000	586.224616	0.003922	29.9
15	-1.375833	5.600000	564.186096	0.003186	17.9
16	-1.321296	4.800000	581.680239	0.003068	11.3
17	-1.328941	5.799992	559.975916	0.004128	20.5
18	-1.340831	6.799992	539.832891	0.003586	11.3
19	-1.329780	7.799992	521.088689	0.003897	10.1
20	-1.360289	8.799992	503.602486	0.003982	9.8
21	-1.372854	7.999992	517.494973	0.003531	12.6
22	-1.398590	8.999992	500.245136	0.004060	11.3
23	-1.343562	9.999992	484.108192	0.003305	9.8
24	-1.370051	10.999992	468.979807	0.004190	10.4
25	-1.362486	11.999992	454.768294	0.003395	8.0
26	-1.331262	12.999992	441.392753	0.003550	11.5
27	-1.397839	13.999992	428.781529	0.004428	8.1
28	-1.357985	14.999992	416.870928	0.003437	7.8
29	-1.396550	15.999992	405.604144	0.004670	8.4
30	-1.385349	15.199992	414.567774	0.003692	8.6
31	-1.376918	16.199992	403.423476	0.003150	9.1
32	-1.335367	15.399992	412.289928	0.002977	7.8
33	-1.394304	16.399992	401.266131	0.004276	12.6
34	-1.335755	17.399992	390.816490	0.002845	7.7
35	-1.407730	16.599992	399.131736	0.003959	9.2
36	-1.356998	17.599992	388.791534	0.003804	17.8
37	-1.351822	18.599992	378.973564	0.003775	14.8
38	-1.400541	19.599992	369.639238	0.003119	13.1
39	-1.350072	20.599992	360.753677	0.003075	8.0
40	-1.395510	21.599992	352.285280	0.003091	10.5
41	-1.355993	20.799992	359.027583	0.003174	8.3
42	-1.404883	21.799992	350.639086	0.003064	12.8
43	-1.332506	20.999992	357.317927	0.003876	8.2
44	-1.363938	21.999992	349.008207	0.003745	7.8
45	-1.360848	22.999992	341.076201	0.004379	9.9
46	-1.362183	23.999992	333.496728	0.003432	7.8
47	-1.369602	24.999992	326.246798	0.004076	11.4
48	-1.371667	25.999992	319.305376	0.004472	8.7
49	-1.374981	26.999992	312.653179	0.003065	8.9
50	-1.378560	26.199992	317.952387	0.003583	9.3
51	-1.381036	25.399992	323.434325	0.003471	8.1
52	-1.339810	24.599992	329.108613	0.003188	8.6
53	-1.393679	23.799992	334.985553	0.003684	10.5
54	-1.352920	24.799992	327.671457	0.002667	10.1
55	-1.366110	25.799992	320.669931	0.003132	7.7
56	-1.379498	24.999992	326.246800	0.003795	8.8
57	-1.349307	25.999992	319.305378	0.003343	8.6
58	-1.392216	26.999992	312.653181	0.003212	13.1
59	-1.367652	27.999992	306.272503	0.003544	11.0
60	-1.365664	28.999992	300.147052	0.003059	7.8
61	-1.360572	29.829138	295.250925	0.002705	8.1
62	-1.368743	30.829136	289.554321	0.003204	7.7
