1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.297640	0.000000	573.425076	0.004078	648.5
1	-1.329419	0.000000	573.425076	0.004315	7.7
2	-1.309874	0.000000	573.425076	0.005524	7.8
3	-1.280857	0.000000	573.425076	0.004063	7.7
4	-1.327333	0.999978	547.360855	0.005087	7.7
5	-1.290897	0.573851	558.172319	0.003416	7.5
6	-1.289062	0.147725	569.419485	0.004940	8.3
7	-1.313892	0.000000	573.425076	0.005019	8.0
8	-1.330054	1.000000	547.360300	0.004325	7.8
9	-1.284288	2.000000	523.562026	0.004076	7.5
10	-1.302806	3.000000	501.746942	0.003104	7.6
11	-1.320995	4.000000	481.677064	0.003131	7.5
12	-1.339097	3.706298	487.403123	0.003521	7.4
13	-1.348048	3.280171	495.957237	0.004023	7.3
14	-1.334755	4.279889	476.344121	0.003774	7.3
15	-1.336051	5.279889	458.218317	0.003223	7.5
16	-1.312735	4.853788	465.770292	0.003784	8.5
17	-1.305758	5.853610	448.428591	0.003290	11.7
18	-1.320347	6.853055	432.337736	0.003607	11.8
19	-1.330098	6.426928	439.054877	0.004506	13.2
20	-1.330355	7.426928	423.609843	0.003413	12.5
21	-1.348318	8.426928	409.214530	0.004086	13.0
22	-1.334473	8.001374	415.219180	0.004264	7.7
23	-1.313117	9.001349	401.379510	0.003994	8.6
24	-1.349771	10.001349	388.432347	0.003072	7.3
25	-1.323842	9.575222	393.845923	0.003789	7.9
26	-1.324636	10.575222	381.372664	0.003516	7.6
27	-1.340167	11.575222	369.665218	0.003949	8.0
28	-1.341072	12.575222	358.655157	0.003717	7.6
29	-1.355298	12.150270	363.252748	0.003664	7.8
30	-1.341166	13.131592	352.808813	0.003887	7.6
31	-1.351935	14.131592	342.766327	0.003449	7.6
32	-1.324956	15.131592	333.279717	0.003506	7.7
33	-1.303624	14.708071	337.232630	0.003175	7.7
34	-1.318203	15.707888	328.047384	0.003565	7.5
35	-1.347858	16.706996	319.355233	0.004414	7.8
36	-1.329116	17.706996	311.104652	0.003509	8.2
37	-1.330168	17.280870	314.567737	0.003426	7.6
38	-1.353467	18.280593	306.561733	0.004219	7.5
39	-1.318687	19.280454	298.952111	0.003046	7.7
40	-1.362575	20.280318	291.711093	0.003625	7.8
41	-1.357854	19.975879	293.878421	0.004675	7.6
42	-1.351687	19.549753	296.966709	0.003451	7.6
43	-1.328048	20.529056	289.963886	0.002748	7.5
44	-1.315396	20.102931	292.970025	0.003847	7.7
45	-1.321340	21.102930	286.011606	0.003218	7.4
46	-1.365807	22.102918	279.376136	0.004391	7.4
47	-1.327322	21.676894	282.165019	0.004472	7.4
48	-1.337266	22.676894	275.704738	0.003420	7.6
49	-1.355424	22.611749	276.116572	0.004015	7.5
50	-1.328719	22.185654	278.840897	0.004213	7.6
51	-1.333852	23.185653	272.530239	0.003251	7.6
52	-1.328718	24.185653	266.498895	0.003142	8.4
53	-1.354753	25.094554	261.244021	0.004438	8.4
54	-1.315881	25.146958	260.947356	0.003132	7.5
55	-1.311699	26.146958	255.412591	0.004014	7.5
56	-1.334092	25.889380	256.815651	0.003281	8.4
57	-1.336781	26.889380	251.452966	0.004138	7.6
58	-1.345575	26.463416	253.709646	0.004621	7.6
59	-1.315332	27.463416	248.474571	0.003225	7.5
60	-1.328997	27.037290	250.678725	0.003947	7.7
61	-1.335879	28.037290	245.566723	0.003249	7.6
62	-1.325152	29.036587	240.662429	0.003434	7.5
63	-1.321180	29.843315	236.843852	0.003396	7.5
64	-1.319857	29.418293	238.840425	0.003989	7.6
65	-1.337095	30.418293	234.195377	0.004118	7.3
66	-1.349105	30.010617	236.067063	0.004330	7.3
67	-1.354344	31.009895	231.531453	0.004381	8.3
68	-1.335781	32.009895	227.163750	0.003872	7.4
69	-1.312012	33.008682	222.962794	0.002965	8.0
70	-1.325039	34.008682	218.909565	0.004117	9.2
71	-1.337147	33.582555	220.618594	0.003254	7.7
72	-1.311986	34.582555	216.649388	0.003064	7.7
73	-1.277853	34.156431	218.323166	0.003272	7.5
74	-1.297272	33.730306	220.023009	0.003948	7.8
75	-1.326757	34.730306	216.075014	0.002473	7.6
76	-1.309962	35.720723	212.302066	0.003486	7.5
77	-1.349234	35.294596	213.909103	0.003613	8.2
78	-1.335195	36.294595	210.175613	0.003903	7.4
79	-1.363897	35.868469	211.750499	0.004624	7.5
80	-1.330210	36.868469	208.091330	0.003089	10.7
81	-1.318242	37.868007	204.558081	0.003911	11.7
82	-1.314609	37.735949	205.017996	0.004123	12.7
83	-1.315106	38.655860	201.856558	0.003016	13.2
84	-1.296357	38.229794	203.308602	0.003511	12.4
85	-1.342314	37.931732	204.336886	0.003049	12.8
86	-1.311555	38.931732	200.927393	0.004565	8.3
87	-1.365275	38.505605	202.366257	0.004106	8.8
88	-1.336131	38.079479	203.825878	0.004246	7.7
89	-1.315290	39.079479	200.433274	0.002697	7.7
90	-1.373771	38.653353	201.865043	0.004737	7.5
91	-1.340973	39.606669	198.689793	0.003810	7.6
92	-1.371209	40.606669	195.464658	0.004438	9.0
93	-1.346017	41.606555	192.342904	0.002903	8.5
94	-1.293659	42.606555	189.318956	0.003315	8.7
95	-1.353510	42.180434	190.595820	0.002998	8.4
96	-1.346309	41.754311	191.890029	0.003901	9.5
97	-1.304382	41.328185	193.201946	0.003134	8.7
98	-1.333051	40.907713	194.514157	0.004137	8.7
99	-1.322859	41.881305	191.502493	0.002924	8.4
100	-1.324800	41.455230	192.808938	0.004076	8.0
101	-1.376874	41.961779	191.257724	0.003574	8.0
102	-1.292024	41.535653	192.560980	0.003772	7.7
103	-1.342595	42.535653	189.530225	0.002660	7.6
104	-1.341370	42.220617	190.474677	0.003231	7.5
105	-1.376841	41.794491	191.767247	0.004513	7.9
106	-1.340216	42.659741	189.160784	0.004816	7.5
107	-1.350698	43.659741	186.235304	0.002545	7.2
108	-1.302613	43.233625	187.470761	0.004607	7.2
109	-1.344452	44.233113	184.598375	0.003520	7.3
110	-1.317432	43.806986	185.812168	0.003150	8.0
111	-1.326772	44.806986	182.988576	0.003520	7.2
112	-1.323624	45.803519	180.258867	0.002699	7.2
113	-1.336767	45.377393	181.416084	0.003246	7.3
114	-1.344294	44.987842	182.487049	0.005100	7.4
115	-1.340265	45.987842	179.762867	0.004822	7.2
116	-1.370647	46.987842	177.118823	0.003849	7.2
117	-1.316433	47.911786	174.744079	0.003396	7.3
118	-1.349194	47.487450	175.826763	0.002760	7.4
119	-1.355664	47.061339	176.927560	0.003542	7.2
120	-1.333430	47.979892	174.571549	0.003664	7.2
121	-1.356170	48.382088	173.559588	0.003649	7.7
122	-1.343554	49.379576	171.099732	0.004556	7.8
123	-1.362667	50.379576	168.702692	0.003581	7.7
124	-1.351790	49.953459	169.715851	0.003858	8.5
125	-1.355634	50.953458	167.357162	0.004765	7.6
126	-1.327683	51.953458	165.063136	0.003763	8.9
127	-1.348480	52.953458	162.831149	0.002800	11.0
128	-1.322534	52.528484	163.772269	0.003464	8.5
129	-1.326927	53.378844	161.899889	0.002860	8.9
130	-1.334517	54.378844	159.752073	0.004877	8.5
131	-1.322684	53.952717	160.660307	0.003591	9.9
