1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.783905	0.000000	1.062050	0.063444	3703.8
1	-0.789295	0.000000	1.062050	0.132188	4.6
2	-0.771440	1.000000	1.013775	0.037622	4.6
3	-0.781563	1.999994	0.969698	0.062984	4.3
4	-0.796823	2.436995	0.951618	0.218531	6.5
5	-0.785210	1.574040	0.987996	0.126236	5.5
6	-0.799309	2.574040	0.946086	0.114737	6.7
7	-0.772378	1.711079	0.982034	0.136378	5.9
8	-0.786174	2.710941	0.940623	0.069563	6.1
9	-0.766541	1.847979	0.976150	0.070982	8.4
10	-0.806192	0.990561	1.014211	0.081986	5.4
11	-0.796447	1.990561	0.970096	0.044330	5.4
12	-0.801043	1.127621	1.007928	0.100264	5.1
13	-0.820621	1.475524	0.992327	0.089439	12.2
14	-0.795284	2.475483	0.950057	0.116501	7.7
15	-0.810473	3.475483	0.911241	0.166185	22.5
16	-0.799695	4.475483	0.875471	0.079204	14.7
17	-0.792868	5.475445	0.842405	0.052007	11.8
18	-0.814055	4.699350	0.867845	0.181099	6.4
19	-0.791229	3.855149	0.897321	0.136503	13.3
20	-0.771877	4.855149	0.862616	0.062426	4.7
21	-0.804938	3.992188	0.892401	0.126019	5.0
22	-0.797753	3.129226	0.924317	0.073086	6.1
23	-0.777496	4.129226	0.887535	0.075154	4.8
24	-0.809644	5.108812	0.854235	0.106473	5.6
25	-0.782462	4.248253	0.883351	0.065429	5.3
26	-0.798694	5.248253	0.849697	0.097122	4.2
27	-0.828783	4.484292	0.875169	0.102317	8.0
28	-0.786151	5.484292	0.842124	0.072105	5.0
29	-0.777319	6.483086	0.811519	0.075185	5.4
30	-0.795983	5.895401	0.829252	0.123819	4.3
31	-0.779388	6.895401	0.799525	0.113888	5.3
32	-0.791895	6.034803	0.824976	0.064160	4.4
33	-0.779708	7.034747	0.795551	0.048542	6.8
34	-0.813480	8.034134	0.768167	0.032745	4.2
35	-0.797372	7.363189	0.786338	0.092431	4.9
36	-0.814875	6.511503	0.810681	0.068049	6.4
37	-0.772951	7.413985	0.784932	0.083709	4.1
38	-0.775917	8.413985	0.758247	0.108298	5.1
39	-0.786841	9.403462	0.733570	0.051685	4.2
40	-0.779690	10.389979	0.710515	0.120331	4.2
41	-0.773582	11.389973	0.688579	0.151360	4.3
42	-0.765233	12.389973	0.667957	0.054810	4.3
43	-0.807568	13.389972	0.648534	0.146934	4.4
44	-0.767313	14.389954	0.630209	0.052060	4.7
45	-0.772033	15.389954	0.612891	0.085041	4.4
