1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.406778	0.000000	311.291853	0.008649	210.6
1	-1.432252	0.000000	311.291853	0.008711	8.3
2	-1.451451	1.000000	297.142223	0.010774	7.3
3	-1.392180	2.000000	284.222996	0.009476	7.3
4	-1.468463	3.000000	272.380371	0.007812	7.8
5	-1.444491	4.000000	261.485156	0.009276	7.2
6	-1.437553	5.000000	251.428035	0.010741	9.4
7	-1.459970	6.000000	242.115886	0.011519	8.0
8	-1.406979	7.000000	233.468890	0.009980	7.1
9	-1.438464	8.000000	225.418238	0.007544	7.2
10	-1.416842	9.000000	217.904297	0.009341	7.2
11	-1.413931	10.000000	210.875126	0.008609	7.3
12	-1.535158	11.000000	204.285278	0.007803	8.1
13	-1.463884	12.000000	198.094815	0.009912	9.1
14	-1.500679	13.000000	192.268497	0.012861	7.2
15	-1.442615	14.000000	186.775112	0.009731	8.0
16	-1.453456	15.000000	181.586914	0.006282	7.7
17	-1.475582	16.000000	176.679160	0.007121	8.0
18	-1.444759	17.000000	172.029708	0.005706	8.2
19	-1.422899	18.000000	167.618690	0.004066	10.8
20	-1.452866	18.997297	163.439266	0.005162	8.5
21	-1.467544	19.825040	160.125477	0.004921	8.6
22	-1.465866	20.823408	156.303112	0.005273	8.5
23	-1.446999	21.815490	152.681398	0.004765	7.6
24	-1.467370	21.500245	153.813910	0.005798	8.0
25	-1.484254	21.628372	153.351597	0.004502	9.7
26	-1.491355	22.628333	149.836781	0.004557	7.9
27	-1.452640	22.286756	151.019144	0.005312	7.6
28	-1.425416	23.129780	148.134182	0.004921	7.5
29	-1.503357	22.967672	148.680351	0.005233	7.6
30	-1.461891	23.957290	145.407538	0.006050	7.7
31	-1.431263	24.957290	142.243567	0.005152	8.3
32	-1.498956	25.957290	139.214356	0.004170	8.7
33	-1.467307	25.615754	140.234327	0.004574	7.7
34	-1.442116	25.460886	140.701770	0.006849	8.1
35	-1.487414	26.460882	137.737197	0.005196	7.8
36	-1.497332	27.460882	134.894962	0.004099	7.5
37	-1.437519	27.140015	135.794077	0.003721	7.2
38	-1.478271	26.816414	136.713074	0.004165	9.1
39	-1.455537	26.480781	137.679473	0.004104	8.2
40	-1.505091	26.139396	138.676554	0.004278	7.6
41	-1.491453	25.798458	139.686843	0.004671	7.5
42	-1.489514	25.456879	140.713905	0.005465	7.5
43	-1.487835	25.115355	141.756013	0.007219	7.5
44	-1.465628	26.115355	138.747312	0.005279	7.4
45	-1.419529	27.115355	135.863673	0.004137	7.6
46	-1.520164	26.773778	136.835083	0.004714	9.1
47	-1.455615	26.808865	136.734661	0.004844	7.6
48	-1.451820	27.808692	133.933705	0.004018	7.6
49	-1.477750	27.516489	134.740355	0.004067	8.0
50	-1.468820	27.175014	135.695424	0.005007	8.0
51	-1.494171	27.962056	133.514182	0.005135	7.9
52	-1.454737	28.962056	130.841871	0.004403	8.5
53	-1.475931	29.961784	128.275118	0.004249	12.7
54	-1.459109	29.632765	129.108670	0.005341	10.2
55	-1.505290	29.529627	129.372198	0.004735	7.7
56	-1.448268	29.664815	129.026997	0.004707	8.5
57	-1.489869	30.664812	126.529619	0.003775	19.0
58	-1.476538	30.815233	126.162298	0.003487	8.8
59	-1.494447	30.473683	126.999440	0.003819	11.6
60	-1.489285	30.132170	127.847673	0.005348	12.5
61	-1.481429	30.909736	125.932616	0.004124	10.5
62	-1.487958	31.864616	123.657929	0.006319	16.4
63	-1.455679	32.864302	121.362920	0.005754	9.8
64	-1.516953	33.864302	119.150863	0.004176	9.3
65	-1.530765	33.522728	119.897318	0.004444	8.7
66	-1.472367	33.181555	120.652294	0.003867	9.4
67	-1.500987	32.839978	121.417750	0.005063	8.5
68	-1.463902	32.507126	122.173053	0.003713	8.8
69	-1.502063	32.165549	122.957988	0.004333	7.8
70	-1.520018	31.823991	123.753030	0.003803	7.6
71	-1.448870	31.509463	124.494301	0.005077	7.4
72	-1.498149	31.167955	125.309280	0.005759	8.7
73	-1.499882	32.167463	122.953561	0.005162	9.1
74	-1.484003	33.167065	120.684570	0.003577	7.9
75	-1.471508	32.826694	121.447714	0.004092	7.4
76	-1.544681	32.485115	122.223331	0.006188	7.5
77	-1.477191	32.256273	122.748525	0.005897	7.5
78	-1.489644	33.256273	120.486141	0.005079	8.2
79	-1.489695	34.256273	118.305644	0.004252	11.9
80	-1.481359	35.253597	116.208193	0.007013	9.5
81	-1.511867	36.229990	114.225583	0.008344	9.3
82	-1.525442	37.229990	112.263955	0.005742	7.9
83	-1.534815	38.229990	110.368564	0.005463	9.5
84	-1.460969	39.229670	108.536689	0.005088	8.7
85	-1.460501	39.965111	107.227377	0.003962	9.0
86	-1.489686	39.623542	107.831524	0.004935	7.2
87	-1.514235	39.283590	108.439608	0.005430	7.8
88	-1.519269	38.953861	109.035995	0.005714	7.8
89	-1.521328	39.953810	107.247258	0.004397	7.6
90	-1.561674	40.953771	105.516238	0.004473	7.6
91	-1.536758	40.619274	106.089029	0.005865	9.1
92	-1.538740	41.619270	104.394843	0.005048	7.6
93	-1.505861	42.619270	102.753912	0.006102	8.0
94	-1.511267	43.619270	101.163769	0.004241	7.9
95	-1.498553	44.223580	100.226466	0.006076	7.5
96	-1.523710	44.759959	99.408956	0.003730	7.6
97	-1.492046	44.418380	99.928015	0.004290	9.8
98	-1.510559	44.159830	100.324523	0.005141	7.6
99	-1.489598	43.818291	100.853151	0.005497	7.5
100	-1.531248	44.818291	99.320854	0.005698	7.5
101	-1.536408	45.818291	97.834422	0.004693	7.1
102	-1.519098	46.818291	96.391827	0.004904	7.9
103	-1.518470	46.476712	96.879778	0.004195	8.5
104	-1.454126	46.135298	97.372456	0.004357	9.3
105	-1.528297	45.797192	97.865325	0.004057	7.6
106	-1.531559	46.751742	96.486507	0.004067	7.6
107	-1.519536	46.410408	96.975068	0.004895	7.4
108	-1.514104	46.068991	97.468723	0.005323	7.6
109	-1.586010	47.068963	96.036851	0.004270	7.5
110	-1.560825	48.039436	94.686882	0.003675	9.8
111	-1.498207	47.697868	95.157668	0.004618	7.6
112	-1.513003	47.356460	95.632935	0.006497	7.5
113	-1.498181	48.356460	94.254074	0.003533	7.6
114	-1.521407	48.632481	93.880454	0.003758	7.6
115	-1.525725	48.290906	94.343244	0.004430	8.1
116	-1.529840	47.952909	94.805701	0.004172	9.6
117	-1.481503	48.735698	93.741499	0.005155	7.8
118	-1.489258	48.394124	94.202918	0.003829	7.7
119	-1.491182	48.228096	94.428841	0.003760	7.6
120	-1.579040	47.887088	94.896287	0.003742	7.4
121	-1.482312	47.545530	95.369150	0.004747	8.6
122	-1.494974	47.206721	95.842885	0.003448	8.6
123	-1.473154	46.865475	96.324808	0.003537	9.1
124	-1.545918	46.523912	96.812058	0.003454	7.5
125	-1.490846	46.183106	97.303166	0.003676	8.0
126	-1.523009	45.841566	97.800355	0.003656	7.5
127	-1.551946	45.499995	98.302698	0.005191	7.7
128	-1.496936	45.160001	98.807871	0.004316	7.8
129	-1.571343	45.819909	97.832053	0.004455	9.5
130	-1.491488	45.478353	98.334700	0.005356	7.3
131	-1.552360	45.378479	98.482656	0.004375	7.6
132	-1.526678	46.378478	97.021023	0.004376	8.1
133	-1.546636	46.036906	97.515373	0.006267	8.1
134	-1.488148	47.036906	96.082102	0.004587	7.2
135	-1.538695	46.697063	96.564439	0.004459	10.0
136	-1.531036	47.670400	95.195730	0.004097	8.5
137	-1.550118	47.332029	95.667127	0.003846	7.7
138	-1.491970	46.990477	96.147713	0.005351	7.3
139	-1.471374	47.989286	94.755712	0.004115	8.7
140	-1.511025	48.989286	93.401852	0.003493	8.3
141	-1.580535	48.647722	93.859910	0.005285	9.1
142	-1.516202	48.306143	94.322503	0.004853	7.9
143	-1.503405	47.970014	94.782189	0.004155	7.6
144	-1.520967	47.812060	94.999756	0.005128	7.7
145	-1.521744	47.470485	95.473676	0.005069	7.6
146	-1.568725	48.445218	94.133608	0.004278	8.6
147	-1.536701	49.426665	92.821787	0.005754	7.5
148	-1.516039	49.580066	92.620045	0.003763	10.5
149	-1.543100	50.561079	91.350340	0.003540	7.7
150	-1.540369	50.220618	91.787029	0.003387	7.9
151	-1.570782	49.880061	92.228037	0.003880	8.1
152	-1.575143	49.617753	92.570616	0.005188	7.5
153	-1.489528	50.274623	91.717482	0.005181	8.3
154	-1.517124	49.933053	92.159136	0.003672	9.9
155	-1.490847	49.652189	92.525497	0.004386	7.5
156	-1.534192	49.310618	92.974989	0.004948	8.0
157	-1.510066	48.969040	93.428878	0.003775	7.4
158	-1.544914	49.688898	92.477449	0.004418	7.2
159	-1.586745	49.347325	92.926475	0.004132	7.7
160	-1.501841	49.005887	93.379702	0.004097	10.0
161	-1.539797	49.529701	92.686185	0.004143	8.2
162	-1.534348	49.856494	92.258712	0.003406	7.7
163	-1.479428	49.515244	92.705188	0.003636	8.3
164	-1.535206	49.174966	93.154714	0.003198	7.6
165	-1.549585	48.840624	93.600665	0.004017	8.0
166	-1.535760	48.649121	93.858024	0.004589	9.1
167	-1.494717	48.312541	94.313797	0.004130	7.4
168	-1.553293	48.030643	94.698943	0.004106	8.6
169	-1.527875	47.695921	95.160365	0.003535	7.8
170	-1.542710	48.513321	94.041384	0.003470	7.8
171	-1.526869	48.171822	94.505663	0.004571	7.7
172	-1.480867	49.002446	93.384293	0.004265	8.0
173	-1.550549	49.245230	93.061535	0.004071	8.9
174	-1.532900	48.906318	93.512705	0.005863	7.4
175	-1.529086	49.685514	92.481875	0.003545	7.7
176	-1.585130	49.343948	92.930936	0.004966	7.5
177	-1.566738	49.090228	93.267337	0.003671	7.4
178	-1.523469	49.058636	93.309394	0.005586	7.6
179	-1.546434	48.719874	93.762776	0.004605	8.8
180	-1.556073	49.681430	92.487219	0.004600	8.2
181	-1.549272	50.637744	91.252579	0.004102	7.6
182	-1.532403	51.634393	90.000462	0.003825	7.8
183	-1.528306	52.005924	89.542444	0.004307	7.4
184	-1.537899	53.001464	88.337832	0.004486	7.5
185	-1.502757	53.926817	87.246852	0.004032	7.4
186	-1.594637	53.807655	87.385829	0.004496	7.5
187	-1.533270	53.466745	87.785882	0.005635	9.3
188	-1.578370	53.854047	87.331670	0.004459	7.6
189	-1.542682	54.846885	86.188495	0.004030	7.5
190	-1.530875	54.617349	86.450120	0.003613	7.9
191	-1.509441	54.587670	86.484064	0.004229	7.2
192	-1.557101	54.408680	86.689343	0.004548	7.7
193	-1.491338	55.404109	85.559912	0.003822	8.1
194	-1.554924	56.403703	84.454989	0.004404	8.3
195	-1.590776	57.383183	83.399636	0.003086	7.4
196	-1.596924	57.041605	83.764665	0.003905	7.9
197	-1.533305	57.224613	83.568696	0.005428	8.3
198	-1.526448	57.819375	82.938096	0.003915	9.7
199	-1.539575	57.486801	83.289532	0.005460	8.1
200	-1.558763	58.486638	82.241859	0.004304	9.8
201	-1.566186	59.486638	81.220052	0.004823	7.9
202	-1.505821	59.316444	81.392161	0.003321	7.2
203	-1.547863	58.974878	81.739780	0.003465	7.4
204	-1.486993	58.637435	82.086130	0.003858	10.1
205	-1.553603	58.544370	82.182169	0.003390	7.6
206	-1.493927	58.202798	82.536591	0.004078	9.7
207	-1.542581	57.862030	82.893237	0.005241	8.7
208	-1.481663	57.587944	83.182338	0.004095	7.7
209	-1.572891	57.246370	83.545459	0.002826	7.7
210	-1.594482	56.958520	83.853938	0.003787	7.7
211	-1.521406	56.707632	84.124670	0.003745	8.2
212	-1.484845	56.367297	84.494730	0.004999	9.8
213	-1.606934	56.027957	84.866964	0.006693	7.7
214	-1.524981	57.027955	83.779319	0.005038	7.9
215	-1.509049	58.027955	82.719196	0.005430	8.2
216	-1.553017	59.027813	81.685712	0.003850	7.9
217	-1.506145	58.715352	82.005896	0.004384	7.9
218	-1.564430	58.397375	82.334320	0.004085	8.1
219	-1.525431	58.767075	81.952721	0.003198	9.2
220	-1.541077	58.600506	82.124213	0.003350	7.3
221	-1.575651	58.258928	82.478139	0.004871	7.5
222	-1.563658	58.973254	81.741439	0.003643	7.2
223	-1.553550	59.948282	80.756858	0.003531	8.2
224	-1.545561	59.611813	81.093932	0.003224	8.5
225	-1.547587	59.435294	81.271897	0.004033	9.7
226	-1.542225	59.096649	81.615510	0.004647	7.8
227	-1.584812	60.095514	80.610241	0.004286	7.2
228	-1.504917	59.753935	80.951212	0.004035	7.6
229	-1.530178	60.753598	79.961360	0.003627	8.1
230	-1.532237	61.681883	79.063619	0.004801	7.2
231	-1.562241	61.590452	79.151145	0.004430	8.0
232	-1.551877	61.250251	79.478528	0.005904	9.8
233	-1.578474	62.250251	78.523834	0.004676	7.2
234	-1.558974	63.250251	77.591803	0.005676	7.2
235	-1.549903	64.219008	76.709751	0.003532	7.2
236	-1.541065	63.877503	77.018394	0.004366	7.9
237	-1.522560	63.535942	77.329581	0.003503	7.1
238	-1.541751	63.199517	77.638556	0.004267	9.3
239	-1.524451	62.857988	77.954755	0.004058	7.5
240	-1.489038	63.857691	77.036375	0.004133	7.4
241	-1.520771	64.812155	76.179522	0.004017	7.9
242	-1.605037	64.470585	76.483961	0.003508	7.2
243	-1.575125	64.129012	76.790846	0.004395	8.2
244	-1.581627	63.837410	77.054791	0.006428	7.3
245	-1.540197	64.837410	76.157108	0.003755	10.7
246	-1.537764	65.837410	75.280100	0.004120	7.2
247	-1.598052	65.495843	75.577376	0.004042	7.8
248	-1.603477	65.157900	75.873819	0.004628	7.3
249	-1.564900	64.846889	76.148699	0.004047	8.4
250	-1.562815	65.846101	75.272567	0.002980	7.9
251	-1.530336	65.539969	75.538840	0.003678	9.0
252	-1.512318	65.198616	75.837980	0.003657	7.3
253	-1.600040	64.857563	76.139232	0.005153	7.3
254	-1.597860	64.567186	76.397615	0.004100	7.2
255	-1.576403	65.567030	75.515227	0.003302	7.3
256	-1.600606	65.226147	75.813765	0.003497	8.3
257	-1.551998	64.919934	76.083961	0.003855	7.6
258	-1.588867	64.578982	76.387084	0.003476	9.7
259	-1.557290	64.239414	76.691387	0.004222	7.4
260	-1.585283	64.328110	76.611669	0.004939	7.3
261	-1.550985	64.514743	76.444467	0.004744	7.9
262	-1.536186	65.514743	75.560866	0.004788	7.2
263	-1.552828	65.607108	75.480282	0.004446	7.3
264	-1.552517	66.607102	74.618709	0.004025	9.9
265	-1.580425	67.242545	74.081373	0.004206	7.2
266	-1.612993	66.978166	74.303991	0.003190	7.1
267	-1.560857	66.636739	74.593475	0.003376	7.7
268	-1.565951	66.301939	74.879538	0.004129	7.2
269	-1.520516	65.960368	75.173657	0.004990	7.9
270	-1.561691	66.960333	74.319056	0.004944	9.5
271	-1.555580	66.618754	74.608787	0.003240	7.3
272	-1.577871	67.618576	73.767028	0.004234	7.2
273	-1.528139	67.276998	74.052461	0.003193	7.2
274	-1.562764	66.935822	74.339771	0.004922	7.1
275	-1.621442	66.992752	74.291674	0.004327	8.6
276	-1.599373	67.992742	73.456877	0.005395	7.2
277	-1.575994	68.854561	72.752333	0.003775	10.4
278	-1.560411	68.512983	73.029953	0.004860	7.1
279	-1.576961	69.497808	72.235218	0.005579	7.3
280	-1.538772	70.497808	71.445743	0.003734	7.3
281	-1.509923	70.716343	71.275508	0.005453	7.1
282	-1.529552	70.409168	71.515024	0.004945	7.2
283	-1.540095	71.409168	70.741129	0.003856	7.3
284	-1.571680	71.248944	70.863997	0.003258	9.0
285	-1.552921	70.907421	71.127324	0.003892	7.4
286	-1.607689	70.575327	71.385264	0.004209	7.3
287	-1.572956	70.301617	71.599267	0.004024	8.0
288	-1.587152	70.589653	71.374098	0.005674	8.0
289	-1.540433	70.312095	71.591052	0.004602	7.6
290	-1.558021	71.312095	70.815519	0.004003	7.8
291	-1.530053	72.141573	70.184867	0.004588	9.1
292	-1.579379	73.141550	69.439359	0.003820	7.8
293	-1.557152	72.799973	69.692226	0.004024	7.5
294	-1.576708	73.799827	68.957182	0.005857	7.5
295	-1.586994	73.461744	69.203983	0.003655	7.5
296	-1.559539	74.461614	68.479137	0.004102	7.7
297	-1.594686	74.120075	68.725018	0.003470	8.5
298	-1.614466	73.919037	68.870577	0.002706	9.1
299	-1.513034	73.583515	69.114886	0.003907	7.8
300	-1.590501	73.248119	69.360842	0.003602	7.6
301	-1.536515	72.914430	69.607289	0.003759	7.6
302	-1.558903	72.573858	69.860632	0.005022	7.7
303	-1.605814	72.232296	70.116571	0.003957	7.9
304	-1.594936	73.190415	69.403335	0.003272	9.6
305	-1.543165	73.101386	69.468997	0.003880	8.0
306	-1.542533	72.759813	69.722077	0.002679	7.8
307	-1.568907	72.419865	69.975791	0.004079	7.7
308	-1.499059	72.102044	70.214666	0.004170	10.8
309	-1.547151	73.101907	69.468613	0.004453	17.2
310	-1.602055	74.101829	68.738204	0.004575	10.3
311	-1.580187	75.101829	68.022939	0.004521	8.0
312	-1.593375	74.760747	68.265224	0.004261	8.4
313	-1.485349	74.421051	68.508247	0.003315	9.4
314	-1.573066	74.535656	68.426064	0.003729	14.7
315	-1.554394	74.199983	68.667333	0.003809	16.3
316	-1.605861	74.139004	68.711344	0.004176	12.6
317	-1.551659	73.905549	68.880366	0.003332	19.5
318	-1.559359	73.564032	69.129126	0.004172	16.7
319	-1.572091	74.548686	68.416733	0.004115	11.8
320	-1.547038	74.240962	68.637788	0.004470	18.3
321	-1.565844	74.660241	68.336948	0.003258	16.7
322	-1.518714	74.318663	68.581836	0.004055	7.7
323	-1.572753	74.611595	68.371717	0.003848	12.7
324	-1.533478	74.282075	68.608171	0.003912	10.8
325	-1.572182	74.729892	68.287228	0.003200	9.2
326	-1.536197	75.188578	67.961592	0.002976	9.5
327	-1.571401	74.847042	68.203763	0.004281	7.8
328	-1.611569	74.587245	68.389134	0.004459	8.7
329	-1.572640	75.236759	67.927567	0.005371	7.6
330	-1.553754	74.899555	68.166416	0.004148	7.7
331	-1.569715	75.899554	67.462941	0.003249	7.7
