1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.185975	0.000000	2.694661	0.035546	1181.1
1	-1.198027	0.000000	2.694661	0.053035	4.2
2	-1.215143	0.000000	2.694661	0.087075	3.9
3	-1.197725	1.000000	2.572176	0.047827	4.3
4	-1.176410	2.000000	2.460342	0.061596	5.1
5	-1.211051	1.310563	2.536371	0.026520	4.2
6	-1.167367	0.621627	2.617188	0.049670	3.8
7	-1.214230	1.524234	2.512311	0.054830	4.1
8	-1.196483	2.520621	2.405883	0.027543	4.7
9	-1.191426	3.489708	2.310680	0.022320	4.0
10	-1.241014	2.808315	2.376811	0.049228	5.6
11	-1.197104	3.807375	2.281091	0.056623	5.3
12	-1.196191	4.807375	2.192702	0.031826	4.4
13	-1.198316	5.807180	2.110922	0.067588	4.2
14	-1.193651	6.807176	2.035010	0.038269	3.9
15	-1.171895	7.807168	1.964368	0.031871	5.2
16	-1.226347	8.693883	1.905708	0.019353	3.9
17	-1.186052	8.920516	1.891273	0.042631	4.1
18	-1.190089	9.222187	1.872395	0.018526	4.0
19	-1.212269	8.584861	1.912731	0.028564	4.4
20	-1.169209	8.029260	1.949339	0.032805	3.9
21	-1.199346	9.017414	1.885168	0.039100	6.1
22	-1.167310	8.860529	1.895073	0.025468	5.5
23	-1.194458	8.211486	1.937179	0.051421	4.0
24	-1.207166	9.200069	1.873766	0.031915	4.7
25	-1.201617	10.198561	1.813798	0.029828	6.4
26	-1.202150	11.198080	1.757492	0.026641	4.2
27	-1.197131	12.189790	1.704978	0.033637	6.9
28	-1.174789	11.502423	1.741035	0.031553	5.3
29	-1.200127	10.812524	1.778792	0.038257	4.6
30	-1.220409	11.362717	1.748551	0.039688	4.4
31	-1.207822	11.871967	1.721463	0.053804	6.5
32	-1.217447	11.181773	1.758383	0.020077	5.0
33	-1.193451	12.166242	1.706189	0.037668	6.8
34	-1.208322	13.054776	1.661672	0.024291	6.8
35	-1.185720	14.051697	1.614412	0.029003	4.8
36	-1.176705	14.967248	1.573317	0.032171	4.4
37	-1.213149	15.965563	1.530827	0.047458	4.8
38	-1.202569	16.965562	1.490505	0.050543	4.2
39	-1.211326	17.965562	1.452253	0.035989	3.8
40	-1.230833	18.965545	1.415916	0.044760	6.5
41	-1.187954	19.938078	1.382280	0.028560	4.4
42	-1.181210	20.153167	1.375055	0.031024	4.1
43	-1.205527	21.057058	1.345502	0.041422	5.0
44	-1.200544	21.979840	1.316614	0.029474	5.1
45	-1.171839	22.552798	1.299294	0.059894	6.8
46	-1.200090	21.862155	1.320229	0.041282	6.2
47	-1.183423	22.798885	1.291993	0.041185	5.3
48	-1.206430	23.798869	1.263154	0.031069	4.8
49	-1.175223	24.798151	1.235593	0.033550	5.9
50	-1.206994	24.107627	1.254508	0.038522	6.9
51	-1.223634	24.990179	1.230434	0.047664	5.1
52	-1.233726	24.330341	1.248344	0.051471	6.8
53	-1.202240	25.330341	1.221400	0.027824	4.6
54	-1.194298	25.491835	1.217157	0.062047	3.9
55	-1.161502	26.245363	1.197744	0.068639	6.2
56	-1.181943	27.245363	1.172918	0.041429	4.0
57	-1.225074	28.245363	1.149101	0.049980	4.8
58	-1.176674	27.823453	1.159031	0.033508	8.0
59	-1.207350	27.183710	1.174419	0.040267	7.8
60	-1.182626	28.183044	1.150557	0.042024	6.2
61	-1.194446	29.070442	1.130165	0.020163	6.9
