1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.763596	0.000000	120.290417	0.009862	161.7
1	-0.762521	0.000000	120.290417	0.010566	16.5
2	-0.775315	0.000000	120.290417	0.010513	16.6
3	-0.759344	0.000000	120.290417	0.010368	18.6
4	-0.775637	0.000000	120.290417	0.010910	19.1
5	-0.791594	0.000000	120.290417	0.010384	18.0
6	-0.810530	0.000000	120.290417	0.010912	16.9
7	-0.829141	0.000000	120.290417	0.011028	18.6
8	-0.844471	0.000000	120.290417	0.011212	17.8
9	-0.832706	0.000000	120.290417	0.011362	19.6
10	-0.870230	0.000000	120.290417	0.011216	17.3
11	-0.857368	0.000000	120.290417	0.011831	16.9
12	-0.888542	0.000000	120.290417	0.011537	20.2
13	-0.918907	0.000000	120.290417	0.010951	31.8
14	-0.919751	0.000000	120.290417	0.011599	23.0
15	-0.938497	0.000000	120.290417	0.011615	20.3
16	-0.965456	0.000000	120.290417	0.011468	20.1
17	-1.006694	0.000000	120.290417	0.010853	20.8
18	-0.969604	0.000000	120.290417	0.010388	17.1
19	-1.017780	0.000000	120.290417	0.010878	19.2
20	-0.998742	0.000000	120.290417	0.011037	18.6
21	-1.058205	0.000000	120.290417	0.010399	18.4
22	-1.056078	0.000000	120.290417	0.010044	18.0
23	-1.054861	0.000000	120.290417	0.010388	17.7
24	-1.045405	0.000000	120.290417	0.009524	20.4
25	-1.104458	0.000000	120.290417	0.009335	17.1
26	-1.090820	0.000000	120.290417	0.009289	19.2
27	-1.112477	0.000000	120.290417	0.009137	19.5
28	-1.116560	0.000000	120.290417	0.008494	18.5
29	-1.130195	0.000000	120.290417	0.008925	17.4
30	-1.119543	0.000000	120.290417	0.008746	18.2
31	-1.183611	0.000000	120.290417	0.008031	18.3
32	-1.156050	0.000000	120.290417	0.008049	19.9
33	-1.154151	0.000000	120.290417	0.006845	17.6
34	-1.162828	0.000000	120.290417	0.007417	17.9
35	-1.170025	0.000000	120.290417	0.006798	18.1
36	-1.178960	0.000000	120.290417	0.007346	21.6
37	-1.163337	0.000000	120.290417	0.006218	17.7
38	-1.173306	0.000000	120.290417	0.006958	17.4
39	-1.177042	0.000000	120.290417	0.007050	19.2
40	-1.159455	0.000000	120.290417	0.005645	18.1
41	-1.189467	0.000000	120.290417	0.006528	18.7
42	-1.203250	0.000000	120.290417	0.005912	17.3
43	-1.199501	0.000000	120.290417	0.004535	18.5
44	-1.215628	0.000000	120.290417	0.004838	18.0
45	-1.210493	0.000000	120.290417	0.004571	21.2
46	-1.226443	0.000000	120.290417	0.004582	17.8
47	-1.250509	0.000000	120.290417	0.004496	17.2
48	-1.243238	0.000000	120.290417	0.004517	19.3
49	-1.209553	0.000000	120.290417	0.004878	17.3
50	-1.206018	0.000000	120.290417	0.004123	18.2
51	-1.215711	0.000000	120.290417	0.003873	17.3
52	-1.215539	0.000000	120.290417	0.004327	18.8
53	-1.245961	0.000000	120.290417	0.004252	18.0
54	-1.238333	0.000000	120.290417	0.004344	20.3
55	-1.233803	0.000000	120.290417	0.003702	17.7
56	-1.242602	0.000000	120.290417	0.003827	17.2
