1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.182249	0.000000	634.465347	0.003931	1623.6
1	-0.191021	0.000000	634.465347	0.003772	44.7
2	-0.199972	0.000000	634.465347	0.003771	75.2
3	-0.196785	0.000000	634.465347	0.003251	44.3
4	-0.199046	0.000000	634.465347	0.004002	44.3
5	-0.197718	0.000000	634.465347	0.004010	56.5
6	-0.214678	0.000000	634.465347	0.003667	33.5
7	-0.194884	0.000000	634.465347	0.003479	31.7
8	-0.196503	0.970694	606.433826	0.003676	36.1
9	-0.202416	0.260867	626.680567	0.003826	33.2
10	-0.205576	0.000000	634.465347	0.003523	49.5
11	-0.203194	0.000000	634.465347	0.004320	28.1
12	-0.190941	0.000000	634.465347	0.002993	40.7
13	-0.190137	0.000000	634.465347	0.003511	25.4
14	-0.212866	0.000000	634.465347	0.003299	28.4
15	-0.206501	0.000000	634.465347	0.003098	22.8
16	-0.218414	0.000000	634.465347	0.004731	32.8
17	-0.200473	0.000000	634.465347	0.003528	27.9
18	-0.208573	0.000000	634.465347	0.003353	33.5
19	-0.212362	0.000000	634.465347	0.003158	50.7
20	-0.209822	0.000000	634.465347	0.003367	84.6
21	-0.194509	0.000000	634.465347	0.003773	49.4
22	-0.233287	0.000000	634.465347	0.003714	43.2
23	-0.211235	0.957233	606.805612	0.003947	39.5
24	-0.200977	0.247342	627.079487	0.003262	34.1
25	-0.202531	0.000000	634.465347	0.003629	29.4
26	-0.220736	0.000000	634.465347	0.003715	41.0
27	-0.196364	0.000000	634.465347	0.003216	33.6
28	-0.207302	0.999992	605.626239	0.003204	29.9
29	-0.244411	0.290101	625.820063	0.003974	27.2
30	-0.202683	0.000000	634.465347	0.003413	28.6
31	-0.213355	0.000000	634.465347	0.003427	31.9
32	-0.211263	0.936078	607.390815	0.003814	30.9
33	-0.225352	1.936077	580.908948	0.004202	32.9
34	-0.250923	1.817848	583.918885	0.003562	32.1
35	-0.224747	2.817630	559.407990	0.003730	24.2
36	-0.228921	2.107738	576.593524	0.003640	31.9
37	-0.224359	1.400662	594.793675	0.003895	28.3
38	-0.214792	0.690776	614.259821	0.003097	36.2
39	-0.222823	0.000000	634.465347	0.003764	34.9
40	-0.243171	0.000000	634.465347	0.003228	32.7
41	-0.211807	1.000000	605.626014	0.003461	34.9
42	-0.230715	0.290109	625.819831	0.003346	43.7
43	-0.224865	1.290106	597.743788	0.002943	33.8
44	-0.218051	0.936535	607.378167	0.003251	33.6
45	-0.225904	1.936530	580.897460	0.003841	31.4
46	-0.256150	1.226639	599.450602	0.003956	27.0
47	-0.240392	0.516748	619.227973	0.004263	29.3
48	-0.219230	0.000000	634.465347	0.003889	27.7
49	-0.251004	0.996862	605.712419	0.003100	29.0
50	-0.223876	1.996847	579.373861	0.003286	31.0
51	-0.238646	1.286958	597.828226	0.003729	27.0
52	-0.235034	2.286958	572.155992	0.003575	27.9
53	-0.253440	3.286958	548.597834	0.003105	30.1
54	-0.241878	2.577066	565.115781	0.003677	22.7
55	-0.237538	3.577058	542.122353	0.003184	33.1
56	-0.243291	2.867167	558.246921	0.003237	27.7
57	-0.234072	2.157297	575.359573	0.003537	30.2
58	-0.250969	1.491584	592.389247	0.003817	26.1
59	-0.238882	0.783098	611.656439	0.003581	30.2
60	-0.244144	1.783097	584.809530	0.003471	29.2
61	-0.238098	1.341629	596.365298	0.002702	28.5
62	-0.244579	1.382526	595.275628	0.003325	26.9
63	-0.217326	0.672658	614.773328	0.004361	30.5
64	-0.208266	0.000000	634.465347	0.003094	29.9
65	-0.242357	0.000000	634.465347	0.003271	38.5
66	-0.255396	0.000000	634.465347	0.003229	59.5
67	-0.243161	0.000000	634.465347	0.003576	38.8
68	-0.259713	0.000000	634.465347	0.003567	36.2
69	-0.257655	1.000000	605.626017	0.003599	25.7
70	-0.230036	0.292959	625.736070	0.003057	32.6
71	-0.241688	1.267610	598.347661	0.003442	23.2
72	-0.245362	1.960654	580.287133	0.003748	30.3
73	-0.245314	1.250763	598.800687	0.004153	28.4
74	-0.246994	2.250731	573.047454	0.003374	26.0
75	-0.245750	1.540847	591.094575	0.003161	28.9
76	-0.234171	0.830956	610.315577	0.003573	35.4
77	-0.252322	0.824165	610.505465	0.003281	33.0
78	-0.247562	1.824165	583.757279	0.003625	45.3
79	-0.239621	2.821653	559.313510	0.003528	34.6
80	-0.249974	3.821653	536.780219	0.003937	41.0
81	-0.258309	3.111762	552.583940	0.003740	62.8
82	-0.242908	3.920690	534.647005	0.003755	46.5
