1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.413846	0.000000	448.645482	0.004439	167.7
1	-0.423611	0.000000	448.645482	0.004555	17.7
2	-0.431311	0.000000	448.645482	0.003741	17.6
3	-0.415951	0.000000	448.645482	0.003645	19.6
4	-0.428214	0.000000	448.645482	0.002923	17.8
5	-0.427415	0.000000	448.645482	0.003054	17.8
6	-0.433425	0.000000	448.645482	0.002684	23.4
7	-0.414204	0.000000	448.645482	0.002331	17.7
8	-0.422143	0.000000	448.645482	0.002522	18.4
9	-0.434672	0.000000	448.645482	0.002227	21.6
10	-0.427135	0.000000	448.645482	0.002017	17.7
11	-0.432315	0.000000	448.645482	0.002168	21.1
12	-0.454239	0.000000	448.645482	0.001896	17.7
13	-0.430502	0.000000	448.645482	0.001656	17.6
14	-0.448112	0.000000	448.645482	0.001965	21.1
15	-0.410182	0.000000	448.645482	0.001527	17.7
16	-0.433453	0.000000	448.645482	0.001887	17.6
17	-0.447072	0.000000	448.645482	0.001533	21.4
18	-0.447503	0.000000	448.645482	0.001741	17.8
19	-0.426996	0.000000	448.645482	0.001832	17.7
20	-0.446251	0.000000	448.645482	0.001803	18.6
21	-0.436939	0.000000	448.645482	0.001551	17.8
22	-0.435217	0.000000	448.645482	0.001347	17.6
23	-0.435037	0.000000	448.645482	0.001470	18.8
24	-0.449856	0.000000	448.645482	0.001548	17.8
25	-0.428855	0.000000	448.645482	0.001565	20.1
26	-0.459582	0.000000	448.645482	0.001324	18.6
27	-0.445712	0.000000	448.645482	0.001632	17.8
28	-0.453784	0.000000	448.645482	0.001588	19.3
29	-0.432349	0.000000	448.645482	0.001491	18.6
30	-0.433579	0.000000	448.645482	0.001653	18.7
31	-0.459135	0.000000	448.645482	0.001309	20.7
32	-0.445046	0.000000	448.645482	0.001481	17.8
33	-0.430795	0.000000	448.645482	0.001674	17.5
34	-0.424891	0.000000	448.645482	0.001290	20.5
35	-0.436749	0.000000	448.645482	0.001496	17.7
36	-0.444505	0.000000	448.645482	0.001230	17.6
37	-0.442717	0.000000	448.645482	0.001213	20.9
38	-0.430940	0.000000	448.645482	0.001350	17.7
39	-0.445360	0.000000	448.645482	0.001148	17.5
40	-0.450526	0.000000	448.645482	0.001421	18.6
41	-0.442165	0.000000	448.645482	0.001159	17.7
42	-0.444891	0.000000	448.645482	0.001692	17.7
43	-0.457018	0.000000	448.645482	0.001205	18.3
44	-0.437580	0.000000	448.645482	0.001021	18.8
45	-0.473497	0.000000	448.645482	0.001500	18.1
46	-0.435121	0.000000	448.645482	0.001429	19.5
47	-0.448994	0.000000	448.645482	0.001416	18.7
48	-0.435122	0.000000	448.645482	0.001337	20.9
49	-0.442983	0.000000	448.645482	0.001611	17.8
