1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.354239	0.000000	3.336519	0.029851	418.9
1	-1.358106	0.000000	3.336519	0.025316	8.7
2	-1.342920	0.000000	3.336519	0.021593	11.1
3	-1.353264	0.992746	3.185910	0.018341	8.7
4	-1.373806	1.933683	3.055197	0.018528	8.8
5	-1.363973	1.454460	3.120401	0.020973	8.8
6	-1.376028	2.067212	3.037511	0.012674	8.9
7	-1.345805	2.829196	2.940381	0.021802	8.7
8	-1.360503	3.698719	2.836864	0.026215	13.2
9	-1.364697	4.698477	2.726500	0.025364	8.8
10	-1.357783	4.135184	2.787603	0.056373	8.9
11	-1.357747	5.135184	2.680942	0.030616	8.7
12	-1.373861	6.135184	2.582142	0.010350	8.8
13	-1.361091	5.707085	2.623533	0.020774	11.8
14	-1.348267	6.080261	2.587379	0.025988	16.0
15	-1.355872	5.532707	2.640775	0.014562	18.1
16	-1.373221	5.601342	2.633961	0.030719	14.6
17	-1.356541	5.082972	2.686308	0.028838	9.0
18	-1.371382	6.082972	2.587120	0.022094	9.2
19	-1.350485	6.336223	2.563153	0.023612	8.8
20	-1.365713	5.882096	2.606453	0.023440	8.8
21	-1.351982	6.881701	2.513007	0.027079	8.7
22	-1.365520	6.319075	2.564761	0.012650	11.8
23	-1.360601	6.977717	2.504383	0.024418	8.9
24	-1.372891	7.177526	2.486624	0.024074	8.8
25	-1.387077	6.671516	2.532095	0.032170	8.7
26	-1.369660	7.671026	2.443823	0.028532	8.8
27	-1.334525	8.671011	2.361460	0.027128	13.6
28	-1.344946	9.356760	2.308116	0.017872	24.6
29	-1.363716	10.351327	2.234895	0.027742	15.7
30	-1.352512	11.350336	2.165879	0.018387	10.5
31	-1.388207	12.339151	2.101640	0.024896	11.9
32	-1.342950	11.871637	2.131531	0.018344	8.9
33	-1.367590	12.606448	2.084925	0.015813	9.0
34	-1.356256	13.427496	2.035202	0.020454	9.0
35	-1.365238	13.610130	2.024462	0.032136	11.7
36	-1.363115	13.165729	2.050795	0.025590	25.9
37	-1.361114	14.165722	1.992477	0.015369	14.5
38	-1.368513	14.682918	1.963598	0.020181	9.8
39	-1.367821	14.202869	1.990375	0.022914	9.1
40	-1.367541	15.173588	1.936963	0.027531	9.2
41	-1.374183	16.173424	1.884866	0.020995	10.9
42	-1.349651	17.147339	1.836744	0.026372	8.9
43	-1.374902	17.991770	1.796967	0.017911	8.9
44	-1.374192	18.963091	1.753291	0.025883	8.8
45	-1.353153	19.933524	1.711724	0.022787	9.0
46	-1.374827	20.931767	1.670974	0.025861	11.8
47	-1.384546	21.782906	1.637731	0.015281	9.2
48	-1.358387	21.228584	1.659229	0.015925	9.9
49	-1.362251	20.835199	1.674832	0.024808	8.7
50	-1.355277	21.397812	1.652607	0.026120	8.9
51	-1.361211	20.834595	1.674856	0.008289	9.7
52	-1.362114	20.818588	1.675497	0.023352	9.9
53	-1.383169	20.613622	1.683749	0.018452	8.9
54	-1.353399	21.545592	1.646866	0.024385	8.9
55	-1.376481	21.176346	1.661284	0.037800	8.8
56	-1.363779	22.176341	1.622808	0.030354	8.8
57	-1.366079	23.176338	1.586073	0.022617	11.7
58	-1.372366	22.612988	1.606561	0.024451	8.8
59	-1.348562	23.536213	1.573257	0.019315	8.8
60	-1.388812	22.994325	1.592635	0.018917	8.7
61	-1.367159	23.977683	1.557815	0.021571	9.2
62	-1.356861	23.955470	1.558585	0.016983	9.6
63	-1.352622	24.611484	1.536168	0.026310	18.9
