1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.069414	0.000000	26.710803	0.005776	4083.0
1	-0.070450	0.000000	26.710803	0.006037	22.7
2	-0.064365	0.618882	25.946155	0.005365	23.6
3	-0.068824	0.044004	26.654950	0.009177	26.5
4	-0.073714	1.043871	25.445933	0.007284	19.3
5	-0.077014	0.468751	26.127596	0.004861	19.2
6	-0.072585	1.464208	24.969804	0.006726	16.3
7	-0.074854	0.964624	25.537740	0.006263	16.7
8	-0.071651	1.964453	24.425875	0.005809	19.3
9	-0.069633	1.389331	25.053310	0.007268	16.3
10	-0.073679	2.389329	23.982170	0.006994	16.8
11	-0.069186	3.389328	22.998865	0.008978	20.1
12	-0.074978	4.389320	22.093025	0.008230	17.7
13	-0.067385	3.814172	22.605101	0.008995	17.5
14	-0.077659	4.814172	21.729415	0.004174	20.8
15	-0.070817	4.717314	21.811254	0.011597	21.6
16	-0.075798	5.717041	20.995097	0.006755	25.8
17	-0.069965	6.717041	20.237617	0.004176	21.2
18	-0.072469	6.843216	20.145908	0.006304	20.3
19	-0.076494	7.838718	19.450478	0.006716	22.6
20	-0.066575	8.838717	18.798625	0.007701	22.8
21	-0.074596	9.838717	18.189046	0.005635	23.6
22	-0.071137	9.263735	18.534621	0.004511	20.5
23	-0.065970	10.262867	17.942272	0.005837	19.5
24	-0.074049	9.744588	18.244735	0.008791	19.8
25	-0.071232	9.173514	18.590041	0.007993	18.6
26	-0.074950	10.173514	17.993700	0.005748	21.0
27	-0.073432	10.216705	17.968804	0.005785	17.3
28	-0.061038	11.206724	17.416452	0.005127	18.8
29	-0.071086	10.639223	17.728845	0.005733	17.4
30	-0.079883	11.407127	17.308750	0.009101	16.0
31	-0.077506	12.407085	16.790656	0.009359	16.1
32	-0.076265	13.407079	16.302659	0.004069	16.9
33	-0.070195	12.832036	16.579755	0.005764	16.0
34	-0.073345	12.257118	16.866370	0.007685	16.2
35	-0.072238	12.248381	16.870802	0.005744	16.1
36	-0.077807	11.868619	17.065727	0.006224	18.2
37	-0.077237	12.273690	16.857970	0.005987	16.5
38	-0.075670	13.270317	16.367717	0.006032	17.5
39	-0.067280	12.695169	16.647100	0.005183	18.2
40	-0.076879	13.242747	16.380896	0.007659	17.9
41	-0.077734	12.667599	16.660732	0.010849	25.1
42	-0.069511	13.667599	16.180147	0.008722	20.8
43	-0.073369	14.667599	15.726510	0.003646	21.0
44	-0.067493	14.092729	15.984133	0.004215	23.3
45	-0.076923	13.664104	16.181779	0.007226	22.3
46	-0.077071	14.637328	15.739869	0.009825	23.5
47	-0.074896	15.616688	15.318886	0.006477	22.5
48	-0.071620	15.050748	15.559368	0.007980	22.9
49	-0.075647	14.475601	15.811624	0.006746	24.0
50	-0.074569	15.475601	15.378139	0.008116	21.9
51	-0.073481	14.900652	15.624420	0.004776	22.9
52	-0.070594	15.581036	15.333816	0.006103	21.3
53	-0.079925	15.055176	15.557457	0.008009	24.4
54	-0.067630	16.055158	15.137619	0.007113	18.7
55	-0.066081	15.480011	15.376280	0.006073	17.5
56	-0.078530	16.479975	14.966041	0.005977	17.7
57	-0.079780	16.028570	15.148488	0.004051	17.2
58	-0.074196	15.798280	15.243290	0.010946	24.8
59	-0.076660	16.604735	14.916389	0.004885	26.9
60	-0.075504	16.029596	15.148069	0.008238	30.1
61	-0.071338	15.465806	15.382270	0.008154	25.1
62	-0.071824	14.890659	15.628770	0.005634	28.7
63	-0.078834	15.889988	15.205396	0.011416	25.3
64	-0.074897	16.889986	14.804093	0.004189	26.4
65	-0.066301	16.314998	15.032209	0.004563	20.8
66	-0.071032	15.746734	15.264673	0.008530	25.2
67	-0.076787	15.171606	15.507380	0.012645	17.4
68	-0.072023	14.596459	15.757940	0.006028	17.0
69	-0.074802	14.021312	16.016729	0.007767	19.0
70	-0.074253	15.020123	15.572597	0.008998	17.3
71	-0.075214	14.444992	15.825278	0.008263	17.5
72	-0.071678	13.869845	16.086302	0.008485	20.2
73	-0.081818	14.869818	15.637851	0.005880	16.9
74	-0.072921	15.854578	15.220005	0.008341	51.9
75	-0.076443	16.854577	14.817940	0.010364	39.4
76	-0.074914	17.150216	14.703111	0.005406	38.9
77	-0.078321	18.150213	14.327556	0.004572	25.3
78	-0.079961	18.362447	14.250304	0.010665	23.2
79	-0.077671	17.787383	14.461580	0.007552	19.7
80	-0.068582	18.787383	14.098109	0.005905	21.6
81	-0.076269	18.212320	14.304863	0.006279	17.9
82	-0.072438	18.578966	14.172348	0.005902	21.4
83	-0.067345	19.192805	13.955902	0.006557	21.3
84	-0.074434	18.618882	14.158069	0.010584	19.5
85	-0.072609	18.043735	14.366629	0.006045	16.6
86	-0.073433	17.469188	14.581199	0.007335	17.5
87	-0.068427	18.452264	14.217863	0.006387	22.6
88	-0.076580	19.452264	13.866390	0.008536	18.2
89	-0.072192	18.877116	14.066385	0.006072	18.9
90	-0.071938	19.800180	13.748147	0.006010	22.3
91	-0.079831	19.225200	13.944663	0.009043	16.2
92	-0.079747	18.650118	14.146915	0.008992	20.7
93	-0.070943	18.074976	14.355143	0.006219	18.2
94	-0.068034	17.555553	14.548536	0.005521	16.1
95	-0.067708	18.106442	14.343592	0.004801	21.5
96	-0.070846	18.996148	14.024522	0.005615	20.7
97	-0.072944	19.822067	13.740776	0.006428	23.2
98	-0.073289	20.822067	13.412222	0.008918	23.2
99	-0.071502	20.246920	13.599242	0.005894	19.7
100	-0.069162	19.671774	13.791552	0.006742	19.7
101	-0.072756	20.097176	13.648793	0.005848	19.1
102	-0.070491	19.522069	13.842503	0.004984	21.8
103	-0.075540	20.511073	13.512704	0.007063	16.6
104	-0.078278	21.156176	13.305924	0.005452	17.8
105	-0.074628	21.309748	13.257627	0.005432	23.3
106	-0.076767	22.309734	12.951519	0.007540	21.7
107	-0.074144	23.309734	12.659224	0.004271	19.9
108	-0.074218	24.297272	12.383237	0.007832	18.7
109	-0.068565	23.722125	12.542491	0.007239	17.0
110	-0.071380	23.147011	12.705885	0.006640	24.5
111	-0.072792	22.768366	12.815805	0.007619	21.9
112	-0.072495	22.768974	12.815628	0.005312	17.1
113	-0.070957	23.734974	12.538889	0.005461	19.6
114	-0.079852	24.581605	12.305992	0.008161	22.2
115	-0.071295	25.581596	12.041813	0.004496	23.2
116	-0.076610	26.554240	11.795517	0.007523	17.1
117	-0.067508	26.667039	11.767605	0.005075	20.3
118	-0.079615	27.393860	11.590868	0.007110	19.9
119	-0.079365	26.845101	11.723810	0.004850	21.9
120	-0.074133	26.269977	11.866451	0.007345	16.6
121	-0.078777	27.269836	11.620650	0.003846	19.2
122	-0.073750	27.080469	11.666418	0.006452	22.9
123	-0.069606	26.854100	11.721605	0.008720	20.1
124	-0.071695	26.782607	11.739143	0.005473	16.9
125	-0.073090	27.303278	11.612604	0.005136	16.9
126	-0.076453	26.733367	11.751253	0.004358	23.0
127	-0.076405	27.709921	11.515659	0.009317	16.7
128	-0.072293	27.134774	11.653256	0.006304	24.5
129	-0.079286	28.126799	11.417940	0.005300	16.8
130	-0.070167	29.126795	11.190160	0.010137	16.6
131	-0.070146	28.995205	11.219613	0.007687	21.9
132	-0.074898	29.995199	10.999601	0.011131	22.2
133	-0.074471	30.995199	10.788051	0.004742	16.8
134	-0.071514	31.115094	10.763232	0.007000	23.3
135	-0.075659	31.863632	10.610827	0.006628	17.3
136	-0.076725	31.290064	10.727217	0.004767	24.0
137	-0.083711	30.922450	10.803166	0.008077	21.4
138	-0.073941	30.347304	10.924174	0.006391	27.3
139	-0.080613	29.776570	11.046963	0.008155	45.1
140	-0.072090	29.201447	11.173520	0.006434	33.0
141	-0.077998	30.187432	10.958293	0.007589	31.4
142	-0.070108	29.740003	11.054924	0.004362	28.0
143	-0.076179	30.733327	10.842660	0.008988	28.5
144	-0.073828	30.158179	10.964559	0.004408	27.7
