1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.503164	0.000000	1198.559134	0.005045	1776.1
1	-1.501718	0.000000	1198.559134	0.006224	9.1
2	-1.496690	1.000000	1144.079173	0.006469	7.5
3	-1.480683	2.000000	1094.336600	0.006532	7.8
4	-1.473828	3.000000	1048.739242	0.006239	7.5
5	-1.495835	4.000000	1006.789672	0.007342	7.8
6	-1.484925	5.000000	968.066993	0.004574	11.1
7	-1.479958	6.000000	932.212660	0.005880	7.6
8	-1.503325	7.000000	898.919350	0.005949	7.7
9	-1.510845	8.000000	867.922131	0.007376	7.5
10	-1.457546	9.000000	838.991394	0.005734	7.5
11	-1.509915	10.000000	811.927155	0.007100	7.9
12	-1.502060	10.209041	806.488791	0.005347	11.1
13	-1.489720	11.209041	781.449586	0.006072	7.6
14	-1.532920	12.209041	757.918356	0.007972	7.6
15	-1.518414	13.209041	735.762857	0.005900	7.8
16	-1.452025	14.209041	714.865871	0.005944	7.5
17	-1.477339	15.209041	695.123126	0.004569	7.6
18	-1.479187	16.208900	676.444119	0.007306	11.5
19	-1.501423	17.208900	658.740283	0.009099	8.6
20	-1.523476	18.208900	641.939499	0.007555	7.6
21	-1.481212	19.208900	625.974389	0.006230	7.9
22	-1.509847	20.208900	610.784117	0.006249	7.5
23	-1.510574	21.208900	596.313612	0.005990	8.1
24	-1.476240	20.504501	606.434033	0.005315	11.5
25	-1.478168	21.504501	592.166507	0.004530	7.6
26	-1.499946	20.860612	601.275051	0.005517	7.7
27	-1.517276	21.860612	587.246436	0.004898	7.6
28	-1.504638	22.860612	573.857511	0.005694	7.6
29	-1.501749	23.859779	561.075924	0.006216	7.7
30	-1.498290	24.859779	548.841326	0.005634	10.2
31	-1.520714	25.859779	537.128908	0.007218	7.6
32	-1.503035	26.859779	525.905937	0.005499	7.7
33	-1.514184	27.859779	515.142361	0.005475	8.5
34	-1.508108	28.859779	504.810539	0.005957	8.6
35	-1.534108	29.859778	494.885015	0.006367	7.6
36	-1.492021	30.859778	485.342262	0.005250	10.2
37	-1.524702	31.853611	476.216122	0.007448	7.6
38	-1.498786	32.853611	467.373333	0.006231	7.6
39	-1.487386	33.853611	458.852958	0.006715	7.6
40	-1.509822	33.465190	462.125293	0.006649	8.8
41	-1.512450	34.465190	453.793485	0.005533	8.0
42	-1.501991	35.465190	445.756791	0.006663	10.7
43	-1.525773	36.465190	437.999802	0.006173	7.6
44	-1.506423	37.465190	430.508169	0.005984	7.8
45	-1.502565	38.465190	423.268502	0.007355	8.9
46	-1.490809	39.465190	416.268300	0.006339	7.7
47	-1.486272	40.465190	409.495877	0.006241	7.7
48	-1.507008	41.465190	402.940291	0.005654	7.8
49	-1.516728	42.465190	396.591295	0.005703	9.8
50	-1.507981	43.465184	390.439310	0.006554	7.7
51	-1.523034	44.465184	384.475234	0.005357	7.5
52	-1.495692	45.465180	378.690647	0.005182	7.7
53	-1.494459	46.442631	373.202251	0.004397	7.5
54	-1.507674	47.442582	367.749742	0.006153	7.6
55	-1.507855	48.442582	362.454004	0.005300	10.4
56	-1.545166	49.442582	357.308622	0.005869	7.7
57	-1.488644	50.442582	352.307282	0.004803	7.6
58	-1.500671	51.442582	347.444020	0.005181	7.5
59	-1.533176	50.783355	350.634794	0.006664	7.5
60	-1.480408	51.783355	345.817281	0.007067	7.6
61	-1.531203	52.783355	341.130352	0.006687	9.0
62	-1.509368	53.724202	336.835203	0.005369	7.9
63	-1.514716	54.724202	332.387018	0.006635	9.0
64	-1.493446	55.724202	328.054787	0.004719	7.5
65	-1.542775	55.019803	331.094542	0.007427	7.5
66	-1.520618	56.019803	326.795719	0.005860	8.0
67	-1.512257	57.019803	322.607094	0.006016	7.4
68	-1.535160	58.019803	318.524483	0.004981	11.3
69	-1.499337	59.019803	314.543912	0.005876	7.9
70	-1.475163	60.019803	310.661603	0.004246	7.6
71	-1.527793	61.019803	306.873962	0.006845	7.5
72	-1.527257	60.467009	308.956253	0.005537	7.6
73	-1.506247	61.467009	305.209830	0.004520	7.5
74	-1.534044	60.762649	307.839119	0.006040	10.3
75	-1.544229	61.762649	304.119578	0.006680	8.1
76	-1.507917	62.762378	300.489820	0.005864	7.9
77	-1.495925	63.762378	296.944735	0.004397	7.5
78	-1.518001	64.762378	293.482322	0.005135	7.8
79	-1.495000	64.057978	295.912768	0.005866	10.3
80	-1.522347	65.051572	292.496014	0.004642	11.1
81	-1.537914	66.051572	289.135983	0.004760	7.7
82	-1.509335	65.349047	291.488356	0.006212	7.8
83	-1.529159	66.349047	288.151303	0.005061	8.2
84	-1.511013	67.349047	284.889793	0.005075	8.3
85	-1.518850	66.645364	287.177103	0.006567	8.3
86	-1.520954	67.645364	283.937485	0.005796	10.1
87	-1.531237	68.645364	280.770143	0.005260	7.5
88	-1.519716	69.322541	278.665120	0.006546	7.7
89	-1.535835	70.322541	275.613681	0.005971	7.6
90	-1.496908	71.322541	272.628347	0.005581	7.7
91	-1.521346	70.618142	274.724430	0.005886	7.4
92	-1.541152	71.618142	271.758225	0.006013	10.3
93	-1.535752	72.618142	268.855387	0.005298	8.3
94	-1.506148	73.618142	266.013909	0.005151	8.5
95	-1.485292	72.914190	268.007868	0.005365	7.6
96	-1.498234	72.209791	270.033241	0.004926	7.7
97	-1.513672	73.209791	267.166944	0.007060	7.5
98	-1.521712	72.505391	269.179579	0.005065	10.7
99	-1.533670	73.505221	266.331759	0.005967	7.6
100	-1.528116	74.505221	263.543098	0.006614	8.0
101	-1.498642	75.505221	260.812229	0.004679	7.5
102	-1.522864	74.802011	262.726653	0.005676	7.8
103	-1.504417	75.799086	260.020448	0.006546	7.5
104	-1.523173	76.799086	257.361727	0.006683	9.7
105	-1.517976	77.799086	254.756827	0.006176	7.9
106	-1.531874	77.094687	256.586188	0.006206	7.8
107	-1.523123	78.094687	253.996885	0.004843	7.6
108	-1.535390	79.094685	251.459323	0.007420	7.7
109	-1.532448	78.390299	253.241433	0.005724	7.5
110	-1.526326	79.390299	250.718864	0.005175	7.8
111	-1.496026	80.390299	248.246055	0.004288	7.7
112	-1.492768	81.390293	245.821562	0.005453	10.0
113	-1.515783	82.390293	243.443955	0.005741	7.5
114	-1.531806	83.390293	241.111900	0.004681	7.6
115	-1.536462	82.689309	242.741919	0.005266	7.6
116	-1.527582	81.984910	244.402232	0.004978	7.7
117	-1.528301	82.281648	243.700040	0.004206	7.7
118	-1.508902	81.577249	245.373532	0.006219	10.5
119	-1.530379	82.577249	243.004541	0.006229	7.5
120	-1.510145	83.577249	240.680857	0.005319	7.7
121	-1.507042	84.577249	238.401191	0.006029	7.5
122	-1.519680	85.577058	236.164726	0.005189	7.6
123	-1.520833	86.577058	233.969419	0.005205	7.6
124	-1.500988	85.873975	235.508615	0.005247	7.5
125	-1.491532	86.873975	233.325433	0.005907	9.8
126	-1.514566	87.873975	231.182354	0.005909	7.6
127	-1.522638	88.870560	229.085406	0.005946	7.6
128	-1.528757	89.870560	227.019164	0.005925	7.5
129	-1.534798	90.870560	224.989862	0.006355	7.7
130	-1.524302	91.870560	222.996518	0.004863	7.5
131	-1.522772	91.242903	224.243504	0.005760	10.4
132	-1.510120	92.242903	222.263305	0.005087	7.6
133	-1.504285	93.242903	220.317772	0.004252	7.7
134	-1.483583	93.192778	220.414481	0.005862	7.5
135	-1.502025	94.192778	218.501041	0.006290	7.6
136	-1.510116	95.192778	216.620536	0.004732	8.0
137	-1.514658	96.192778	214.772124	0.005095	9.8
138	-1.525011	96.544251	214.129926	0.005873	7.7
139	-1.538052	97.544251	212.323597	0.005331	7.9
140	-1.519037	98.414774	210.775778	0.005653	7.6
141	-1.503530	99.414774	209.025363	0.005472	8.0
142	-1.485309	100.414774	207.303782	0.005231	8.6
143	-1.500888	99.710374	208.513493	0.005714	7.6
144	-1.503395	100.710374	206.800299	0.005498	9.6
145	-1.562297	101.710374	205.115028	0.005595	7.7
146	-1.539509	101.006408	206.298523	0.005432	7.9
147	-1.529228	102.006408	204.621386	0.005229	7.6
148	-1.533246	102.988945	202.999888	0.006799	7.5
149	-1.520877	103.988762	201.376040	0.005416	7.6
150	-1.516135	104.988762	199.777674	0.004535	10.1
151	-1.531621	105.988762	198.204483	0.006428	7.8
152	-1.520429	106.912402	196.773272	0.006145	7.4
153	-1.497213	106.208003	197.862880	0.005233	7.7
154	-1.511970	105.503603	198.964624	0.005040	7.5
155	-1.513185	106.503603	197.404161	0.005044	8.4
156	-1.536305	105.799204	198.500788	0.004617	9.6
157	-1.550101	106.799204	196.947564	0.006494	7.7
158	-1.523190	107.729888	195.523683	0.005775	7.5
159	-1.486051	108.729888	194.016523	0.004576	7.8
160	-1.522674	109.729702	192.532695	0.006316	9.5
161	-1.551560	110.729702	191.071121	0.005415	9.2
162	-1.507893	111.728982	189.632599	0.005400	8.2
163	-1.490014	112.728889	188.214694	0.004040	9.8
164	-1.512428	112.208860	188.949457	0.005298	7.5
165	-1.537710	111.539859	189.903188	0.005746	7.9
166	-1.535661	112.539859	188.481117	0.005324	9.6
167	-1.512322	113.539859	187.080186	0.005884	10.0
168	-1.474426	114.539762	185.700059	0.004892	9.8
169	-1.522666	115.539762	184.340015	0.005818	7.7
170	-1.518685	116.539762	182.999748	0.005193	7.6
171	-1.507693	115.837877	183.938412	0.005314	7.5
172	-1.538500	115.133478	184.890170	0.006304	7.5
173	-1.490877	116.133478	183.541920	0.005813	7.5
174	-1.532618	117.133478	182.213191	0.005056	7.5
175	-1.500352	118.133478	180.903562	0.004696	10.4
176	-1.525705	119.132567	179.613792	0.005545	7.6
177	-1.511647	118.713141	180.153002	0.005404	7.6
178	-1.515060	119.713141	178.872717	0.005210	7.5
179	-1.515775	119.008741	179.772645	0.005478	7.6
180	-1.553872	120.008741	178.497741	0.004853	7.5
181	-1.501292	119.304432	179.393776	0.004655	7.7
182	-1.531517	120.293382	178.138151	0.004936	10.0
183	-1.531644	119.588982	179.030685	0.005250	7.7
184	-1.522460	120.588976	177.766254	0.004957	7.4
185	-1.528511	121.588975	176.519551	0.006170	7.7
186	-1.505205	120.884576	177.395899	0.005489	8.0
187	-1.524503	121.884572	176.154370	0.005750	7.6
188	-1.530781	122.884572	174.930094	0.006245	9.2
189	-1.536555	123.884572	173.722719	0.004951	7.9
190	-1.528475	124.884572	172.531896	0.005856	8.9
191	-1.507651	124.180174	173.369002	0.005661	13.4
192	-1.541498	125.180174	172.183006	0.005534	15.8
193	-1.512994	126.173181	171.021252	0.006310	12.7
194	-1.535677	127.173181	169.867054	0.007052	13.0
195	-1.539967	128.173140	168.728377	0.004712	7.5
196	-1.536610	129.173140	167.604818	0.005796	7.8
197	-1.481021	130.173140	166.496124	0.004921	7.8
198	-1.535305	131.173140	165.402001	0.005369	9.9
199	-1.528089	132.173140	164.322164	0.005419	9.2
200	-1.557299	131.468740	165.081326	0.005094	9.5
201	-1.562739	130.773069	165.837997	0.005620	9.4
202	-1.529839	130.068670	166.611263	0.005137	7.9
203	-1.514601	130.856678	165.746691	0.004650	8.3
204	-1.502020	130.152278	166.519103	0.004919	10.7
205	-1.515880	129.447879	167.298748	0.005309	7.8
206	-1.558899	130.447879	166.194086	0.005365	7.5
207	-1.506501	131.447879	165.103916	0.006066	7.5
208	-1.522921	130.743483	165.870332	0.005817	7.7
209	-1.523499	131.743483	164.784391	0.005481	8.4
210	-1.531366	132.743483	163.712577	0.005112	9.9
211	-1.510344	133.743483	162.654616	0.006097	8.3
212	-1.521838	134.725297	161.629114	0.005910	8.2
213	-1.515960	135.725297	160.597824	0.006409	7.5
214	-1.552699	136.724262	159.580660	0.006313	7.6
215	-1.531541	137.723868	158.575658	0.006314	7.5
216	-1.521644	137.069041	159.232583	0.005496	8.0
217	-1.556457	138.054834	158.245689	0.005135	10.3
218	-1.506955	138.396240	157.906747	0.005118	7.7
219	-1.511224	137.691841	158.607662	0.004875	7.5
220	-1.497607	138.691804	157.614487	0.005074	7.9
221	-1.534994	139.691804	156.633638	0.004996	7.5
222	-1.548822	140.691804	155.664920	0.005416	7.8
223	-1.526072	139.987407	156.346029	0.005219	10.1
224	-1.531083	140.987407	155.380855	0.006939	8.2
225	-1.500682	141.987407	154.427525	0.005963	7.5
226	-1.509114	141.283008	155.097827	0.005700	7.9
227	-1.543275	142.283008	154.147956	0.007481	7.5
228	-1.537101	143.283008	153.209648	0.006092	7.8
229	-1.515805	144.283008	152.282695	0.004953	10.3
230	-1.539578	145.258451	151.389248	0.005395	7.9
231	-1.521401	144.554051	152.033379	0.005980	7.7
232	-1.497790	143.849652	152.683015	0.004926	7.8
233	-1.541734	143.145253	153.338226	0.005806	7.5
234	-1.478843	142.560838	153.886115	0.004952	7.9
235	-1.510544	143.560838	152.950983	0.005467	8.9
236	-1.550170	142.856438	153.608501	0.006023	8.8
237	-1.511937	143.832874	152.698556	0.004904	7.5
238	-1.499099	143.128736	153.353657	0.004789	7.7
239	-1.525972	144.128575	152.425114	0.005491	7.5
240	-1.535204	144.350245	152.220771	0.005928	7.8
241	-1.507617	145.350245	151.305709	0.005107	7.6
242	-1.519960	146.350245	150.401583	0.004671	10.4
243	-1.494538	145.645846	151.037319	0.004192	7.5
244	-1.510629	144.943091	151.676949	0.006828	7.7
245	-1.544655	145.943091	150.768394	0.005939	7.5
246	-1.504823	146.943091	149.870659	0.004914	7.7
247	-1.514765	147.943090	148.983553	0.004680	7.6
248	-1.531965	148.943090	148.106886	0.005215	8.1
249	-1.541716	149.943002	147.240551	0.005786	9.6
250	-1.550488	149.243590	147.845459	0.006074	7.6
251	-1.553087	150.243590	146.982096	0.005253	7.5
252	-1.538301	149.545195	147.583998	0.005364	7.7
253	-1.521828	148.840796	148.196090	0.005955	7.5
254	-1.524309	149.840796	147.328638	0.005698	7.6
255	-1.535149	150.840796	146.471283	0.004599	7.7
256	-1.512444	151.840796	145.623848	0.004257	10.2
257	-1.524725	151.260193	146.114673	0.005432	7.6
258	-1.518524	152.260193	145.271348	0.004832	8.3
259	-1.524185	153.260069	144.437805	0.006188	7.5
260	-1.517157	152.555670	145.024025	0.005022	7.8
261	-1.537973	152.084231	145.419034	0.004600	7.7
262	-1.546052	153.084231	144.583697	0.005326	10.1
263	-1.531772	152.379836	145.171101	0.005673	7.6
264	-1.518592	151.675437	145.763302	0.008212	9.0
265	-1.511321	152.675437	144.924016	0.006004	7.6
266	-1.523512	153.675437	144.094340	0.005926	7.7
267	-1.537716	154.675437	143.274110	0.006063	7.5
268	-1.494739	155.675437	142.463165	0.005995	10.1
269	-1.545631	156.675437	141.661348	0.005200	7.5
270	-1.503073	157.675437	140.868506	0.004347	7.7
271	-1.524099	158.675430	140.084494	0.005320	7.6
272	-1.546377	157.971031	140.635843	0.007463	7.8
273	-1.515500	157.266631	141.191549	0.006620	7.7
274	-1.503771	158.266631	140.403943	0.004519	9.2
275	-1.517739	159.171188	139.699039	0.005084	8.4
276	-1.528248	160.171103	138.928016	0.006428	7.6
277	-1.529217	159.466703	139.470281	0.005818	7.5
278	-1.524442	158.762304	140.016796	0.005871	7.5
279	-1.546987	159.762304	139.242205	0.006720	7.7
280	-1.516305	159.057988	139.786866	0.004729	7.8
281	-1.519708	160.057988	139.014810	0.005181	9.8
282	-1.517217	159.353600	139.557745	0.006779	7.6
283	-1.538197	158.649307	140.104864	0.005214	8.0
284	-1.506740	159.649307	139.329302	0.004385	8.6
285	-1.541266	160.649307	138.562278	0.004726	7.7
286	-1.512304	160.491213	138.682977	0.005182	7.5
287	-1.521094	161.491207	137.923038	0.005142	10.9
288	-1.511120	162.491207	137.171378	0.006097	7.6
289	-1.528453	163.491207	136.427866	0.004909	7.5
290	-1.536552	164.491207	135.692371	0.005648	7.5
291	-1.520636	165.491207	134.964764	0.005505	7.7
292	-1.532344	166.491207	134.244918	0.005977	7.8
293	-1.512518	165.786808	134.751175	0.005296	9.4
294	-1.518378	166.786808	134.033599	0.005574	7.7
295	-1.545688	166.093780	134.530083	0.005790	7.7
296	-1.483194	165.389381	135.038497	0.005761	7.7
297	-1.544953	166.389381	134.317866	0.005947	7.7
298	-1.522307	166.028383	134.577124	0.005178	7.6
299	-1.541257	166.626861	134.147860	0.004966	7.7
300	-1.540393	165.922473	134.653375	0.004992	11.0
301	-1.515988	166.922473	133.936838	0.006046	8.0
302	-1.533107	167.922473	133.227887	0.004591	7.5
303	-1.511802	167.218073	133.726487	0.006098	7.7
304	-1.500309	168.218073	133.019755	0.004780	7.5
305	-1.507693	169.218073	132.320454	0.004806	8.0
306	-1.523936	170.218073	131.628467	0.005040	11.1
307	-1.536707	171.218073	130.943680	0.004914	7.9
308	-1.547059	170.537343	131.409058	0.006309	8.1
309	-1.528462	169.833164	131.893961	0.005898	10.6
310	-1.523390	169.145756	132.370779	0.005533	7.6
311	-1.493957	170.145756	131.678266	0.006331	8.6
312	-1.532398	169.441357	132.165314	0.005885	9.7
313	-1.533728	170.441357	131.474945	0.005860	8.7
314	-1.515990	171.441357	130.791750	0.005360	7.7
315	-1.503108	170.736960	131.272248	0.006624	7.5
316	-1.534716	171.449334	130.786328	0.004895	8.4
317	-1.541646	170.744935	131.266789	0.005295	8.0
318	-1.535202	171.744917	130.585761	0.005591	9.9
319	-1.521461	171.040560	131.064718	0.004893	7.6
