1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.029372	0.000000	1148.849629	0.013869	36669.5
1	-1.026266	0.000000	1148.849629	0.013144	27.8
2	-1.017319	0.000000	1148.849629	0.008722	24.9
3	-1.013943	0.999681	1096.645117	0.008142	22.9
4	-1.038510	0.248523	1135.412666	0.014299	26.2
5	-1.033293	1.248523	1084.379496	0.009897	24.3
6	-1.020101	2.248499	1037.737612	0.009743	26.0
7	-1.033692	1.279794	1082.857511	0.005493	22.4
8	-1.025764	0.311280	1132.069127	0.010834	26.1
9	-1.039375	1.238802	1084.853509	0.010583	21.9
10	-1.029176	2.238802	1038.170659	0.012280	22.7
11	-1.025761	1.270098	1083.328986	0.012028	23.4
12	-1.024138	2.270098	1036.774433	0.010217	21.4
13	-1.016419	1.301849	1081.786644	0.009782	24.9
14	-1.030060	2.301849	1035.361717	0.007971	21.8
15	-1.010758	3.226460	995.846769	0.007622	25.3
16	-1.053115	2.266101	1036.952537	0.009921	21.6
17	-1.013824	1.624211	1066.372761	0.014417	22.6
18	-1.034181	2.569914	1023.586337	0.014678	22.5
19	-1.036584	1.614227	1066.843553	0.010704	21.9
20	-1.023581	2.614227	1021.665553	0.007843	25.6
21	-1.025583	1.702920	1062.675740	0.011314	21.5
22	-1.002348	2.702920	1017.842625	0.011697	25.1
23	-1.024320	3.702920	976.639292	0.009563	31.9
24	-1.021462	4.702662	938.651504	0.011045	26.3
25	-1.028677	3.743557	975.035331	0.010870	27.5
26	-1.016128	2.774852	1014.763108	0.010918	25.3
27	-1.008663	3.774851	973.803709	0.009961	22.2
28	-1.015995	2.910499	1009.006237	0.011505	25.3
29	-1.024909	3.910498	968.501005	0.011705	24.3
30	-1.019684	4.910496	931.122373	0.011265	24.4
31	-1.012045	4.282670	954.244256	0.009182	21.9
32	-1.026530	3.313964	992.262802	0.010399	27.3
33	-1.013114	4.313964	953.064564	0.011201	21.8
34	-1.021429	5.313964	916.845598	0.009222	27.6
35	-1.020960	6.014966	893.054706	0.012258	21.9
36	-1.016741	7.014964	861.176980	0.011927	23.2
37	-1.022557	8.014964	831.496537	0.008029	22.2
38	-1.030065	9.014574	803.804258	0.012856	22.4
39	-1.018089	9.985539	778.616189	0.006959	25.0
40	-0.999330	9.172984	799.584227	0.010162	21.8
41	-1.009100	10.172557	773.944917	0.009820	24.9
42	-1.013766	11.172557	749.888861	0.010177	21.7
43	-1.016360	10.203852	773.168724	0.014172	27.1
44	-1.020152	9.235510	797.930724	0.012093	30.6
45	-1.008539	8.268300	824.299391	0.010251	26.8
46	-1.015598	9.268300	797.066300	0.011476	21.8
47	-1.019599	10.268300	771.575106	0.012353	30.9
48	-1.011922	11.268054	747.669570	0.010899	23.2
49	-1.000499	10.299349	770.809718	0.009582	27.5
50	-1.005112	11.299348	746.945172	0.012961	22.4
51	-1.024917	10.330665	770.039254	0.008734	23.1
52	-1.019016	11.329169	746.256180	0.011677	21.9
53	-1.004600	10.364516	769.208186	0.009057	22.3
54	-0.993326	11.364516	745.441163	0.011315	25.5
55	-1.005688	12.364338	723.102673	0.013100	22.1
56	-1.011426	13.338107	702.596750	0.009858	24.0
57	-1.021156	12.374988	722.871940	0.011742	21.6
58	-1.014362	11.406282	744.480403	0.011925	26.6
59	-1.024980	12.341766	723.592210	0.011082	21.6
60	-1.030829	11.373061	745.244401	0.010084	23.3
61	-1.025278	10.470644	766.614194	0.010566	21.7
62	-1.006105	9.724792	785.223942	0.009876	22.0
63	-1.022148	8.756087	810.786801	0.008892	25.2
64	-0.994454	7.788139	838.047995	0.009679	22.3
65	-1.016000	8.788139	809.914382	0.011203	25.1
66	-1.021347	7.819434	837.137971	0.013183	32.2
67	-1.020084	8.819434	809.064401	0.006458	26.4
68	-1.037055	7.850729	836.229910	0.010229	23.0
69	-1.010900	7.787968	838.052965	0.011834	28.9
70	-1.030318	6.819263	867.235135	0.008143	22.8
71	-1.029566	7.819263	837.142932	0.007465	25.6
72	-1.019215	7.773766	838.466606	0.013015	22.7
73	-0.994689	7.814201	837.289992	0.008921	25.0
74	-1.023069	8.814201	809.206396	0.011706	21.9
75	-1.021558	9.814194	782.945747	0.007118	24.5
76	-1.020765	9.203967	798.764015	0.011546	24.2
77	-1.008667	9.264839	797.157451	0.006815	23.4
78	-1.021718	10.264839	771.660521	0.009787	21.9
79	-1.025606	9.296134	796.334022	0.009921	22.7
80	-1.005568	8.327429	822.637490	0.009860	25.1
81	-1.011342	7.358723	850.737957	0.008211	24.1
82	-1.024332	8.357972	821.781646	0.010258	24.4
83	-1.003692	7.390515	849.785286	0.007187	21.4
84	-1.034948	8.082321	829.570720	0.010105	26.9
85	-1.017900	9.068563	802.360995	0.010835	21.6
86	-1.010766	10.068563	776.535501	0.010049	23.5
87	-1.005216	9.099858	801.526786	0.009096	24.5
88	-1.025107	10.099858	775.754103	0.010277	28.1
89	-1.011588	9.161336	799.893032	0.010432	23.7
90	-1.027164	10.161336	774.223624	0.007308	26.5
91	-1.022274	9.192630	799.063945	0.008873	26.1
92	-1.009972	8.225449	825.507999	0.011616	22.1
93	-1.009419	9.225427	798.196906	0.010654	25.2
94	-1.010254	10.172838	773.937934	0.011866	23.1
95	-1.004276	11.061774	752.479962	0.013038	24.9
96	-1.007537	10.238296	772.316217	0.013854	22.1
97	-0.989724	9.269590	797.032338	0.011966	25.2
98	-1.027036	8.300885	823.382721	0.009579	21.9
99	-1.011193	9.300885	796.209171	0.010406	25.2
100	-1.023635	10.215567	772.878556	0.010308	21.8
101	-1.018595	11.192999	749.412705	0.007037	23.5
102	-1.011051	10.229169	772.541921	0.013618	22.9
103	-1.027960	11.226531	748.632918	0.006207	21.8
104	-0.994935	10.304864	770.673916	0.013195	25.7
105	-0.997910	9.558144	789.506136	0.010021	21.8
106	-1.012717	8.589525	815.350781	0.012465	24.7
107	-1.019267	9.589525	788.696207	0.009782	21.6
108	-1.011331	8.623513	814.415297	0.007363	26.5
109	-1.014380	9.530321	790.225629	0.011317	25.0
110	-1.016036	8.561786	816.115852	0.008485	33.1
111	-1.005589	9.561786	789.412056	0.006274	25.5
112	-1.009503	8.593915	815.229826	0.013726	30.4
113	-1.022179	9.593915	788.583030	0.009555	22.3
114	-1.027465	10.593915	763.623064	0.011596	25.6
115	-1.010434	9.625210	787.777206	0.009322	22.1
116	-1.008452	10.277189	771.355831	0.010191	25.2
117	-1.007642	11.277062	747.460905	0.012853	21.9
118	-1.009442	12.277062	724.999175	0.011583	22.2
119	-1.034634	13.277062	703.848027	0.012397	22.4
120	-1.013557	12.308356	724.318007	0.009969	21.5
121	-1.021870	13.308354	703.206048	0.010389	23.4
122	-1.032774	12.339649	723.638162	0.010193	22.1
123	-1.015271	11.370943	745.293144	0.009541	22.2
124	-0.997744	10.442130	767.309399	0.008636	23.2
125	-0.999836	11.442130	743.657765	0.011191	25.9
126	-1.012093	12.442130	721.420612	0.008246	22.3
127	-1.021414	11.480167	742.786890	0.010529	22.3
128	-0.999420	12.275754	725.027669	0.012874	21.9
129	-1.015918	13.275751	703.874944	0.007566	23.4
130	-1.007708	14.245644	684.505644	0.009980	21.4
131	-1.017354	13.276939	703.850555	0.011632	24.1
132	-1.032315	14.248467	684.450816	0.008763	29.0
133	-1.010572	13.279762	703.792585	0.010241	25.3
134	-1.012977	12.513731	719.879325	0.006439	23.1
135	-1.021911	13.513356	699.029163	0.009949	25.5
136	-1.010545	14.513040	679.351638	0.007916	23.6
137	-1.023462	13.544336	698.402265	0.011630	22.0
138	-1.007158	14.543249	678.774249	0.007584	23.6
139	-1.013189	13.574544	697.792064	0.006917	23.1
140	-1.027026	12.605838	717.906276	0.009700	22.2
141	-1.011165	12.051729	729.941901	0.008007	22.2
142	-1.008897	11.552474	741.136968	0.008954	22.1
143	-1.013905	12.552474	719.048077	0.008130	23.4
144	-1.020811	13.552474	698.237756	0.005948	22.0
145	-1.012968	12.583845	718.376408	0.010153	22.0
146	-1.019731	13.583524	697.610874	0.013161	24.1
147	-1.015766	14.583523	678.005995	0.008682	21.7
148	-1.022075	15.583523	659.472898	0.010497	24.9
149	-1.035098	15.067324	668.911345	0.011300	21.9
150	-1.000985	16.067324	650.865495	0.009807	22.6
151	-1.007683	15.098619	668.331452	0.008654	24.3
152	-1.015160	16.047491	651.213936	0.009700	21.7
153	-1.032517	15.079052	668.693900	0.008995	24.2
154	-1.023249	15.778560	655.975716	0.010154	30.9
155	-1.000480	16.722673	639.558135	0.012651	24.4
156	-1.025623	17.722305	623.047684	0.007768	25.5
157	-1.033216	18.218669	615.162191	0.009530	25.1
158	-1.006734	17.250057	630.740030	0.009824	24.4
159	-1.014877	16.281352	647.128955	0.009778	22.8
160	-1.013490	17.043345	634.167220	0.009231	25.3
161	-0.989316	18.043272	617.925727	0.008350	21.6
162	-1.026624	17.079807	633.559985	0.010226	25.5
163	-1.007349	16.111102	650.097702	0.008480	22.0
164	-1.020524	17.109882	633.060011	0.011213	25.1
165	-1.024841	17.740483	622.755322	0.008531	21.7
166	-1.043014	16.772124	638.720823	0.007459	23.8
167	-1.011576	17.280071	630.245493	0.011900	22.4
168	-1.023690	16.311366	646.608394	0.012072	25.0
169	-1.028305	17.306122	629.816882	0.011446	23.5
170	-1.014346	18.306122	613.793504	0.008009	21.7
171	-1.028810	17.346384	629.155592	0.009502	23.8
172	-1.014845	16.377679	645.461217	0.012054	22.8
173	-1.019710	17.377679	628.642555	0.009821	27.2
174	-1.022744	18.345107	613.185325	0.009252	22.3
175	-1.015102	19.345107	597.986820	0.011619	25.7
176	-0.986089	20.345107	583.523517	0.009154	28.0
177	-1.022918	19.376402	597.523337	0.009208	27.9
178	-1.029939	20.330259	583.733148	0.008143	23.5
179	-1.021311	19.366084	597.676061	0.011511	29.0
180	-1.021566	20.366047	583.228130	0.011597	21.7
181	-1.013384	21.242174	571.131645	0.006569	22.9
182	-1.005512	20.273470	584.536322	0.010838	22.4
183	-0.996948	19.305071	598.580811	0.010827	22.4
184	-1.049742	18.591980	609.361850	0.005242	25.4
185	-0.989424	17.631965	624.504661	0.009027	22.5
186	-1.008563	18.631965	608.747061	0.006983	23.6
187	-1.023807	19.631965	593.765087	0.010035	22.5
188	-1.016666	18.664176	608.252706	0.012812	25.3
189	-1.032851	19.664176	593.294756	0.011491	22.6
190	-1.029855	20.649755	579.255315	0.009087	24.0
191	-1.027836	21.649755	565.673635	0.012646	21.8
192	-1.020121	21.331186	569.930691	0.008507	22.8
193	-1.030074	22.331186	556.777792	0.010185	23.5
194	-1.015198	23.324140	544.304802	0.008012	24.6
195	-1.011451	24.324140	532.295643	0.010823	23.2
196	-1.010604	23.355435	543.920771	0.007790	21.7
