1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.976571	0.000000	30.384603	0.006238	25.0
1	-0.976415	0.000000	30.384603	0.006304	1.9
2	-0.979301	0.000000	30.384603	0.004959	1.8
3	-0.979577	0.000000	30.384603	0.004651	1.9
4	-0.981168	0.000000	30.384603	0.004786	1.9
5	-0.979197	0.000000	30.384603	0.004678	3.7
6	-0.979557	0.000000	30.384603	0.004391	2.0
7	-0.980977	0.000000	30.384603	0.004151	1.8
8	-0.981950	0.000000	30.384603	0.003429	1.8
9	-0.982745	0.000000	30.384603	0.003456	1.9
10	-0.979873	0.000000	30.384603	0.003502	1.9
11	-0.981455	0.000000	30.384603	0.003164	2.4
12	-0.985229	0.000000	30.384603	0.002550	1.8
13	-0.983391	0.000000	30.384603	0.002525	1.9
14	-0.983479	0.000000	30.384603	0.002372	2.3
15	-0.984429	0.000000	30.384603	0.002126	2.8
16	-0.983720	0.000000	30.384603	0.002111	1.9
17	-0.984688	0.000000	30.384603	0.001944	1.9
18	-0.983354	0.000000	30.384603	0.002038	1.9
19	-0.983787	0.000000	30.384603	0.001808	1.8
20	-0.983711	0.000000	30.384603	0.001682	1.8
21	-0.984876	0.000000	30.384603	0.001663	2.2
22	-0.984466	0.000000	30.384603	0.001634	3.3
23	-0.983472	0.000000	30.384603	0.001523	2.4
24	-0.986585	0.000000	30.384603	0.001291	1.9
25	-0.985326	0.000000	30.384603	0.001196	1.8
26	-0.983835	0.000000	30.384603	0.001376	2.0
27	-0.984401	0.000000	30.384603	0.001223	1.8
28	-0.984618	0.000000	30.384603	0.001126	1.9
29	-0.985694	0.000000	30.384603	0.001214	3.0
30	-0.984682	0.000000	30.384603	0.001093	1.9
31	-0.985436	0.000000	30.384603	0.001095	2.0
32	-0.985012	0.000000	30.384603	0.001093	1.9
33	-0.984520	0.000000	30.384603	0.000995	1.9
34	-0.985390	0.000000	30.384603	0.000982	1.8
35	-0.984866	0.000000	30.384603	0.000935	1.8
36	-0.985715	0.000000	30.384603	0.000850	2.1
37	-0.984175	0.000000	30.384603	0.000938	1.9
38	-0.984275	0.000000	30.384603	0.001030	1.9
39	-0.983700	0.000000	30.384603	0.000943	6.0
40	-0.985766	0.000000	30.384603	0.000908	2.0
41	-0.984445	0.000000	30.384603	0.001068	2.3
42	-0.983694	0.000000	30.384603	0.000995	2.9
43	-0.984735	0.000000	30.384603	0.001069	2.2
44	-0.985667	0.000000	30.384603	0.000891	1.9
45	-0.985491	0.000000	30.384603	0.000980	1.9
46	-0.984747	0.000000	30.384603	0.000853	1.9
47	-0.985628	0.000000	30.384603	0.000800	1.8
48	-0.984039	0.000000	30.384603	0.000907	1.9
49	-0.984161	0.000000	30.384603	0.000857	2.0
50	-0.985386	0.000000	30.384603	0.000743	1.9
51	-0.985030	0.000000	30.384603	0.000847	1.8
52	-0.984360	0.000000	30.384603	0.000928	1.8
53	-0.985466	0.000000	30.384603	0.000811	2.1
54	-0.985515	0.000000	30.384603	0.000736	1.9
55	-0.987107	0.000000	30.384603	0.000716	1.9
56	-0.984436	0.000000	30.384603	0.000816	3.4
57	-0.985784	0.000000	30.384603	0.000915	2.8
58	-0.985105	0.000000	30.384603	0.000779	1.8
59	-0.983961	0.000000	30.384603	0.000807	1.8
60	-0.985538	0.000000	30.384603	0.000794	1.9
61	-0.984413	0.000000	30.384603	0.000855	1.8
62	-0.985777	0.000000	30.384603	0.000797	1.9
63	-0.984251	0.000000	30.384603	0.000937	1.9
64	-0.987215	0.000000	30.384603	0.000709	2.1
65	-0.985179	0.000000	30.384603	0.000830	2.7
66	-0.984979	0.000000	30.384603	0.000839	1.9
67	-0.984807	0.000000	30.384603	0.000837	1.9
68	-0.985438	0.000000	30.384603	0.000763	1.8
69	-0.985985	0.000000	30.384603	0.000726	1.9
70	-0.986710	0.000000	30.384603	0.000659	2.0
71	-0.984698	0.000000	30.384603	0.000883	1.9
72	-0.985633	0.000000	30.384603	0.000729	1.8
73	-0.985757	0.000000	30.384603	0.000754	2.7
74	-0.984965	0.000000	30.384603	0.000754	3.4
75	-0.984964	0.000000	30.384603	0.000704	1.8
76	-0.986347	0.000000	30.384603	0.000666	1.9
77	-0.984169	0.000000	30.384603	0.000788	2.1
78	-0.985494	0.000000	30.384603	0.000804	1.9
79	-0.986042	0.000000	30.384603	0.000725	3.3
80	-0.986779	0.000000	30.384603	0.000625	2.0
81	-0.984804	0.000000	30.384603	0.000854	1.8
82	-0.985920	0.000000	30.384603	0.000725	1.9
83	-0.985143	0.000000	30.384603	0.000778	1.8
84	-0.985662	0.000000	30.384603	0.000699	1.9
85	-0.985210	0.000000	30.384603	0.000816	1.9
86	-0.985774	0.000000	30.384603	0.000808	2.0
87	-0.986322	0.000000	30.384603	0.000692	1.9
88	-0.985746	0.000000	30.384603	0.000738	1.8
89	-0.987988	0.000000	30.384603	0.000639	1.9
90	-0.986914	0.000000	30.384603	0.000644	3.6
91	-0.986758	0.000000	30.384603	0.000729	3.0
92	-0.986675	0.000000	30.384603	0.000652	1.9
93	-0.985475	0.000000	30.384603	0.000710	3.0
94	-0.985415	0.000000	30.384603	0.000741	1.9
95	-0.985467	0.000000	30.384603	0.000698	2.0
96	-0.984869	0.000000	30.384603	0.000876	1.9
97	-0.986272	0.000000	30.384603	0.000718	1.9
98	-0.985781	0.000000	30.384603	0.000738	1.9
99	-0.985492	0.000000	30.384603	0.000753	1.8
100	-0.985926	0.000000	30.384603	0.000688	2.0
101	-0.986479	0.000000	30.384603	0.000669	1.9
102	-0.985478	0.000000	30.384603	0.000724	1.8
103	-0.986490	0.000000	30.384603	0.000714	1.9
104	-0.985635	0.000000	30.384603	0.000744	1.9
105	-0.986691	0.000000	30.384603	0.000618	1.8
106	-0.986854	0.000000	30.384603	0.000675	1.8
107	-0.986239	0.000000	30.384603	0.000675	1.9
108	-0.986543	0.000000	30.384603	0.000697	3.4
109	-0.988620	0.000000	30.384603	0.000669	3.0
110	-0.987215	0.000000	30.384603	0.000705	1.9
111	-0.985764	0.000000	30.384603	0.000737	2.0
112	-0.985917	0.000000	30.384603	0.000689	2.0
113	-0.985294	0.000000	30.384603	0.000795	1.8
114	-0.985298	0.000000	30.384603	0.000753	1.8
115	-0.986494	0.000000	30.384603	0.000706	2.3
116	-0.986669	0.000000	30.384603	0.000696	3.1
117	-0.986357	0.000000	30.384603	0.000661	2.0
118	-0.986330	0.000000	30.384603	0.000716	1.9
119	-0.986240	0.000000	30.384603	0.000710	1.9
120	-0.986935	0.000000	30.384603	0.000618	1.8
121	-0.985189	0.000000	30.384603	0.000733	1.8
122	-0.986458	0.000000	30.384603	0.000751	1.8
123	-0.985017	0.000000	30.384603	0.000777	1.9
124	-0.986187	0.000000	30.384603	0.000832	1.9
125	-0.985454	0.000000	30.384603	0.000787	1.9
126	-0.986277	0.000000	30.384603	0.000686	3.7
127	-0.985686	0.000000	30.384603	0.000718	2.8
128	-0.986018	0.000000	30.384603	0.000650	1.9
129	-0.986197	0.000000	30.384603	0.000698	1.9
130	-0.985000	0.000000	30.384603	0.000752	3.2
131	-0.986379	0.000000	30.384603	0.000682	2.5
132	-0.985664	0.000000	30.384603	0.000674	1.9
133	-0.985811	0.000000	30.384603	0.000701	1.9
134	-0.986476	0.000000	30.384603	0.000653	1.9
135	-0.986042	0.000000	30.384603	0.000745	1.8
136	-0.987009	0.000000	30.384603	0.000669	1.9
137	-0.987346	0.000000	30.384603	0.000601	1.9
138	-0.985101	0.000000	30.384603	0.000791	1.9
139	-0.986131	0.000000	30.384603	0.000717	1.8
140	-0.986851	0.000000	30.384603	0.000649	1.8
141	-0.987318	0.000000	30.384603	0.000744	1.9
142	-0.986484	0.000000	30.384603	0.000734	1.8
143	-0.986256	0.000000	30.384603	0.000621	2.1
144	-0.986846	0.000000	30.384603	0.000674	3.4
145	-0.987445	0.000000	30.384603	0.000619	2.9
146	-0.987644	0.000000	30.384603	0.000598	1.8
147	-0.986355	0.000000	30.384603	0.000746	1.9
148	-0.986684	0.000000	30.384603	0.000671	1.9
149	-0.986694	0.000000	30.384603	0.000679	1.8
150	-0.986796	0.000000	30.384603	0.000622	1.9
151	-0.987187	0.000000	30.384603	0.000649	1.8
152	-0.986552	0.000000	30.384603	0.000828	3.5
153	-0.986350	0.000000	30.384603	0.000649	2.6
154	-0.986726	0.000000	30.384603	0.000630	1.9
155	-0.985597	0.000000	30.384603	0.000717	2.0
156	-0.985914	0.000000	30.384603	0.000756	1.8
157	-0.986466	0.000000	30.384603	0.000673	1.9
158	-0.986589	0.000000	30.384603	0.000652	1.8
159	-0.987455	0.000000	30.384603	0.000668	1.8
160	-0.986929	0.000000	30.384603	0.000740	1.8
161	-0.987485	0.000000	30.384603	0.000575	2.7
162	-0.987107	0.000000	30.384603	0.000626	3.4
163	-0.986960	0.000000	30.384603	0.000667	1.8
164	-0.987237	0.000000	30.384603	0.000641	1.9
165	-0.985866	0.000000	30.384603	0.000703	1.9
166	-0.986273	0.000000	30.384603	0.000707	1.9
167	-0.986732	0.000000	30.384603	0.000650	3.2
168	-0.987240	0.000000	30.384603	0.000683	1.9
169	-0.986976	0.000000	30.384603	0.000660	1.9
170	-0.986980	0.000000	30.384603	0.000676	1.8
171	-0.986349	0.000000	30.384603	0.000697	1.8
172	-0.985303	0.000000	30.384603	0.000703	1.8
173	-0.987576	0.000000	30.384603	0.000633	1.8
174	-0.986345	0.000000	30.384603	0.000605	2.0
175	-0.986210	0.000000	30.384603	0.000682	1.9
176	-0.987736	0.000000	30.384603	0.000623	1.8
177	-0.987184	0.000000	30.384603	0.000632	1.8
178	-0.986531	0.000000	30.384603	0.000715	1.9
179	-0.987443	0.000000	30.384603	0.000619	3.4
180	-0.986597	0.000000	30.384603	0.000646	2.9
181	-0.987276	0.000000	30.384603	0.000615	2.1
