1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.837317	0.000000	2.853416	0.043134	2359.1
1	-0.819324	0.000000	2.853416	0.072920	9.6
2	-0.832413	1.000000	2.723715	0.061895	10.1
3	-0.826802	2.000000	2.605292	0.036591	12.4
4	-0.839041	3.000000	2.496739	0.032642	13.1
5	-0.840172	3.972097	2.399547	0.030819	11.4
6	-0.832870	4.972090	2.307158	0.035696	12.4
7	-0.831183	5.938028	2.224429	0.051581	15.7
8	-0.840404	6.938028	2.144809	0.048337	10.6
9	-0.844201	7.938028	2.070691	0.042794	11.7
10	-0.838337	8.938028	2.001526	0.073159	11.9
11	-0.840867	9.938028	1.936831	0.062593	18.9
12	-0.826099	10.938028	1.876187	0.043665	12.5
13	-0.807923	11.938028	1.819226	0.039129	10.3
14	-0.854537	12.938028	1.765622	0.031687	12.5
15	-0.838164	12.636877	1.781430	0.038804	14.1
16	-0.831496	13.636849	1.729999	0.043199	12.7
17	-0.848462	14.636848	1.681454	0.052102	9.7
18	-0.845824	15.636848	1.635559	0.075892	14.4
19	-0.852053	16.636848	1.592103	0.045620	11.5
20	-0.826327	17.636848	1.550896	0.019333	12.8
21	-0.850593	18.219508	1.527855	0.025834	9.9
22	-0.854536	18.937395	1.500391	0.032835	16.0
23	-0.812828	19.051421	1.496120	0.028512	11.3
24	-0.836310	20.051200	1.459683	0.030424	12.8
25	-0.837683	21.051164	1.424972	0.032480	9.8
26	-0.846985	22.035174	1.392390	0.035820	17.4
27	-0.825377	21.833111	1.398958	0.034259	11.9
28	-0.840529	22.833109	1.367043	0.038425	11.8
29	-0.833608	23.833084	1.336552	0.039269	12.4
30	-0.827085	24.833084	1.307390	0.036998	13.3
31	-0.823437	25.826172	1.279663	0.030835	11.8
32	-0.839014	26.825371	1.252928	0.031901	11.0
33	-0.846751	26.508693	1.261279	0.041686	13.0
34	-0.850665	27.508634	1.235280	0.056662	11.5
35	-0.866189	28.508634	1.210329	0.044843	11.0
36	-0.834586	29.508634	1.186366	0.031907	12.6
37	-0.854273	30.508625	1.163334	0.045118	15.1
38	-0.853899	31.508374	1.141184	0.032856	10.8
39	-0.824834	32.508255	1.119859	0.034510	11.4
40	-0.853864	33.507148	1.099337	0.035706	13.0
41	-0.866689	34.507147	1.079532	0.039615	16.9
42	-0.836424	34.786476	1.074126	0.030756	11.3
43	-0.848651	35.786475	1.055211	0.034835	12.9
44	-0.841778	35.446684	1.061563	0.046998	12.1
45	-0.845515	36.446681	1.043084	0.023653	14.4
46	-0.839592	36.810580	1.036518	0.036668	12.4
47	-0.830615	36.470894	1.042645	0.029191	9.7
48	-0.871862	37.470708	1.024816	0.024655	13.1
49	-0.858295	37.130782	1.030809	0.027045	13.2
50	-0.848207	36.859185	1.035648	0.039554	12.7
51	-0.835531	37.845365	1.018291	0.041009	10.3
52	-0.820861	38.845278	1.001277	0.035557	14.5
53	-0.830748	39.845267	0.984821	0.030968	11.7
54	-0.840871	40.648896	0.971984	0.029175	12.4
55	-0.834576	41.606091	0.957123	0.021915	9.9
56	-0.833117	41.444491	0.959600	0.023227	18.0
57	-0.852648	41.987554	0.951326	0.023014	12.2
58	-0.871023	42.875516	0.938102	0.054715	11.3
59	-0.850690	43.875515	0.923642	0.053906	11.8
60	-0.847301	44.875515	0.909621	0.033610	13.2
61	-0.831738	45.875515	0.896019	0.041007	12.0
62	-0.836577	45.539137	0.900549	0.036018	11.1
63	-0.835706	46.539137	0.887215	0.030191	13.3
64	-0.854858	47.538958	0.874272	0.030648	12.2
65	-0.822981	48.311529	0.864528	0.030702	11.5
66	-0.842668	47.972031	0.868783	0.017588	11.9
67	-0.821163	48.667798	0.860107	0.018876	14.1
68	-0.841031	48.328498	0.864316	0.049761	10.9
69	-0.849986	49.305910	0.852300	0.042864	11.3
70	-0.861686	50.305910	0.840347	0.024216	12.1
71	-0.837414	51.261450	0.829235	0.025254	15.2
72	-0.849652	50.927984	0.833079	0.036947	9.9
73	-0.836824	51.927876	0.821657	0.025974	11.0
74	-0.843502	51.655104	0.824742	0.023088	12.6
75	-0.852336	51.317319	0.828594	0.017813	15.0
76	-0.847384	52.128465	0.819404	0.020923	13.1
77	-0.855243	51.790178	0.823212	0.038108	9.8
78	-0.856077	52.431908	0.816018	0.031035	11.6
79	-0.882386	53.431838	0.805055	0.024935	18.2
80	-0.840750	53.104768	0.808608	0.023209	13.1
81	-0.854960	53.475173	0.804587	0.042272	10.3
82	-0.846042	54.474890	0.793929	0.036558	12.8
83	-0.827584	55.474890	0.783548	0.016460	14.0
84	-0.832630	56.143347	0.776758	0.029622	12.7
85	-0.840178	55.816962	0.780059	0.025483	9.9
86	-0.855615	56.393814	0.774244	0.028451	13.9
87	-0.857696	56.072944	0.777468	0.033066	12.8
88	-0.861455	57.069611	0.767542	0.030413	11.9
89	-0.852135	58.069607	0.757835	0.022783	9.8
90	-0.862077	57.724724	0.761155	0.036407	14.6
91	-0.859315	58.717404	0.751677	0.039267	11.9
92	-0.849878	59.717018	0.742368	0.028388	12.7
93	-0.860238	60.710573	0.733341	0.035826	10.7
94	-0.860789	60.365471	0.736452	0.035184	17.8
95	-0.859833	60.021098	0.739582	0.034141	12.4
96	-0.831559	59.701864	0.742507	0.029909	10.8
97	-0.858179	59.356747	0.745696	0.038285	11.8
98	-0.839821	59.305022	0.746177	0.019491	14.9
99	-0.842500	59.321465	0.746024	0.030525	13.2
100	-0.842193	59.806762	0.741543	0.030226	10.7
101	-0.839623	60.740678	0.733071	0.026587	12.4
102	-0.851483	60.395667	0.736178	0.017290	12.9
103	-0.861868	60.130038	0.738589	0.018937	13.0
104	-0.848541	59.849814	0.741149	0.026472	9.9
105	-0.820830	59.554035	0.743870	0.029277	13.4
106	-0.846105	60.337338	0.736706	0.024993	12.0
107	-0.862226	60.802717	0.732515	0.023306	11.9
108	-0.827500	61.406378	0.727149	0.028352	11.8
109	-0.858989	62.020771	0.721768	0.025535	14.5
110	-0.864208	61.675918	0.724778	0.026789	10.6
111	-0.861156	61.666579	0.724860	0.017743	11.7
112	-0.851052	61.322683	0.727888	0.033766	11.8
113	-0.852474	61.724418	0.724354	0.022176	14.8
114	-0.846905	61.640854	0.725086	0.026780	9.9
115	-0.847883	62.156242	0.720592	0.034551	12.2
116	-0.865864	63.156209	0.712030	0.049132	12.3
117	-0.866285	64.156209	0.703668	0.050123	17.7
118	-0.867804	65.156209	0.695501	0.042823	10.3
119	-0.851959	66.130867	0.687721	0.032593	12.8
120	-0.849835	67.072336	0.680369	0.030400	10.8
121	-0.851551	66.820091	0.682324	0.036424	16.2
122	-0.846847	67.820046	0.674642	0.038842	10.3
123	-0.878809	68.820046	0.667131	0.030172	12.8
124	-0.859389	68.477292	0.669686	0.026307	11.5
125	-0.842162	68.775970	0.667458	0.039474	15.8
126	-0.865609	68.508765	0.669451	0.039086	11.0
127	-0.836560	69.508683	0.662055	0.023784	13.5
128	-0.864197	69.938154	0.658928	0.019283	13.8
129	-0.850184	70.132995	0.657520	0.035740	14.0
130	-0.844424	69.832827	0.659692	0.027562	10.6
131	-0.828298	70.801578	0.652731	0.033088	9.6
132	-0.841978	70.457308	0.655188	0.033839	14.3
133	-0.847166	71.448464	0.648164	0.021883	12.9
134	-0.855695	72.418217	0.641435	0.034444	11.3
135	-0.860893	73.146367	0.636474	0.037277	9.6
136	-0.857533	74.108735	0.630034	0.028088	14.6
137	-0.830678	75.101081	0.623528	0.027543	12.1
138	-0.850186	74.756342	0.625773	0.023699	11.7
139	-0.862837	75.633970	0.620090	0.028761	9.9
140	-0.856071	76.048915	0.617438	0.024985	15.4
141	-0.860953	75.724982	0.619506	0.034791	12.2
142	-0.842512	75.536719	0.620714	0.019695	11.7
143	-0.828645	76.129455	0.616926	0.028221	9.7
144	-0.874468	76.184437	0.616577	0.031851	14.9
