1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.621544	0.000000	452.036882	0.028688	47706.8
1	-1.610255	0.000000	452.036882	0.030396	35.2
2	-1.618826	0.999498	431.499595	0.030703	29.0
3	-1.600257	1.999498	412.738333	0.030096	37.5
4	-1.601977	1.033386	430.835932	0.033131	25.6
5	-1.646242	1.906198	414.419470	0.033034	31.5
6	-1.597863	1.546944	421.022663	0.028279	31.1
7	-1.635837	1.231247	427.001449	0.023384	36.6
8	-1.639215	2.230794	408.628928	0.035061	28.0
9	-1.627399	3.230792	391.764936	0.029261	35.3
10	-1.586905	2.921866	396.824168	0.019124	27.9
11	-1.623502	2.103748	410.875956	0.035394	36.4
12	-1.637395	1.139104	428.778631	0.027151	26.7
13	-1.613003	2.137039	410.284754	0.024392	31.2
14	-1.611245	1.170928	428.163148	0.031771	29.9
15	-1.627217	2.170901	409.685164	0.038987	53.2
16	-1.597276	1.610682	419.835824	0.028766	31.5
17	-1.627019	1.090707	429.718005	0.033582	34.9
18	-1.599091	0.124595	449.370721	0.038579	27.4
19	-1.591437	1.123588	429.079330	0.028627	34.9
20	-1.600424	0.221910	447.310094	0.025704	26.1
21	-1.618344	0.934858	432.771194	0.028527	30.9
22	-1.569044	1.853127	415.381874	0.025624	29.6
23	-1.606825	2.852971	397.970327	0.033537	36.4
24	-1.606551	3.604188	385.819466	0.027440	30.0
25	-1.596547	4.604188	370.750858	0.034515	34.0
26	-1.598580	3.654187	385.037006	0.028319	26.9
27	-1.613956	2.973379	395.971491	0.028275	35.5
28	-1.613563	3.973320	380.116641	0.033281	28.6
29	-1.582884	3.007210	395.413477	0.032566	37.2
30	-1.596662	4.007210	379.601499	0.032627	26.4
31	-1.602349	3.041115	394.855827	0.032834	35.2
32	-1.600661	4.041112	379.087576	0.030347	28.7
33	-1.585326	3.283190	390.919586	0.025441	34.9
34	-1.620184	4.282881	375.462529	0.027483	27.1
35	-1.596189	3.316769	390.379758	0.028656	31.3
36	-1.578845	4.199217	376.709105	0.030379	30.5
37	-1.578525	3.233167	391.726538	0.027637	36.3
38	-1.600802	2.300542	407.405742	0.026260	29.2
39	-1.592689	3.300527	390.640689	0.026926	34.2
40	-1.616523	4.300525	375.200700	0.036625	30.5
41	-1.585868	5.126154	363.343744	0.033336	36.7
42	-1.650834	6.126153	349.949159	0.037588	24.8
43	-1.610695	7.124824	337.522980	0.038077	34.7
44	-1.631957	6.158713	349.529622	0.028687	27.2
45	-1.605076	5.192601	362.421990	0.027782	29.8
46	-1.630779	6.192600	349.094032	0.028150	27.9
47	-1.590422	5.226489	361.953698	0.026461	35.5
48	-1.597691	6.226489	348.659523	0.028640	24.6
49	-1.627108	7.197414	336.654084	0.029859	36.0
50	-1.619379	8.197414	325.123816	0.029425	29.1
51	-1.558727	7.231509	336.247512	0.031408	29.1
52	-1.643578	6.383664	346.658305	0.038657	30.6
53	-1.622424	5.420399	359.297168	0.021956	35.6
54	-1.594513	4.454301	372.934013	0.028287	26.7
55	-1.577213	5.419745	359.306066	0.027934	35.7
56	-1.588152	4.453633	372.943799	0.022808	26.2
57	-1.626708	5.130884	363.277972	0.023428	35.9
58	-1.585292	6.114664	350.097445	0.026635	28.6
59	-1.575371	7.108843	337.714883	0.036825	35.8
60	-1.630782	6.145058	349.705447	0.024957	30.6
61	-1.594752	5.206473	362.230140	0.035057	33.2
62	-1.608991	4.240362	376.095030	0.033403	28.1
63	-1.598239	3.313991	390.424359	0.042884	30.9
64	-1.602695	2.347880	406.579728	0.033074	31.3
65	-1.587631	3.347880	389.880954	0.026304	36.0
66	-1.589951	4.347871	374.499882	0.023745	30.1
67	-1.605013	5.347870	360.286220	0.027186	35.8
68	-1.577549	6.347869	347.112037	0.027849	28.6
69	-1.626558	5.442583	358.995728	0.030335	35.9
70	-1.637560	6.442583	345.914025	0.031844	26.8
71	-1.596395	5.477585	358.521155	0.026956	35.1
72	-1.629355	6.473309	345.527166	0.026910	28.2
73	-1.610124	7.473309	333.392040	0.027752	29.8
74	-1.619857	8.473041	322.083306	0.025119	32.1
75	-1.575279	7.711182	330.629871	0.030290	36.9
76	-1.594582	8.710943	319.504314	0.042030	25.0
77	-1.613262	9.710943	309.100715	0.026386	31.7
78	-1.615706	10.710942	299.353277	0.031556	30.7
79	-1.589074	11.710942	290.201805	0.027520	36.3
80	-1.599255	12.700801	281.678011	0.029942	26.9
81	-1.609401	13.700801	273.560676	0.027471	33.7
82	-1.588554	14.700801	265.898084	0.028672	31.3
83	-1.614026	13.734689	273.293783	0.031941	37.9
84	-1.580840	14.734689	265.645926	0.029480	26.0
85	-1.601262	15.734689	258.414452	0.020732	33.6
86	-1.613815	14.768577	265.394245	0.034298	27.7
87	-1.611977	15.768456	258.177135	0.031880	31.5
88	-1.577319	16.768456	251.341348	0.032750	30.1
89	-1.591084	17.767112	244.866696	0.025016	35.7
90	-1.588478	18.767111	238.709179	0.032653	26.2
91	-1.593974	19.707861	233.192664	0.032561	36.0
92	-1.601835	19.697964	233.249373	0.029370	25.6
93	-1.594081	20.697964	227.655591	0.033357	31.2
94	-1.595472	21.697964	222.323824	0.028636	29.6
95	-1.621919	20.732214	227.468751	0.038543	36.2
96	-1.609304	19.766102	232.859510	0.029589	25.6
97	-1.592162	18.799990	238.511982	0.029202	37.4
98	-1.554472	19.482763	234.489296	0.031230	25.5
99	-1.611769	20.474072	228.884556	0.025333	36.6
100	-1.610168	21.474072	223.495750	0.031526	25.8
101	-1.566870	22.474072	218.354852	0.020987	31.8
102	-1.601800	21.507960	223.317575	0.037283	30.0
