1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.298462	0.000000	0.921018	0.096466	2642.4
1	-1.249467	0.000000	0.921018	0.159198	13.6
2	-1.257035	1.000000	0.879153	0.131810	13.4
3	-1.235188	0.413495	0.903233	0.097214	19.4
4	-1.259587	1.411215	0.863022	0.184789	15.0
5	-1.227039	2.410806	0.826173	0.153757	15.8
6	-1.263029	3.359003	0.794013	0.135308	13.0
7	-1.220282	4.357195	0.762757	0.141797	11.8
8	-1.249766	5.357193	0.733818	0.106947	13.4
9	-1.271768	6.355116	0.707048	0.163823	16.4
10	-1.227277	5.767900	0.722558	0.109315	13.7
11	-1.268834	6.767898	0.696537	0.122193	12.9
12	-1.220961	7.763408	0.672430	0.097440	15.9
13	-1.249125	8.743412	0.650274	0.098808	13.8
14	-1.244344	9.743256	0.629126	0.134497	12.3
15	-1.272003	10.743255	0.609307	0.170798	14.9
16	-1.266516	11.743255	0.590698	0.186573	13.0
17	-1.265113	12.743255	0.573192	0.141785	12.1
18	-1.279343	13.743255	0.556694	0.223201	13.6
19	-1.265587	14.743255	0.541120	0.157937	14.6
20	-1.255588	15.743255	0.526392	0.104908	11.4
21	-1.263367	16.743243	0.512446	0.165301	12.8
22	-1.271244	17.743243	0.499219	0.135551	18.0
23	-1.251311	18.743243	0.486658	0.103840	13.9
24	-1.246857	19.700132	0.475216	0.135942	13.4
25	-1.238417	20.699191	0.463831	0.138200	18.1
26	-1.247851	20.113669	0.470437	0.096757	12.2
27	-1.280965	21.086565	0.459562	0.096850	12.3
28	-1.271731	21.984835	0.449958	0.143158	17.7
29	-1.262174	21.397983	0.456186	0.164113	11.4
30	-1.230179	22.378329	0.445876	0.089234	11.5
31	-1.278826	23.373156	0.435880	0.125949	16.7
32	-1.282666	24.373021	0.426275	0.145852	12.4
33	-1.252365	23.785783	0.431864	0.084704	12.1
34	-1.250041	24.785650	0.422433	0.145858	11.4
35	-1.265498	25.751812	0.413703	0.157092	17.5
36	-1.261667	26.137633	0.410317	0.114021	12.8
37	-1.256621	27.137633	0.401793	0.148286	11.6
38	-1.237664	26.550397	0.406755	0.144756	16.6
39	-1.257103	27.396040	0.399648	0.178077	13.0
40	-1.260273	28.396040	0.391557	0.149915	12.8
41	-1.243637	29.396040	0.383788	0.126963	14.1
42	-1.265810	30.396040	0.376320	0.120574	14.0
43	-1.248846	31.392468	0.369163	0.079391	13.1
44	-1.251530	32.392325	0.362250	0.145648	12.4
45	-1.274522	31.807696	0.366261	0.132174	18.2
46	-1.260023	32.807696	0.359454	0.193600	11.0
47	-1.239942	33.807696	0.352895	0.139361	11.8
48	-1.256640	34.807696	0.346572	0.146010	15.9
49	-1.254516	35.807696	0.340471	0.128896	13.2
50	-1.241987	36.803762	0.334604	0.125864	11.7
51	-1.287932	37.751415	0.329207	0.186130	12.2
52	-1.284530	38.751415	0.323697	0.162123	16.2
53	-1.220372	39.751415	0.318369	0.116938	13.3
54	-1.238784	40.750684	0.313217	0.133407	11.9
55	-1.254789	41.471344	0.309604	0.182546	16.3
56	-1.249734	42.471344	0.304726	0.219395	12.8
57	-1.230868	43.471344	0.300000	0.126187	11.4
58	-1.210380	44.447091	0.295527	0.120607	12.8
59	-1.266166	45.441964	0.291102	0.198018	16.3
60	-1.253432	46.439374	0.286796	0.090640	13.0
61	-1.260799	47.439373	0.282606	0.216186	11.9
62	-1.264209	46.852134	0.285052	0.115919	17.0
63	-1.254882	47.852134	0.280912	0.076346	11.3
64	-1.225863	47.302571	0.283172	0.106612	13.3
65	-1.238447	47.071943	0.284131	0.172532	13.4
66	-1.237637	48.071943	0.280018	0.131152	16.7
67	-1.252896	49.071942	0.276022	0.171836	12.7
68	-1.253430	48.484703	0.278354	0.191004	12.5
69	-1.240488	49.484703	0.274405	0.177729	16.5
70	-1.282023	50.484703	0.270567	0.170664	12.9
71	-1.299404	51.484703	0.266834	0.168045	11.8
72	-1.297715	52.484703	0.263203	0.133284	14.0
73	-1.253510	53.484703	0.259669	0.128991	15.9
74	-1.265344	54.484703	0.256229	0.173162	12.1
75	-1.233863	55.484703	0.252879	0.179992	14.3
76	-1.234635	56.484703	0.249615	0.139608	16.6
77	-1.265941	55.940302	0.251382	0.158406	13.1
78	-1.227535	56.932753	0.248180	0.130178	12.0
79	-1.299049	57.932753	0.245036	0.215313	16.9
80	-1.251961	58.932753	0.241971	0.154849	12.8
81	-1.219103	59.932753	0.238981	0.101578	14.3
82	-1.268394	59.346920	0.240723	0.123680	16.8
83	-1.292274	60.346919	0.237764	0.217091	13.2
84	-1.274583	61.346397	0.234878	0.156977	14.4
85	-1.269843	62.346397	0.232060	0.121210	12.9
86	-1.228099	63.337555	0.229333	0.053968	16.0
87	-1.274494	62.783638	0.230849	0.213020	12.7
88	-1.254988	62.196479	0.232478	0.130128	11.6
89	-1.256243	63.196479	0.229717	0.109419	19.0
90	-1.256240	62.609443	0.231330	0.156880	12.0
91	-1.241939	63.609443	0.228596	0.185109	12.2
92	-1.274761	64.609443	0.225926	0.114113	17.8
93	-1.273066	65.609443	0.223317	0.159328	13.1
94	-1.284473	66.442239	0.221190	0.167865	13.0
95	-1.307254	67.442239	0.218689	0.162196	15.1
96	-1.215792	68.442210	0.216244	0.188111	15.4
97	-1.272518	69.442210	0.213853	0.315813	12.0
98	-1.275417	70.442210	0.211515	0.120962	13.1
99	-1.273375	71.442210	0.209227	0.139814	15.6
100	-1.274118	70.855256	0.210564	0.155140	14.5
101	-1.231413	70.268017	0.211918	0.113592	12.9
102	-1.265466	71.267278	0.209623	0.125927	15.6
103	-1.263487	72.265731	0.207379	0.149841	13.5
104	-1.275157	73.265731	0.205179	0.150217	13.4
105	-1.275145	74.265731	0.203026	0.231549	15.1
106	-1.291254	75.265731	0.200916	0.122471	13.3
107	-1.257088	76.265731	0.198851	0.135854	13.9
108	-1.265866	77.265306	0.196828	0.248757	14.7
109	-1.271516	76.678067	0.198011	0.205447	16.7
110	-1.281208	77.678067	0.196005	0.209660	13.7
111	-1.242042	78.678067	0.194038	0.168956	13.7
112	-1.252080	78.171874	0.195029	0.231412	17.5
113	-1.257913	79.171874	0.193082	0.214777	12.0
114	-1.273635	80.171874	0.191173	0.091565	13.9
115	-1.265322	81.171874	0.189302	0.098088	18.2
116	-1.266697	80.978561	0.189661	0.116284	14.4
117	-1.256242	81.975624	0.187825	0.145691	13.1
118	-1.267441	81.544744	0.188614	0.182757	17.3
119	-1.269512	82.544744	0.186792	0.144368	13.7
120	-1.270038	83.544744	0.185006	0.147484	12.3
121	-1.279338	84.544744	0.183253	0.166349	14.3
122	-1.241328	85.544744	0.181533	0.141216	16.0
123	-1.271249	86.544725	0.179845	0.104388	14.1
124	-1.244901	86.186624	0.180446	0.202065	14.4
125	-1.247726	86.522358	0.179882	0.260376	15.3
126	-1.258508	87.522358	0.178225	0.143104	12.5
127	-1.263002	88.522358	0.176597	0.166634	11.8
128	-1.255149	89.521827	0.175000	0.178944	19.4
129	-1.237903	90.521827	0.173431	0.109605	11.6
130	-1.263845	91.519798	0.171893	0.093342	11.4
131	-1.240457	92.517528	0.170382	0.133255	16.5
132	-1.274542	93.517528	0.168894	0.226521	13.0
133	-1.297337	94.517528	0.167432	0.098587	11.3
134	-1.241967	95.517528	0.165995	0.184608	12.0
135	-1.261738	94.930295	0.166836	0.134801	15.9
136	-1.242384	95.930295	0.165409	0.170953	13.9
137	-1.292679	96.930295	0.164007	0.171894	11.8
