1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.625541	0.000000	1269.724810	0.022245	52290.2
1	-1.600352	0.000000	1269.724810	0.017601	51.2
2	-1.590673	1.000000	1212.010046	0.021609	46.9
3	-1.605475	2.000000	1159.313957	0.020702	49.2
4	-1.589946	2.965712	1112.598752	0.022656	48.8
5	-1.595121	3.930703	1069.533479	0.019918	49.4
6	-1.581136	3.006247	1110.720081	0.019355	46.9
7	-1.556685	2.081793	1155.205801	0.020519	47.6
8	-1.576035	1.850280	1166.910057	0.018205	45.7
9	-1.577246	1.913061	1163.712721	0.020511	51.1
10	-1.579046	0.988607	1212.638011	0.019615	83.3
11	-1.566540	1.988607	1159.888490	0.019545	83.9
12	-1.576964	1.790672	1169.962020	0.024670	94.5
13	-1.585137	2.790671	1120.784732	0.021558	57.7
14	-1.583285	3.790671	1075.574793	0.024088	88.2
15	-1.573112	4.789979	1033.898497	0.019921	80.4
16	-1.575051	5.789945	995.307032	0.020673	69.5
17	-1.581516	6.789945	959.491680	0.020277	46.9
18	-1.570420	5.873000	992.230913	0.018126	53.1
19	-1.564869	4.962857	1027.014123	0.018860	46.8
20	-1.582232	4.038403	1064.932985	0.019016	53.7
21	-1.570778	4.923166	1028.586585	0.021736	64.6
22	-1.559202	5.923166	990.382067	0.018117	54.3
23	-1.585410	4.998711	1025.597806	0.020587	49.5
24	-1.552966	4.074256	1063.410262	0.024156	57.6
25	-1.568023	5.074256	1022.626346	0.020071	48.5
26	-1.557760	6.074256	984.855175	0.024050	48.6
27	-1.579919	5.149801	1019.672055	0.021569	50.5
28	-1.556552	6.148453	982.163557	0.020003	49.0
29	-1.564662	7.148453	947.271284	0.019024	57.3
30	-1.562986	8.148453	914.773117	0.022496	62.8
31	-1.593236	9.068011	886.796980	0.020063	53.2
32	-1.564392	8.143555	914.926837	0.019760	53.8
33	-1.556613	7.219100	944.899757	0.022599	51.5
34	-1.560467	6.294649	976.902873	0.018876	54.8
35	-1.574501	7.294649	942.376808	0.019026	60.9
36	-1.561645	6.406415	972.918956	0.019344	51.7
37	-1.555369	7.406415	938.668983	0.019829	53.7
38	-1.564129	8.388043	907.315311	0.017968	54.3
39	-1.562736	9.387949	877.460381	0.021352	71.5
40	-1.578164	8.463493	904.991834	0.017803	53.4
41	-1.560057	7.539038	934.306921	0.022132	55.5
42	-1.554769	8.539038	902.677356	0.018597	53.0
43	-1.554015	9.539038	873.119210	0.021948	55.6
44	-1.563456	8.614724	900.370394	0.022574	227.1
45	-1.556473	9.614724	870.960676	0.020153	160.0
46	-1.558489	10.614717	843.411657	0.019524	87.0
47	-1.571301	11.614072	817.567985	0.019400	76.4
48	-1.555608	10.689617	841.418224	0.018387	78.5
49	-1.575904	11.687222	815.738377	0.017856	108.6
50	-1.557197	12.271159	801.421475	0.015913	74.4
51	-1.564442	13.269966	778.063836	0.022757	118.7
52	-1.553970	14.153061	758.517750	0.018368	99.3
53	-1.548371	15.153000	737.538264	0.021516	84.7
54	-1.554165	14.228545	756.892485	0.019907	83.1
55	-1.538798	15.228545	736.000327	0.026420	76.1
56	-1.567136	14.467304	751.797229	0.019481	74.6
57	-1.559518	15.467304	731.181584	0.017291	93.7
58	-1.568284	14.542849	750.199322	0.020018	81.5
59	-1.576145	13.643816	769.667552	0.017108	155.2
60	-1.560196	14.643816	748.074255	0.018093	140.6
61	-1.567638	13.719361	767.992857	0.018778	77.4
62	-1.562387	12.795227	788.993698	0.014919	77.9
63	-1.577809	13.795168	766.319654	0.018523	69.3
64	-1.559017	14.539997	750.259521	0.017953	75.8
65	-1.563950	13.615542	770.296211	0.022604	74.7
66	-1.538603	14.122242	759.183351	0.021631	71.2
67	-1.557425	13.198059	779.699847	0.016044	74.0
68	-1.573880	14.152328	758.533578	0.019837	75.6
69	-1.559897	15.152328	737.551985	0.021076	81.0
70	-1.574210	16.152328	717.699878	0.020754	74.4
71	-1.566650	16.596078	709.228798	0.016666	72.1
72	-1.569988	17.596073	690.853209	0.021848	79.9
73	-1.544862	16.783149	705.717275	0.025471	87.5
74	-1.565801	15.858694	723.417405	0.018622	80.1
75	-1.560078	16.858694	704.309053	0.019233	88.8
76	-1.549608	17.843020	686.461069	0.020971	75.4
77	-1.565564	16.918565	703.197000	0.022093	103.9
78	-1.554258	17.918553	685.128787	0.019221	91.0
79	-1.553277	18.024238	683.273330	0.017700	79.5
80	-1.575705	19.024234	666.201913	0.019886	82.1
81	-1.554827	18.832514	669.408431	0.019341	81.8
82	-1.555240	18.794340	670.050594	0.018310	82.3
83	-1.553579	19.794340	653.625506	0.018560	80.9
84	-1.556945	20.794340	637.986415	0.020391	85.4
85	-1.555707	20.468097	643.005657	0.021968	86.0
86	-1.566114	19.543684	657.666449	0.017790	85.0
87	-1.585263	20.543684	641.835729	0.023563	88.0
88	-1.554002	19.619229	656.443302	0.019348	93.7
89	-1.548584	20.619229	640.670705	0.016106	77.0
90	-1.545654	21.608295	625.798823	0.019636	83.8
91	-1.548292	22.608295	611.448369	0.020761	98.3
92	-1.554338	21.885338	621.756110	0.027059	87.1
93	-1.568743	22.885335	607.588413	0.020707	87.3
94	-1.546722	21.960880	620.662825	0.026541	84.0
95	-1.561876	22.960880	606.544299	0.022243	76.6
96	-1.544754	22.036425	619.573332	0.016703	78.2
97	-1.558318	23.034557	605.529443	0.023169	83.8
98	-1.572863	22.110102	618.514447	0.019128	116.4
99	-1.576314	21.532095	626.919999	0.016910	66.0
100	-1.553178	20.607641	640.849148	0.018103	96.4
101	-1.566205	19.683185	655.411339	0.018893	86.1
102	-1.583408	18.790847	670.109408	0.021571	84.2
103	-1.542348	17.866392	686.048271	0.019481	81.4
104	-1.553777	18.866392	668.839584	0.017361	74.7
105	-1.552587	19.866392	652.473089	0.017032	71.5
106	-1.560526	18.941937	667.574559	0.018513	85.1
107	-1.573318	19.728254	654.686078	0.018270	171.1
108	-1.567244	20.728254	638.996803	0.015514	114.1
109	-1.569071	21.728254	624.041910	0.025092	93.1
110	-1.576711	22.728237	609.771236	0.021025	180.0
111	-1.556456	23.716015	596.301365	0.022482	83.6
112	-1.553770	22.791560	608.889495	0.019151	115.4
113	-1.578575	22.625564	611.206339	0.019015	166.4
114	-1.571155	21.701108	624.438615	0.019882	382.1
115	-1.556006	20.776684	638.256044	0.019806	159.4
116	-1.553783	19.852240	652.699123	0.022731	167.5
117	-1.575960	18.927785	667.811183	0.022373	142.1
118	-1.563941	19.927785	651.494365	0.020121	121.0
119	-1.556120	19.003329	666.550046	0.020017	256.8
120	-1.549702	20.003329	650.294048	0.019536	309.0
121	-1.551590	21.003329	634.812083	0.021899	186.8
122	-1.551562	20.078874	649.098141	0.020360	199.0
123	-1.574183	19.154424	664.041924	0.018429	101.5
124	-1.558736	20.151938	647.945686	0.018458	298.6
125	-1.543310	21.151807	632.575983	0.018715	135.2
126	-1.565184	22.151807	617.916668	0.019990	121.6
127	-1.558819	23.151807	603.921393	0.022645	105.6
128	-1.562856	22.227365	616.836609	0.022776	139.5
129	-1.570226	21.302922	630.316295	0.018403	154.2
130	-1.567338	22.302922	615.760319	0.019742	148.5
131	-1.537712	23.302922	601.861455	0.022077	140.1
132	-1.567181	22.586888	611.748672	0.019313	101.4
133	-1.583068	23.586888	598.028301	0.020404	205.2
134	-1.574475	22.960731	606.546352	0.020311	94.2
135	-1.564137	23.960731	593.055772	0.019376	93.7
136	-1.563155	24.960731	580.152240	0.017611	119.9
137	-1.547680	25.960730	567.798270	0.026492	126.0
138	-1.567755	26.959384	555.975057	0.017879	156.9
