1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.754880	0.000000	4.172659	0.048499	2769.8
1	-0.749752	0.000000	4.172659	0.066896	17.5
2	-0.766747	0.000000	4.172659	0.050159	14.2
3	-0.773981	0.000000	4.172659	0.052031	16.2
4	-0.791595	0.000000	4.172659	0.044719	13.2
5	-0.802634	0.000000	4.172659	0.044452	17.3
6	-0.785757	0.000000	4.172659	0.035026	12.8
7	-0.819179	0.000000	4.172659	0.042718	14.7
8	-0.817404	0.000000	4.172659	0.040749	12.9
9	-0.835681	0.000000	4.172659	0.048264	10.8
10	-0.840286	0.000000	4.172659	0.054232	10.6
11	-0.857540	0.000000	4.172659	0.056491	10.7
12	-0.848626	0.000000	4.172659	0.031147	13.7
13	-0.825355	1.000000	3.982993	0.048140	10.2
14	-0.859163	2.000000	3.809819	0.070770	18.3
15	-0.846758	3.000000	3.651077	0.061737	15.4
16	-0.868844	4.000000	3.505033	0.061606	11.5
17	-0.852698	5.000000	3.370224	0.060118	11.9
18	-0.837082	6.000000	3.245401	0.044035	13.4
19	-0.848487	7.000000	3.129494	0.035565	14.6
20	-0.869233	8.000000	3.021581	0.038411	13.7
21	-0.867354	9.000000	2.920861	0.052149	16.2
22	-0.847871	10.000000	2.826640	0.055029	10.7
23	-0.847211	11.000000	2.738307	0.046814	12.3
24	-0.867559	12.000000	2.655328	0.028712	12.4
25	-0.858810	13.000000	2.577230	0.034824	13.9
26	-0.851029	14.000000	2.503595	0.030645	12.8
27	-0.883118	15.000000	2.434051	0.034880	11.5
28	-0.844073	16.000000	2.368266	0.031903	15.0
29	-0.864179	17.000000	2.305943	0.031694	12.8
30	-0.858760	18.000000	2.246816	0.042846	12.2
31	-0.866604	19.000000	2.190646	0.045977	13.4
32	-0.864796	20.000000	2.137216	0.028817	10.5
33	-0.845864	21.000000	2.086329	0.018025	11.9
34	-0.863126	22.000000	2.037810	0.015378	14.8
35	-0.894772	21.913753	2.041906	0.020704	10.7
36	-0.862170	22.468027	2.015869	0.021780	10.5
37	-0.841070	23.468014	1.970536	0.016745	11.9
38	-0.860447	23.393114	1.973861	0.022289	18.6
39	-0.871904	24.267504	1.935734	0.026197	19.6
40	-0.862813	25.262141	1.894115	0.028376	14.0
41	-0.864754	26.262141	1.854039	0.020189	14.5
42	-0.875879	27.262141	1.815623	0.023768	12.4
43	-0.867340	27.176187	1.818862	0.033140	10.5
44	-0.854419	28.176187	1.781875	0.035937	28.9
45	-0.881903	29.175527	1.746386	0.050247	12.6
46	-0.861288	30.175527	1.712261	0.043792	10.8
47	-0.875942	31.175527	1.679443	0.036397	11.2
48	-0.865418	32.175527	1.647860	0.037183	12.9
49	-0.865425	33.175527	1.617443	0.023401	11.1
50	-0.883770	34.175521	1.588129	0.018683	10.4
51	-0.861428	35.171939	1.559957	0.022821	13.4
52	-0.851341	36.169767	1.532730	0.017954	12.2
53	-0.851841	36.083776	1.535039	0.024293	11.1
54	-0.841141	37.083774	1.508611	0.025363	12.9
55	-0.866411	38.083774	1.483078	0.013358	11.2
56	-0.872667	37.997527	1.485246	0.036911	10.4
57	-0.879475	38.814384	1.464963	0.038313	10.8
58	-0.874476	39.814384	1.440874	0.015221	13.2
59	-0.863405	39.963619	1.437346	0.020524	12.4
60	-0.855846	39.877372	1.439383	0.025137	10.0
61	-0.850909	40.877372	1.416121	0.022129	9.6
62	-0.858619	41.877372	1.393599	0.024576	13.0
63	-0.873709	42.877372	1.371782	0.023091	10.7
64	-0.853693	43.877372	1.350638	0.014917	10.0
65	-0.863794	43.791336	1.352431	0.034466	9.9
66	-0.866528	43.781404	1.352639	0.025379	12.6
67	-0.838311	44.781404	1.332076	0.018441	9.9
68	-0.882010	44.696417	1.333799	0.016672	10.3
69	-0.879436	44.610178	1.335552	0.016637	10.1
70	-0.856803	45.508189	1.317520	0.023319	12.8
71	-0.847193	45.421942	1.319230	0.019696	10.2
72	-0.852750	46.421942	1.299663	0.014839	10.2
73	-0.882829	46.338453	1.301275	0.022972	10.2
74	-0.860118	46.252206	1.302944	0.014845	13.8
75	-0.876390	46.173233	1.304475	0.026192	10.2
76	-0.868812	47.155801	1.285670	0.035698	10.1
77	-0.880230	47.069554	1.287299	0.033159	10.1
78	-0.850085	48.069554	1.268661	0.020864	17.2
79	-0.891629	47.983306	1.270247	0.023616	11.6
80	-0.845342	48.983306	1.252096	0.013319	10.2
81	-0.863612	48.897058	1.253641	0.019169	10.2
82	-0.859993	48.810821	1.255190	0.015913	12.7
83	-0.861055	48.982757	1.252106	0.024315	10.1
84	-0.868330	48.896509	1.253651	0.032597	9.9
85	-0.836341	49.896509	1.235968	0.030458	10.6
86	-0.857478	50.896509	1.218777	0.023530	12.8
87	-0.881963	51.896509	1.202058	0.019605	9.9
88	-0.880559	51.810262	1.203482	0.026146	9.8
89	-0.895620	52.788990	1.187519	0.024462	9.8
90	-0.857992	53.788990	1.171641	0.028833	13.0
91	-0.866966	54.691403	1.157672	0.025345	9.7
92	-0.876264	55.691403	1.142577	0.025964	9.9
93	-0.877309	56.691403	1.127870	0.027623	9.9
94	-0.825105	57.691403	1.113538	0.022175	13.3
95	-0.885869	57.605155	1.114759	0.018929	11.5
96	-0.871861	57.518908	1.115984	0.017334	12.3
97	-0.868307	58.518836	1.101951	0.026824	10.3
98	-0.868656	58.432588	1.103147	0.040394	13.1
99	-0.843553	59.432588	1.089432	0.017955	10.8
100	-0.888186	60.432588	1.076054	0.023876	10.7
101	-0.887163	60.346341	1.077195	0.020184	13.2
102	-0.879545	60.260093	1.078338	0.026683	11.8
103	-0.870268	61.260092	1.065229	0.041613	11.0
104	-0.873630	62.260092	1.052435	0.021987	11.2
105	-0.864646	63.260092	1.039945	0.016509	12.4
106	-0.856183	63.870773	1.032462	0.025570	10.8
107	-0.876827	64.389285	1.026192	0.028679	10.1
108	-0.898192	65.389281	1.014314	0.025130	13.6
109	-0.884154	66.388935	1.002711	0.014534	10.6
110	-0.867357	66.302688	1.003701	0.024915	11.5
111	-0.852849	66.216585	1.004692	0.019756	11.5
112	-0.874721	66.132854	1.005658	0.020014	14.2
113	-0.873526	66.046608	1.006654	0.027777	14.5
114	-0.875099	67.046608	0.995221	0.026119	13.6
115	-0.865328	68.046608	0.984045	0.024070	10.5
116	-0.864867	69.046608	0.973116	0.022123	10.4
117	-0.869761	68.960361	0.974049	0.019496	10.2
118	-0.881132	69.959349	0.963352	0.020051	14.1
119	-0.871856	69.873101	0.964266	0.024212	11.6
120	-0.873712	69.786856	0.965182	0.017274	12.0
121	-0.875482	69.705874	0.966044	0.019190	9.8
122	-0.864352	70.632039	0.956279	0.023475	14.2
123	-0.859198	70.545792	0.957180	0.024106	10.9
124	-0.840038	71.545791	0.946838	0.025284	9.9
125	-0.885961	71.459560	0.947721	0.022908	13.9
126	-0.878032	72.459560	0.937580	0.021528	12.6
127	-0.880997	72.380665	0.938372	0.021780	12.6
128	-0.870656	72.294418	0.939240	0.020765	19.9
129	-0.857843	72.940492	0.932780	0.023168	14.4
130	-0.891856	73.940281	0.922957	0.013600	12.8
131	-0.884400	73.854033	0.923797	0.035199	14.5
132	-0.881679	73.767786	0.924637	0.019823	9.9
133	-0.881572	74.767786	0.914982	0.032445	18.8
134	-0.878542	74.681539	0.915807	0.017575	14.1
135	-0.871309	74.859769	0.914104	0.022373	11.2
136	-0.873194	74.773521	0.914928	0.017235	16.2
137	-0.859525	74.687292	0.915752	0.013266	14.7
138	-0.871103	74.601047	0.916578	0.021314	10.7
139	-0.882667	74.514800	0.917406	0.016307	12.3
140	-0.876984	74.428751	0.918233	0.018146	11.6
141	-0.856040	74.342633	0.919062	0.015801	15.6
142	-0.859590	74.426988	0.918250	0.017230	13.6
143	-0.876456	74.340741	0.919081	0.025488	12.6
144	-0.861024	74.982884	0.912932	0.016685	13.4
145	-0.875862	75.982869	0.903519	0.021364	14.7
146	-0.899453	75.896622	0.904323	0.021854	16.2
147	-0.869045	75.810374	0.905129	0.014698	13.0
148	-0.889038	75.724127	0.905936	0.020263	13.3
