1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.082985	0.000000	3.277164	0.023597	2686.7
1	-1.098504	0.000000	3.277164	0.041915	10.2
2	-1.081913	0.936113	3.137312	0.080195	9.6
3	-1.059696	1.936113	3.000527	0.053560	12.3
4	-1.071791	2.936113	2.875172	0.033854	11.0
5	-1.081902	2.643440	2.910762	0.065458	9.7
6	-1.078717	3.643440	2.792647	0.048433	9.7
7	-1.079632	4.643440	2.683744	0.030763	12.6
8	-1.086965	5.393019	2.607524	0.038062	9.5
9	-1.088749	6.392740	2.512360	0.049919	12.0
10	-1.081983	7.392740	2.423874	0.078003	10.0
11	-1.071026	8.392740	2.341409	0.062869	12.1
12	-1.086850	9.392740	2.264371	0.053139	10.8
13	-1.072567	10.392719	2.192242	0.030933	9.9
14	-1.092398	11.392719	2.124565	0.034290	9.8
15	-1.072365	11.100131	2.143930	0.030165	12.5
16	-1.079745	12.099986	2.079168	0.051759	11.3
17	-1.090990	13.099986	2.018195	0.052218	9.8
18	-1.089374	14.099986	1.960697	0.042572	9.8
19	-1.099513	15.099986	1.906384	0.044742	14.0
20	-1.063259	16.099986	1.854999	0.039411	9.9
21	-1.095320	17.099985	1.806311	0.039463	9.8
22	-1.106696	18.099985	1.760114	0.040542	9.8
23	-1.067110	19.099985	1.716221	0.041778	13.1
24	-1.098465	20.099984	1.674464	0.029210	11.0
25	-1.087610	21.099984	1.634690	0.019686	9.9
26	-1.087339	20.807374	1.646131	0.037887	9.9
27	-1.087306	20.613734	1.653791	0.034616	12.5
28	-1.099012	21.611128	1.615081	0.045731	10.8
29	-1.086127	22.611128	1.578048	0.055071	9.9
30	-1.095514	23.611128	1.542674	0.050425	9.8
31	-1.083869	24.611128	1.508852	0.029686	13.0
32	-1.101683	25.609422	1.476535	0.024394	10.0
33	-1.104625	25.328790	1.485479	0.035909	11.1
34	-1.092997	25.288214	1.486781	0.028084	10.7
35	-1.102953	26.198968	1.458092	0.032546	15.4
36	-1.089949	27.153380	1.429192	0.031372	10.2
37	-1.116238	27.174146	1.428576	0.034373	10.2
38	-1.111797	26.885846	1.437177	0.032703	13.0
39	-1.082162	27.874724	1.408099	0.040831	10.0
40	-1.098999	28.872576	1.379925	0.035656	11.4
41	-1.117531	29.710579	1.357122	0.028581	10.6
42	-1.088849	29.554074	1.361323	0.037853	12.0
43	-1.099321	30.553706	1.334927	0.029487	10.8
44	-1.104535	30.298371	1.341572	0.049770	9.8
45	-1.091473	31.298370	1.315919	0.034502	10.1
46	-1.083706	32.298370	1.291230	0.029050	12.7
47	-1.087266	32.005697	1.298359	0.036412	10.7
48	-1.133618	32.956926	1.275470	0.036964	10.6
49	-1.111192	33.953233	1.252346	0.034713	11.0
50	-1.087964	34.953115	1.229966	0.031126	12.1
51	-1.095343	34.660454	1.236433	0.032980	9.9
52	-1.074990	35.520127	1.217627	0.025334	11.2
53	-1.081370	36.519108	1.196480	0.026228	9.8
54	-1.100652	36.261711	1.201858	0.024932	12.9
55	-1.089572	37.056811	1.185398	0.023420	11.1
56	-1.089414	36.883682	1.188944	0.036033	10.1
57	-1.119260	36.701343	1.192701	0.037565	11.1
58	-1.107979	37.701320	1.172383	0.054510	11.9
59	-1.130987	38.701320	1.152746	0.069720	11.5
60	-1.099524	39.701320	1.133755	0.046547	9.9
61	-1.079025	40.701320	1.115380	0.028091	9.8
62	-1.085531	40.408648	1.120696	0.028237	12.3
63	-1.090407	41.373003	1.103369	0.021263	9.8
64	-1.121186	41.336849	1.104009	0.026667	11.3
65	-1.080698	41.044561	1.109210	0.027565	9.8
66	-1.123500	40.908226	1.111653	0.023179	12.6
67	-1.071800	41.277998	1.105052	0.038339	10.8
68	-1.108694	41.681043	1.097947	0.025675	10.5
69	-1.112645	41.692968	1.097738	0.022817	9.9
70	-1.118762	41.401701	1.102862	0.024863	12.2
71	-1.087015	41.111376	1.108017	0.024846	10.6
