1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.112966	0.000000	220.942752	0.006665	3477.3
1	-1.133753	0.000000	220.942752	0.003850	22.0
2	-1.089866	0.000000	220.942752	0.003576	20.2
3	-1.141737	0.000000	220.942752	0.002721	23.8
4	-1.137132	0.000000	220.942752	0.003239	20.0
5	-1.128709	0.000000	220.942752	0.002746	22.5
6	-1.107000	0.000000	220.942752	0.002839	20.4
7	-1.133928	0.000000	220.942752	0.003041	23.0
8	-1.134045	0.000000	220.942752	0.002411	19.9
9	-1.117817	0.000000	220.942752	0.002527	21.7
10	-1.115831	0.000000	220.942752	0.002030	20.1
11	-1.129110	0.000000	220.942752	0.003065	22.5
12	-1.105385	0.000000	220.942752	0.004033	19.8
13	-1.124453	1.000000	210.899900	0.002851	22.2
14	-1.129418	2.000000	201.730339	0.002507	19.7
15	-1.132846	1.966922	202.020878	0.001834	21.7
16	-1.119529	1.933814	202.312528	0.001863	19.9
17	-1.104440	1.900705	202.605021	0.001933	22.8
18	-1.122264	1.867596	202.898362	0.002064	20.0
19	-1.126539	1.834487	203.192553	0.002367	22.6
20	-1.112682	1.801379	203.487598	0.002146	20.2
21	-1.117350	1.768270	203.783502	0.002061	22.7
22	-1.117746	1.735161	204.080267	0.001974	19.9
23	-1.144573	1.702053	204.377898	0.002261	22.2
24	-1.129763	1.668944	204.676398	0.002300	19.1
25	-1.144383	1.635835	204.975772	0.002145	21.7
26	-1.133250	1.602727	205.276022	0.001938	20.1
27	-1.137372	1.569618	205.577154	0.002052	22.3
28	-1.121129	1.536509	205.879170	0.002363	19.9
29	-1.137044	1.503400	206.182075	0.002273	22.2
30	-1.134317	1.470292	206.485873	0.002187	20.5
31	-1.125305	1.437183	206.790567	0.002025	23.0
32	-1.130808	1.404074	207.096162	0.002269	21.6
33	-1.153096	1.370966	207.402661	0.002566	23.5
34	-1.116465	1.337857	207.710069	0.001892	19.4
35	-1.148223	1.304748	208.018389	0.002452	21.8
36	-1.137399	1.271639	208.327627	0.002808	20.4
37	-1.149163	1.238531	208.637785	0.002726	23.3
38	-1.138080	2.238531	199.659688	0.002582	19.8
39	-1.148806	2.205422	199.944555	0.002838	22.1
40	-1.144935	3.186590	191.833487	0.002326	19.9
41	-1.129452	3.153481	192.096445	0.001979	22.1
42	-1.155992	3.120372	192.360125	0.001968	20.4
43	-1.125190	3.087263	192.624530	0.002812	22.3
44	-1.133645	3.054155	192.889663	0.001955	20.3
45	-1.153202	3.021046	193.155527	0.002895	22.1
46	-1.145139	2.987937	193.422125	0.002899	19.9
47	-1.126175	3.987936	185.681515	0.002348	23.6
48	-1.133099	3.956511	185.915322	0.002141	19.6
49	-1.141571	3.923402	186.162295	0.002194	23.3
50	-1.160267	3.890294	186.409926	0.002286	19.9
51	-1.173219	3.857185	186.658216	0.001788	22.1
52	-1.122006	3.824076	186.907168	0.002317	19.8
53	-1.138291	3.790968	187.156785	0.002042	22.9
54	-1.121679	3.757859	187.407070	0.002330	20.3
55	-1.164380	3.724750	187.658026	0.002041	22.6
56	-1.128158	3.691641	187.909654	0.001784	20.3
