1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.811331	0.000000	3.021620	0.055363	2377.8
1	-0.823818	0.000000	3.021620	0.098660	9.9
2	-0.806887	1.000000	2.884274	0.046199	10.0
3	-0.817354	2.000000	2.758871	0.071040	12.9
4	-0.841083	1.540954	2.815055	0.060216	10.1
5	-0.816069	2.540954	2.695474	0.074976	10.1
6	-0.804638	3.540954	2.585638	0.066856	11.6
7	-0.812034	4.540954	2.484403	0.082789	13.3
8	-0.814509	5.539138	2.390960	0.073966	11.4
9	-0.830414	6.539138	2.304140	0.054539	10.2
10	-0.782390	7.539133	2.223404	0.059966	9.9
11	-0.820929	8.539133	2.148134	0.067147	13.0
12	-0.824047	9.539133	2.077794	0.068832	12.6
13	-0.817234	10.539133	2.011914	0.052758	10.2
14	-0.846503	11.539133	1.950084	0.059241	9.9
15	-0.804799	12.539133	1.891940	0.047026	13.0
16	-0.819847	13.539133	1.837163	0.049357	10.2
17	-0.856867	14.429841	1.790977	0.089166	10.0
18	-0.834001	15.429841	1.741815	0.051435	10.1
19	-0.816721	16.429841	1.695279	0.093746	13.6
20	-0.806535	17.429841	1.651166	0.084385	10.3
21	-0.825019	18.429841	1.609290	0.054029	11.1
22	-0.835250	19.429635	1.569493	0.066705	10.3
23	-0.810679	18.968215	1.587612	0.045833	13.1
24	-0.843000	19.968215	1.548860	0.084397	10.4
25	-0.812196	20.968215	1.511954	0.100319	10.7
26	-0.845034	21.968215	1.476767	0.069139	10.2
27	-0.833647	22.968215	1.443180	0.068746	13.2
28	-0.827856	23.968215	1.411086	0.066750	10.2
29	-0.835137	24.968215	1.380389	0.088005	10.1
30	-0.819731	25.968215	1.350999	0.063521	9.9
31	-0.818340	26.968215	1.322835	0.056658	13.0
32	-0.835927	27.968215	1.295821	0.113870	10.7
33	-0.819095	28.968215	1.269888	0.073938	10.2
34	-0.832968	29.968215	1.244973	0.073669	10.0
35	-0.827325	29.506795	1.256346	0.084073	12.6
36	-0.808597	30.506795	1.231955	0.060707	10.1
37	-0.838229	31.506795	1.208492	0.054049	10.0
38	-0.827125	31.045392	1.219206	0.063090	10.0
39	-0.813086	32.045392	1.196221	0.040876	12.7
40	-0.846463	33.045392	1.174088	0.100091	9.9
41	-0.840019	34.045360	1.152759	0.073758	9.8
42	-0.818328	35.045360	1.132191	0.071909	9.9
43	-0.836675	36.045360	1.112343	0.080689	13.1
44	-0.826531	37.045360	1.093180	0.076030	9.9
45	-0.826620	38.045360	1.074666	0.039150	9.9
46	-0.801586	37.584585	1.083118	0.060225	10.1
47	-0.831016	37.123165	1.091717	0.047164	13.5
48	-0.830557	38.123165	1.073252	0.066561	10.6
49	-0.843509	37.662897	1.081672	0.074565	9.7
50	-0.850317	38.662897	1.063543	0.046910	10.8
51	-0.809214	39.662897	1.046011	0.044374	16.2
52	-0.825704	40.662897	1.029047	0.050297	10.9
53	-0.820719	41.662897	1.012625	0.048361	10.6
54	-0.833338	42.662897	0.996719	0.047134	10.7
55	-0.815351	43.662897	0.981305	0.042563	12.7
56	-0.819023	43.888016	0.977901	0.065989	12.1
57	-0.815430	44.888016	0.963059	0.048630	17.1
58	-0.830260	45.888016	0.948661	0.073674	20.3
59	-0.834081	46.851472	0.935190	0.092910	18.5
60	-0.826508	47.851472	0.921607	0.066662	21.6
61	-0.819352	48.851472	0.908414	0.066145	25.6
62	-0.808120	49.851472	0.895592	0.040816	20.0
63	-0.835912	50.792337	0.883855	0.073124	15.4
64	-0.816743	50.971884	0.881650	0.036718	14.9
65	-0.822595	51.971884	0.869568	0.048126	14.8
66	-0.829040	51.528133	0.874888	0.057728	17.0
67	-0.812826	52.528133	0.862990	0.048721	11.5
68	-0.818123	52.066714	0.868440	0.078861	11.8
69	-0.824623	53.066714	0.856715	0.043619	10.0
70	-0.845691	54.066714	0.845302	0.073041	9.7
71	-0.811035	55.066707	0.834189	0.049645	10.2
72	-0.826735	56.064647	0.823387	0.071331	12.9
73	-0.810646	57.064647	0.812839	0.047636	9.7
74	-0.808241	58.064647	0.802559	0.032367	9.6
75	-0.828878	57.603227	0.807270	0.035873	9.5
76	-0.818417	57.800815	0.805246	0.049452	11.4
77	-0.846571	58.800786	0.795155	0.070333	9.7
78	-0.835407	59.800786	0.785314	0.096802	10.7
79	-0.821128	60.800786	0.775714	0.066878	10.8
80	-0.826775	61.800786	0.766346	0.063398	12.9
81	-0.844377	62.800786	0.757201	0.105141	9.6
82	-0.848986	63.800786	0.748272	0.060177	10.2
83	-0.825158	64.800786	0.739551	0.051879	9.6
84	-0.798468	65.799936	0.731038	0.056389	13.2
85	-0.842457	66.799936	0.722712	0.083302	15.3
86	-0.807571	67.799936	0.714573	0.043924	14.1
87	-0.821613	68.799936	0.706616	0.062752	14.8
88	-0.835220	69.799936	0.698833	0.081265	13.3
89	-0.821035	70.799936	0.691221	0.095501	11.0
90	-0.845732	71.799936	0.683772	0.071763	10.8
91	-0.837531	72.799936	0.676483	0.040760	11.2
92	-0.834117	72.338516	0.679827	0.077193	10.5
93	-0.825669	73.338516	0.672621	0.066914	10.0
94	-0.811085	74.338516	0.665566	0.044343	13.0
95	-0.825550	75.324622	0.658752	0.066830	10.2
96	-0.822165	76.287312	0.652233	0.070821	9.7
97	-0.820888	77.287312	0.645597	0.059442	9.8
98	-0.835872	78.287312	0.639095	0.068847	12.1
99	-0.837126	79.287312	0.632722	0.062410	10.0
100	-0.823572	80.287312	0.626476	0.061094	10.5
101	-0.829780	81.287312	0.620351	0.033915	10.5
102	-0.830752	80.825892	0.623162	0.079355	12.4
103	-0.836962	81.825892	0.617102	0.097068	11.6
104	-0.837517	82.825892	0.611158	0.066843	9.8
105	-0.829336	82.690469	0.611956	0.054936	10.3
106	-0.833724	83.690469	0.606111	0.019218	12.7
107	-0.842175	83.229072	0.608794	0.020151	9.8
108	-0.834608	83.189656	0.609024	0.066738	10.0
109	-0.816642	84.187944	0.603244	0.063286	9.9
110	-0.826211	85.187943	0.597563	0.050524	12.4
111	-0.833047	86.187943	0.591988	0.037848	9.9
112	-0.833059	87.187942	0.586517	0.053241	9.8
113	-0.828866	86.729087	0.589015	0.063581	9.6
114	-0.816226	87.729087	0.583598	0.092886	13.3
115	-0.849312	88.729087	0.578279	0.033532	10.1
116	-0.824282	89.729087	0.573057	0.038349	9.6
117	-0.813122	89.267670	0.575455	0.028344	9.7
118	-0.826392	90.264937	0.570297	0.059781	12.7
119	-0.834585	91.264933	0.565217	0.059312	9.7
120	-0.822084	92.264933	0.560227	0.029750	9.8
121	-0.809987	93.264933	0.555324	0.055388	9.8
122	-0.832274	93.959165	0.551970	0.059937	11.7
123	-0.839057	94.959165	0.547210	0.051565	9.7
124	-0.832287	95.959165	0.542531	0.074666	9.6
125	-0.808258	95.497746	0.544680	0.046777	10.5
126	-0.841664	96.497746	0.540045	0.040298	12.9
127	-0.843897	96.036328	0.542174	0.046243	9.9
128	-0.842245	95.577840	0.544306	0.086978	9.9
129	-0.826920	96.577840	0.539677	0.036765	9.6
130	-0.829493	97.577840	0.535126	0.052868	13.2
131	-0.838179	97.116420	0.537216	0.033716	9.7
132	-0.826567	96.907674	0.538167	0.044655	9.6
133	-0.821164	97.907674	0.533641	0.045890	10.1
134	-0.810315	97.446289	0.535720	0.065507	16.0
135	-0.859843	98.434080	0.531289	0.065559	10.7
136	-0.839135	99.434076	0.526878	0.064659	10.3
137	-0.838282	100.434076	0.522539	0.054861	10.4
138	-0.846902	101.434076	0.518271	0.052100	12.6
139	-0.835044	102.434075	0.514072	0.054153	10.0
140	-0.825053	103.434075	0.509941	0.046522	9.9
141	-0.825765	104.434075	0.505876	0.079903	10.5
142	-0.826032	105.434075	0.501874	0.079807	12.8
143	-0.842937	106.434075	0.497936	0.076079	9.7
144	-0.832508	107.434075	0.494059	0.034111	9.7
145	-0.821585	108.427301	0.490268	0.054207	10.3
146	-0.814809	109.427301	0.486509	0.044352	12.7
147	-0.833699	108.966510	0.488234	0.099088	9.7
148	-0.826415	109.966510	0.484506	0.073808	9.7
149	-0.828584	110.966510	0.480834	0.059082	9.5
150	-0.803494	111.966510	0.477218	0.050952	13.0
151	-0.808266	112.966510	0.473656	0.060409	9.9
152	-0.814880	113.955211	0.470186	0.030162	9.4
153	-0.838620	114.953522	0.466733	0.053561	9.8
154	-0.821009	115.953522	0.463325	0.045943	12.5
155	-0.826374	116.953522	0.459967	0.031329	10.1
156	-0.838012	116.492119	0.461510	0.075423	9.6
157	-0.824982	117.492119	0.458178	0.025978	10.3
158	-0.831032	118.446434	0.455042	0.027765	12.1
159	-0.806891	118.646228	0.454391	0.069292	9.9
160	-0.824085	119.646228	0.451161	0.077102	9.7
161	-0.836391	120.646228	0.447975	0.051071	9.6
162	-0.810644	121.646228	0.444835	0.047604	12.9
163	-0.850317	122.645916	0.441739	0.033748	9.7
164	-0.834973	123.645889	0.438685	0.026347	9.6
165	-0.836930	124.645884	0.435673	0.040375	9.6
166	-0.829800	124.184464	0.437058	0.037204	12.6
167	-0.832379	125.184464	0.434068	0.043865	9.7
168	-0.825643	126.184453	0.431119	0.029148	10.3
169	-0.819797	127.184444	0.428210	0.052209	9.8
170	-0.810044	126.723024	0.429547	0.030462	12.8
171	-0.838750	127.722986	0.426659	0.042168	9.7
172	-0.809559	128.649605	0.424017	0.029867	9.8
173	-0.830865	128.217895	0.425244	0.028165	9.7
174	-0.828904	129.175092	0.422534	0.050206	11.6
175	-0.838059	130.175084	0.419739	0.037262	9.8
176	-0.835101	129.717411	0.421013	0.050361	10.5
177	-0.814726	130.717411	0.418238	0.044823	10.8
178	-0.841072	131.717411	0.415500	0.055895	12.9
179	-0.831368	132.717411	0.412797	0.036095	19.3
180	-0.849325	133.717405	0.410129	0.038917	9.9
181	-0.822612	134.717272	0.407495	0.037191	13.6
182	-0.834488	135.717272	0.404895	0.037126	10.0
183	-0.844175	135.260681	0.406078	0.052970	9.7
184	-0.838025	136.260681	0.403496	0.066904	9.7
185	-0.812073	137.260681	0.400946	0.045874	12.5
186	-0.837155	138.260681	0.398429	0.059448	10.3
187	-0.828221	137.799261	0.399586	0.057441	11.3
188	-0.823201	138.799261	0.397086	0.054317	10.3
189	-0.821805	139.799261	0.394616	0.038054	12.7
190	-0.844573	139.337865	0.395752	0.055510	10.9
191	-0.805302	140.337865	0.393299	0.050898	10.1
192	-0.849191	141.337863	0.390876	0.102549	10.8
193	-0.818824	142.337863	0.388483	0.061698	13.2
194	-0.822286	143.337863	0.386119	0.052248	19.8
195	-0.840731	144.337282	0.383785	0.024720	10.4
196	-0.828081	143.875866	0.384859	0.034125	13.6
197	-0.814500	143.420632	0.385925	0.038412	13.4
198	-0.834476	142.963956	0.387000	0.016838	10.8
199	-0.827197	142.503962	0.388089	0.060001	10.0
200	-0.855904	143.486088	0.385771	0.071970	12.2
201	-0.823471	144.486088	0.383440	0.041373	10.8
202	-0.821189	145.486088	0.381137	0.061859	9.9
203	-0.832672	145.024669	0.382196	0.036913	10.1
204	-0.824519	146.024669	0.379908	0.048488	12.3
205	-0.830894	147.024659	0.377647	0.042969	10.3
206	-0.835174	148.024659	0.375413	0.050863	9.9
207	-0.796913	149.024656	0.373205	0.049872	10.1
208	-0.827828	150.024656	0.371023	0.046779	13.4
209	-0.842655	151.024656	0.368866	0.074051	11.8
210	-0.847198	152.024656	0.366734	0.052528	12.5
211	-0.855097	153.024656	0.364627	0.061456	12.3
212	-0.834468	152.563236	0.365596	0.048744	14.1
213	-0.834567	153.563236	0.363502	0.048809	9.9
214	-0.829288	154.563236	0.361431	0.041118	10.6
215	-0.816451	155.563111	0.359384	0.031079	12.5
216	-0.845242	155.760043	0.358984	0.073305	10.1
217	-0.837780	155.300245	0.359920	0.048706	10.0
218	-0.825514	156.300243	0.357890	0.057262	11.0
219	-0.816959	155.838823	0.358824	0.074864	13.0
220	-0.847127	156.838823	0.356806	0.054799	9.9
221	-0.814860	157.838823	0.354811	0.055625	10.2
222	-0.856067	158.838823	0.352838	0.080278	14.4
223	-0.834940	159.838823	0.350887	0.041467	13.1
224	-0.849030	160.838823	0.348958	0.054562	10.5
225	-0.831616	161.838823	0.347049	0.049956	11.3
226	-0.830567	162.838823	0.345161	0.068875	13.3
227	-0.853338	163.762176	0.343436	0.047634	10.6
228	-0.835426	164.762176	0.341587	0.060833	11.2
229	-0.826423	165.762176	0.339758	0.048124	16.8
230	-0.833481	165.374123	0.340466	0.036451	12.8
231	-0.830062	166.374123	0.338649	0.037649	9.9
232	-0.824721	167.367463	0.336863	0.024066	10.2
233	-0.861206	166.916832	0.337671	0.044670	12.9
234	-0.828606	166.480578	0.338457	0.047590	10.3
235	-0.865341	167.480575	0.336661	0.069936	10.1
236	-0.835679	167.019155	0.337487	0.026768	10.0
237	-0.838954	168.019116	0.335702	0.027053	13.1
238	-0.826491	168.442460	0.334951	0.041451	10.6
239	-0.842662	169.441783	0.333194	0.064348	9.9
240	-0.829990	168.980723	0.334002	0.056468	10.2
241	-0.832300	169.980723	0.332254	0.037873	13.0
242	-0.816957	170.980723	0.330523	0.064352	10.1
243	-0.831294	171.980723	0.328810	0.033436	10.3
244	-0.835454	172.980723	0.327115	0.050822	10.0
245	-0.824387	173.864323	0.325632	0.037974	12.5
246	-0.834516	174.861585	0.323974	0.065744	10.1
247	-0.837393	175.861582	0.322328	0.036572	10.0
248	-0.840545	175.400162	0.323085	0.048136	10.0
249	-0.840738	176.400162	0.321449	0.055977	13.8
250	-0.852498	177.400159	0.319829	0.048379	10.1
251	-0.826435	178.400159	0.318225	0.075901	9.9
252	-0.840401	178.596162	0.317912	0.060860	10.1
253	-0.839441	179.596162	0.316327	0.041501	12.8
254	-0.822363	180.596162	0.314758	0.027071	13.4
255	-0.822647	181.593266	0.313209	0.063292	12.3
256	-0.850019	181.131847	0.313924	0.089527	10.5
257	-0.828404	182.131847	0.312379	0.047203	11.4
258	-0.834402	183.131847	0.310848	0.056327	9.8
259	-0.834682	184.131847	0.309333	0.046441	10.1
260	-0.827254	185.131847	0.307832	0.069256	12.2
261	-0.828970	186.131844	0.306346	0.042785	9.9
262	-0.828134	187.131844	0.304874	0.048624	10.1
263	-0.837116	188.131844	0.303416	0.028320	11.0
264	-0.822892	188.456504	0.302946	0.043899	13.1
265	-0.840427	189.412741	0.301569	0.047552	10.3
266	-0.823343	190.412741	0.300143	0.036263	13.3
267	-0.847602	191.412741	0.298730	0.045396	12.4
268	-0.830869	192.412741	0.297330	0.072682	11.4
269	-0.841592	193.412741	0.295943	0.054537	10.1
270	-0.848105	194.412741	0.294570	0.067517	10.2
271	-0.817109	193.951325	0.295202	0.059817	12.8
272	-0.840615	194.950391	0.293836	0.020228	10.9
