1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.385597	0.000000	1.064441	0.080115	2934.7
1	-1.407041	0.000000	1.064441	0.231563	42.8
2	-1.376546	1.000000	1.016057	0.110855	25.2
3	-1.410410	2.000000	0.971881	0.099733	26.6
4	-1.402899	1.568608	0.990458	0.095878	27.3
5	-1.363664	2.566466	0.948520	0.076945	29.9
6	-1.372950	3.437542	0.914710	0.130967	19.7
7	-1.408677	3.997048	0.894236	0.167488	24.5
8	-1.407021	4.997048	0.859838	0.143717	21.9
9	-1.409621	5.997048	0.827989	0.091046	28.0
10	-1.381118	6.997042	0.798415	0.107673	22.1
11	-1.391092	7.240942	0.791520	0.121260	22.8
12	-1.356914	8.240942	0.764451	0.148498	11.8
13	-1.378608	9.240942	0.739172	0.180659	15.5
14	-1.421370	10.240942	0.715512	0.128202	17.5
15	-1.399235	11.240942	0.693319	0.164027	16.3
16	-1.389562	12.205767	0.673174	0.132292	14.8
17	-1.392446	13.205767	0.653494	0.146493	17.6
18	-1.354281	14.205767	0.634932	0.240059	16.1
19	-1.367736	15.205767	0.617395	0.114202	16.9
20	-1.397849	16.205767	0.600801	0.171226	21.8
21	-1.400584	15.777778	0.607793	0.194918	18.4
22	-1.377295	16.777778	0.591704	0.140221	19.7
23	-1.381336	17.777778	0.576445	0.117477	17.2
24	-1.432689	18.777778	0.561953	0.205271	12.0
25	-1.394946	19.510787	0.551785	0.191952	12.6
26	-1.355670	20.510787	0.538493	0.176258	15.5
27	-1.419728	21.510787	0.525826	0.147172	14.6
28	-1.400578	22.510787	0.513741	0.101314	12.7
29	-1.447172	23.510696	0.502200	0.167221	23.2
30	-1.386520	24.510696	0.491165	0.151418	18.1
31	-1.409652	25.510696	0.480605	0.206513	16.1
32	-1.386018	26.510696	0.470489	0.157627	15.8
33	-1.425751	27.510696	0.460790	0.255182	14.2
34	-1.392755	28.510696	0.451483	0.130530	18.1
35	-1.421838	29.510696	0.442545	0.190539	18.9
36	-1.399387	29.079253	0.446358	0.168191	18.9
37	-1.405394	30.079253	0.437619	0.184132	38.8
38	-1.412074	31.079253	0.429216	0.231311	30.1
39	-1.411537	32.079253	0.421130	0.231550	13.4
40	-1.410582	33.079253	0.413343	0.194128	16.2
41	-1.377011	34.079253	0.405838	0.221706	19.6
42	-1.432475	35.079253	0.398601	0.186010	18.2
43	-1.411740	36.079253	0.391618	0.235104	14.3
44	-1.377475	37.079253	0.384875	0.144797	19.0
45	-1.391214	38.079253	0.378361	0.205267	17.9
46	-1.413114	39.079253	0.372063	0.279373	13.4
47	-1.400791	40.079253	0.365971	0.167920	18.2
48	-1.369244	41.079253	0.360076	0.176530	15.2
49	-1.393149	41.642532	0.356838	0.218639	13.2
50	-1.435484	42.642532	0.351231	0.193688	18.7
51	-1.387389	43.642532	0.345798	0.228070	16.1
52	-1.371347	44.642532	0.340530	0.213618	14.7
53	-1.373275	45.642532	0.335420	0.226927	20.3
54	-1.376089	46.642532	0.330462	0.176891	17.6
55	-1.397839	47.642532	0.325647	0.202471	17.8
56	-1.397030	48.642532	0.320971	0.257739	20.8
57	-1.396381	49.642532	0.316428	0.155530	61.4
58	-1.425804	50.642532	0.312011	0.246265	67.2
59	-1.360791	51.642532	0.307716	0.105924	41.6
60	-1.400678	52.642532	0.303537	0.154560	38.1
61	-1.374623	52.211088	0.305326	0.167264	16.8
62	-1.394464	53.211088	0.301212	0.274283	25.4
63	-1.393136	54.211088	0.297207	0.256766	14.2
64	-1.383474	55.211088	0.293307	0.161885	20.1
65	-1.398459	56.211088	0.289508	0.220382	17.7
66	-1.374991	57.211088	0.285807	0.192559	12.2
67	-1.384395	58.211088	0.282199	0.114736	16.8
68	-1.403701	59.211067	0.278681	0.233140	16.6
69	-1.403271	60.211067	0.275249	0.105415	17.8
70	-1.393380	61.211067	0.271901	0.203523	23.7
71	-1.364868	60.779623	0.273335	0.153320	21.8
72	-1.385049	61.779623	0.270033	0.135296	18.0
73	-1.447768	62.779623	0.266810	0.192989	13.9
74	-1.407708	63.779623	0.263663	0.182312	12.9
75	-1.413650	64.779623	0.260589	0.176365	17.6
76	-1.425542	65.779623	0.257587	0.212635	13.0
