1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.273713	0.000000	747.388029	0.014087	7884.6
1	-1.265946	0.000000	747.388029	0.012746	52.2
2	-1.265561	1.000000	713.415846	0.014019	47.4
3	-1.265385	2.000000	682.397766	0.013070	49.7
4	-1.273731	3.000000	653.964526	0.012427	46.1
5	-1.261509	4.000000	627.805945	0.011076	47.4
6	-1.277536	3.200000	648.559860	0.013045	49.6
7	-1.260789	4.200000	622.823358	0.011518	130.2
8	-1.255839	3.400000	643.243796	0.012226	108.3
9	-1.242383	4.400000	617.919237	0.011997	101.5
10	-1.273492	5.400000	594.513205	0.013427	117.1
11	-1.258349	6.399195	572.832467	0.012053	53.0
12	-1.271656	7.399195	552.661738	0.011969	42.4
13	-1.262466	8.399195	533.863205	0.011665	45.0
14	-1.260503	9.399195	516.301451	0.016510	45.2
15	-1.259275	10.398876	499.863396	0.013586	43.0
16	-1.258547	11.398876	484.434978	0.011688	43.5
17	-1.243982	12.398876	469.930449	0.013572	46.8
18	-1.241963	11.598876	481.462882	0.013755	42.4
19	-1.262136	10.798876	493.575584	0.013167	44.5
20	-1.250299	11.798876	478.527032	0.012384	45.0
21	-1.260515	12.798876	464.368957	0.014553	42.0
22	-1.266253	11.998876	475.626770	0.013278	43.6
23	-1.248200	11.198876	487.443996	0.012453	43.1
24	-1.261312	12.198876	472.761451	0.011126	44.1
25	-1.234060	13.198876	458.937562	0.011035	42.5
26	-1.265051	14.198876	445.899147	0.012587	43.2
27	-1.264737	15.198876	433.581108	0.013208	41.4
28	-1.262752	16.198876	421.925350	0.012600	44.2
29	-1.237462	17.198876	410.879859	0.012622	48.0
30	-1.252385	16.398876	419.668997	0.013508	43.4
31	-1.256118	15.598876	428.842371	0.013260	46.0
32	-1.295709	16.450559	419.089836	0.013310	48.4
33	-1.257168	17.450559	408.190389	0.014353	47.9
34	-1.256621	18.450559	397.843504	0.013101	52.4
35	-1.238059	19.450559	388.008201	0.012947	50.7
