1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.840818	0.000000	3.147624	0.019807	2951.7
1	-0.856340	0.000000	3.147624	0.029712	9.7
2	-0.848424	0.000000	3.147624	0.037153	9.5
3	-0.871905	0.999495	3.004619	0.025735	14.4
4	-0.858310	1.999486	2.873981	0.020831	10.4
5	-0.840621	2.977704	2.756732	0.022390	10.4
6	-0.837990	3.501744	2.697771	0.015427	9.8
7	-0.867323	3.346209	2.715006	0.024337	12.2
8	-0.862312	3.544078	2.693118	0.026794	11.7
9	-0.870448	4.543039	2.587793	0.024777	10.2
10	-0.832724	5.542627	2.490337	0.018334	11.4
11	-0.853701	6.501326	2.403524	0.026211	11.8
12	-0.832298	7.105415	2.351863	0.029161	11.4
13	-0.843205	8.105347	2.271064	0.015363	10.7
14	-0.851086	8.952375	2.206840	0.015329	13.9
15	-0.851005	8.635557	2.230432	0.020473	12.1
16	-0.862216	8.501768	2.240547	0.025473	10.3
17	-0.855896	9.307951	2.180949	0.016467	10.5
18	-0.829683	10.010174	2.131562	0.019493	12.9
19	-0.849878	9.690856	2.153739	0.017576	11.6
20	-0.849925	9.691691	2.153680	0.022834	10.4
21	-0.864877	10.431349	2.102999	0.025125	20.5
22	-0.852773	11.425101	2.038547	0.023637	18.8
23	-0.850636	12.410053	1.978449	0.013765	22.9
24	-0.873849	12.206597	1.990571	0.022279	20.9
25	-0.867470	11.951963	2.005953	0.017158	23.1
26	-0.839803	11.632915	2.025565	0.015475	15.4
27	-0.882541	11.345190	2.043583	0.025659	20.2
28	-0.846453	11.493300	2.034268	0.013788	32.5
29	-0.889761	12.297212	1.985154	0.015818	35.0
30	-0.851303	12.018033	2.001939	0.018538	19.9
31	-0.867351	11.916470	2.008116	0.024690	24.0
32	-0.848628	12.848106	1.952845	0.017322	18.7
33	-0.865488	12.614681	1.966406	0.019291	12.7
34	-0.863601	13.092390	1.938852	0.016544	14.1
35	-0.881244	12.915719	1.948952	0.020630	12.5
36	-0.862939	12.885474	1.950691	0.017847	12.4
37	-0.862144	13.531821	1.914179	0.018278	12.2
38	-0.864443	13.223823	1.931406	0.012049	11.7
39	-0.868099	13.055521	1.940951	0.021686	11.2
40	-0.870164	12.835045	1.953599	0.016859	10.5
41	-0.842899	13.026726	1.942593	0.019324	13.6
42	-0.871940	13.130304	1.936698	0.014048	11.8
43	-0.869827	12.966615	1.946031	0.016092	10.2
44	-0.860730	12.717360	1.960417	0.012834	10.9
45	-0.860203	12.519810	1.971971	0.014394	13.0
46	-0.872728	12.283117	1.985995	0.013631	10.3
47	-0.879284	12.190540	1.991534	0.015360	10.6
48	-0.842885	11.971089	2.004790	0.023141	11.0
49	-0.863876	12.052874	1.999829	0.030628	12.4
50	-0.890765	13.043591	1.941631	0.023140	12.6
51	-0.849418	14.042901	1.886262	0.019217	10.9
52	-0.857128	14.125108	1.881847	0.018790	14.1
53	-0.853492	14.941242	1.839115	0.019681	22.1
54	-0.845001	14.751709	1.848865	0.021987	21.6
55	-0.861887	15.093609	1.831352	0.011956	22.6
56	-0.857016	14.904369	1.841004	0.015394	28.4
57	-0.863116	14.612928	1.856070	0.014565	25.4
58	-0.881788	14.329250	1.870974	0.016975	21.0
59	-0.850394	14.503990	1.861765	0.010587	30.3
60	-0.855680	14.413144	1.866541	0.017362	33.5
61	-0.841783	14.201737	1.877751	0.016332	26.8
62	-0.864181	14.073264	1.884629	0.012662	18.8
63	-0.846530	13.802734	1.899279	0.014772	13.7
64	-0.846190	13.679895	1.906006	0.015901	10.1
65	-0.851169	13.459497	1.918197	0.023444	10.7
66	-0.846877	14.348233	1.869969	0.019558	14.1
67	-0.847722	15.208464	1.825543	0.013231	11.4
68	-0.873269	15.249177	1.823492	0.016748	11.3
69	-0.862261	15.260195	1.822938	0.024007	13.4
70	-0.857702	16.148729	1.779337	0.018651	12.3
71	-0.843229	15.918572	1.790429	0.028882	11.6
72	-0.850342	16.674205	1.754519	0.016824	11.8
73	-0.882669	17.507342	1.716558	0.015615	12.6
74	-0.873438	17.527758	1.715649	0.020058	11.5
75	-0.875257	18.063985	1.692098	0.029353	12.0
76	-0.866088	19.060063	1.650025	0.020795	12.9
77	-0.886536	20.059585	1.609858	0.014606	11.3
78	-0.860206	20.891012	1.577906	0.020413	10.7
79	-0.875768	21.307802	1.562362	0.014393	13.2
80	-0.864023	21.109498	1.569719	0.017475	11.3
81	-0.859322	20.939441	1.576084	0.017423	11.1
82	-0.843486	21.210605	1.565959	0.019178	10.4
83	-0.854466	20.935185	1.576244	0.011239	12.8
84	-0.875217	20.684753	1.585714	0.018509	12.0
85	-0.856793	20.510723	1.592362	0.015842	11.4
86	-0.863801	21.123227	1.569208	0.014595	11.1
87	-0.871830	20.965970	1.575088	0.013942	14.3
88	-0.889814	21.307741	1.562364	0.017835	10.8
89	-0.884963	21.443889	1.557352	0.015074	10.6
90	-0.858730	21.142844	1.568477	0.010660	14.3
91	-0.855412	21.016610	1.573190	0.013278	13.5
92	-0.869838	20.769322	1.582503	0.017333	15.8
93	-0.868885	20.477558	1.593635	0.024837	13.8
94	-0.863073	20.548782	1.590903	0.015493	10.1
95	-0.875837	21.457690	1.556846	0.016192	11.4
96	-0.862635	21.147865	1.568290	0.011752	10.3
97	-0.875956	20.877866	1.578402	0.015940	11.8
98	-0.891246	20.594908	1.589139	0.029609	11.3
99	-0.859124	20.352038	1.598472	0.021160	10.5
100	-0.880579	21.164755	1.567662	0.012321	10.8
101	-0.864443	21.301604	1.562591	0.019572	12.9
102	-0.874914	21.295946	1.562800	0.013587	12.7
103	-0.870588	21.057204	1.571671	0.020817	11.7
104	-0.866581	21.267112	1.563866	0.027944	10.3
105	-0.865351	20.945294	1.575864	0.024393	13.5
106	-0.860310	21.944938	1.539182	0.019246	12.4
107	-0.869249	21.764657	1.545671	0.015981	11.0
108	-0.872303	22.544244	1.517998	0.017297	15.1
109	-0.865891	22.401765	1.522982	0.012652	18.5
110	-0.874921	22.609745	1.515718	0.017832	25.3
111	-0.855606	22.336037	1.525292	0.014781	29.9
112	-0.847691	22.049854	1.535431	0.014077	36.4
113	-0.869299	22.021083	1.536458	0.023466	32.6
114	-0.891460	22.363010	1.524343	0.022241	31.7
115	-0.880552	22.049980	1.535427	0.014063	14.6
116	-0.875275	22.543317	1.518031	0.010686	19.9
117	-0.858140	22.317710	1.525937	0.020686	20.4
118	-0.873757	22.030310	1.536129	0.019542	24.5
119	-0.856940	21.713249	1.547531	0.025124	21.2
120	-0.860201	22.705266	1.512406	0.019940	25.9
121	-0.857255	22.740719	1.511180	0.018676	21.2
122	-0.867441	22.778952	1.509860	0.021478	24.9
123	-0.867916	23.575573	1.482877	0.014994	23.8
124	-0.852593	23.292899	1.492341	0.014019	26.5
125	-0.871228	23.366052	1.489880	0.021698	19.5
126	-0.872832	23.930622	1.471159	0.013860	19.3
127	-0.882112	24.829418	1.442307	0.015243	18.4
128	-0.851114	25.020050	1.436333	0.012495	14.0
129	-0.871385	24.896824	1.440189	0.014153	28.2
130	-0.869924	24.711448	1.446029	0.012777	25.2
131	-0.867263	24.473494	1.453596	0.018270	16.5
132	-0.867785	24.483679	1.453271	0.014114	14.2
133	-0.868481	24.429658	1.454999	0.012564	10.9
134	-0.882077	24.227726	1.461495	0.020096	11.9
135	-0.879402	24.701420	1.446347	0.022225	12.1
