1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.875545	0.000000	3499.434875	0.004612	46658.8
1	-0.881785	0.000000	3499.434875	0.006556	33.2
2	-0.869031	1.000000	3340.369653	0.006497	27.1
3	-0.869896	2.000000	3195.136190	0.004685	22.8
4	-0.867106	3.000000	3062.005516	0.007394	22.4
5	-0.890464	2.193510	3168.478211	0.005502	34.3
6	-0.868763	3.193510	3037.514239	0.004298	25.1
7	-0.877963	2.256357	3159.915959	0.006078	25.3
8	-0.861327	3.256357	3029.644294	0.005388	24.6
9	-0.858466	4.256356	2909.688651	0.004350	27.3
10	-0.862462	5.256301	2798.876094	0.004613	35.5
11	-0.868154	4.319123	2902.475470	0.005544	27.0
12	-0.868937	5.319123	2792.195370	0.005431	24.8
13	-0.865525	6.319123	2689.988743	0.005684	23.7
14	-0.882425	7.319123	2595.000322	0.005573	31.7
15	-0.862777	6.381945	2683.817148	0.005153	32.5
16	-0.868606	5.444767	2778.929145	0.004026	23.3
17	-0.864102	5.328992	2791.148772	0.006134	25.7
18	-0.861250	6.328992	2689.017350	0.004867	23.2
19	-0.859144	7.328992	2594.096309	0.004859	23.7
20	-0.853819	8.328464	2505.693183	0.003753	24.9
21	-0.884615	9.328463	2423.074750	0.005084	25.6
22	-0.883491	10.328463	2345.730554	0.004585	34.7
23	-0.864900	11.327970	2273.205941	0.006642	28.0
24	-0.839137	12.327970	2204.998787	0.005842	26.0
25	-0.877190	13.327969	2140.765497	0.003566	25.5
26	-0.859342	14.327969	2080.168595	0.005070	26.9
27	-0.859546	15.309814	2023.919266	0.005779	24.9
28	-0.852199	14.372636	2077.541867	0.005268	22.9
29	-0.833351	15.372631	2020.423902	0.004367	25.5
30	-0.851474	16.372631	1966.362310	0.006677	24.4
31	-0.839780	15.454440	2015.889740	0.005418	25.7
32	-0.860891	16.454440	1962.067290	0.005613	23.0
33	-0.881250	17.454414	1911.045425	0.006116	24.9
34	-0.862274	18.454411	1862.608773	0.005753	24.4
35	-0.836196	19.454411	1816.566606	0.005348	24.4
36	-0.860460	20.454411	1772.745779	0.005060	22.7
37	-0.879553	21.454410	1730.989350	0.003995	22.1
38	-0.859242	20.527134	1769.641321	0.004676	22.6
39	-0.861263	21.513299	1728.591620	0.005071	24.9
40	-0.863272	22.513295	1688.866181	0.005002	22.4
41	-0.871425	21.576117	1726.041209	0.005885	22.3
42	-0.871814	21.585775	1725.649762	0.005505	24.7
43	-0.854942	22.585775	1686.057721	0.005312	22.6
44	-0.861623	21.687361	1721.543114	0.005508	24.4
45	-0.869941	20.756414	1759.924424	0.004724	23.2
46	-0.859505	20.869327	1755.178240	0.004999	25.4
47	-0.863588	21.429293	1732.014075	0.006002	27.9
48	-0.844123	22.372597	1694.344758	0.004300	26.8
49	-0.876833	21.435419	1731.764036	0.005905	23.9
50	-0.857068	20.595861	1766.717413	0.004537	28.1
51	-0.859035	21.595861	1725.241144	0.005278	28.0
52	-0.882034	20.658683	1764.053176	0.006711	26.4
