1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.987592	0.000000	27.502308	0.001623	2279.3
1	-0.985972	0.000000	27.502308	0.002645	5.8
2	-0.987071	0.000000	27.502308	0.002444	6.3
3	-0.987583	0.996170	26.256774	0.001852	5.9
4	-0.987184	1.910204	25.209224	0.000896	6.6
5	-0.987162	2.146086	24.952316	0.003899	7.4
6	-0.988527	1.917515	25.201182	0.002352	6.1
7	-0.987586	2.917307	24.147721	0.001042	5.8
8	-0.987362	3.460184	23.611779	0.001847	6.0
9	-0.987548	3.291168	23.776068	0.002196	6.1
10	-0.988031	4.258218	22.865764	0.001567	5.9
11	-0.988110	5.121622	22.109977	0.001288	7.3
12	-0.987700	5.749655	21.590875	0.002307	6.6
13	-0.988117	5.909417	21.462690	0.002028	7.3
14	-0.986700	6.692335	20.855896	0.002102	6.3
15	-0.988189	7.396903	20.338431	0.001310	6.1
16	-0.987626	8.283630	19.722571	0.002855	7.4
17	-0.988998	8.085414	19.856979	0.000836	9.3
18	-0.988403	7.908599	19.978431	0.002030	5.7
19	-0.986596	8.300353	19.711314	0.001665	6.2
20	-0.987688	8.342135	19.683246	0.001926	5.9
21	-0.986909	8.230093	19.758694	0.001659	6.6
22	-0.987710	9.098951	19.188325	0.001257	5.8
23	-0.987112	9.077349	19.202106	0.001648	8.5
24	-0.986798	9.226749	19.107197	0.001049	6.2
25	-0.987538	9.344174	19.033257	0.001065	5.9
26	-0.988974	9.485149	18.945240	0.001302	6.7
27	-0.988134	9.629899	18.855709	0.001390	6.1
28	-0.987815	9.543127	18.909277	0.000906	6.8
29	-0.988740	9.753980	18.779633	0.000975	9.3
30	-0.987071	9.610193	18.867848	0.001111	6.0
31	-0.987591	9.652240	18.841966	0.002379	6.8
32	-0.988489	9.899954	18.690916	0.002320	6.0
33	-0.988292	10.499251	18.335308	0.001499	7.3
34	-0.987865	10.984030	18.057401	0.001110	5.9
35	-0.987892	11.066247	18.011103	0.001850	9.0
36	-0.987811	10.937821	18.083527	0.001119	7.4
37	-0.987744	11.569147	17.732993	0.001839	6.0
38	-0.988049	11.390665	17.830707	0.001455	5.8
39	-0.987578	12.123510	17.436209	0.001028	6.0
40	-0.988686	12.050090	17.474944	0.001850	6.1
41	-0.988374	12.327279	17.329601	0.001256	9.0
42	-0.988159	12.537367	17.221044	0.001371	5.7
43	-0.988236	12.537416	17.221019	0.001543	5.9
44	-0.987902	13.216658	16.879160	0.001183	6.3
45	-0.987390	13.195113	16.889796	0.000999	5.7
46	-0.987889	13.115426	16.929247	0.001388	6.0
47	-0.988499	13.232552	16.871323	0.001220	7.0
48	-0.987096	13.534644	16.723741	0.002407	7.0
49	-0.987429	13.339622	16.818719	0.001597	5.8
50	-0.988366	13.698065	16.644976	0.001462	7.3
51	-0.988211	13.503968	16.738610	0.000781	6.0
52	-0.987100	13.596936	16.693630	0.001560	5.9
53	-0.987431	13.425142	16.776938	0.001026	8.2
54	-0.986882	13.458689	16.760604	0.001785	6.0
55	-0.987052	13.273966	16.850937	0.001812	7.5
56	-0.986571	13.780273	16.605633	0.001317	6.2
57	-0.987859	13.940973	16.529261	0.000742	6.1
58	-0.988719	13.842106	16.576164	0.001469	6.4
59	-0.988493	14.015247	16.494199	0.001390	9.3
60	-0.987878	14.191122	16.411766	0.001151	7.1
61	-0.988098	13.998073	16.502293	0.002276	6.7
62	-0.985965	14.297631	16.362244	0.001604	5.8
63	-0.988221	14.313645	16.354824	0.001692	7.0
64	-0.987754	14.982941	16.050619	0.001625	5.8
65	-0.985549	14.949685	16.065467	0.001744	9.0
66	-0.986870	15.044680	16.023126	0.001517	6.5
67	-0.987909	14.880884	16.096272	0.000822	6.4
68	-0.987124	14.819150	16.124014	0.001969	7.2
69	-0.987822	15.147061	15.977743	0.001496	7.4
70	-0.987783	15.746123	15.717262	0.001880	12.1
71	-0.987428	16.042699	15.591425	0.001288	11.0
72	-0.987606	16.944576	15.220844	0.001738	10.3
73	-0.987851	16.771235	15.290695	0.001596	6.1
74	-0.988087	17.078133	15.167457	0.001576	8.9
75	-0.987442	16.993872	15.201095	0.001065	6.9
