1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.999893	0.000000	111.343987	0.000049	173.6
1	-0.999897	0.000000	111.343987	0.000032	2.3
2	-0.999904	0.002041	111.333168	0.000016	2.2
3	-0.999903	0.004853	111.318264	0.000014	2.3
4	-0.999894	0.005073	111.317095	0.000034	2.2
5	-0.999894	0.007055	111.306592	0.000053	2.3
6	-0.999894	0.018531	111.245821	0.000028	2.5
7	-0.999899	0.025931	111.206668	0.000018	2.2
8	-0.999890	0.029032	111.190267	0.000038	2.2
9	-0.999900	0.033148	111.168509	0.000032	2.2
10	-0.999905	0.040642	111.128915	0.000022	2.3
11	-0.999898	0.045201	111.104840	0.000016	2.3
12	-0.999892	0.044620	111.107908	0.000020	2.2
13	-0.999907	0.045304	111.104300	0.000017	2.3
14	-0.999905	0.045069	111.105537	0.000010	3.4
15	-0.999893	0.045964	111.100813	0.000010	2.4
16	-0.999912	0.046404	111.098492	0.000010	2.3
17	-0.999900	0.046906	111.095843	0.000012	2.3
18	-0.999898	0.047583	111.092267	0.000009	2.2
19	-0.999900	0.047960	111.090275	0.000008	2.2
20	-0.999895	0.047784	111.091205	0.000021	3.5
21	-0.999892	0.047235	111.094102	0.000023	2.2
22	-0.999903	0.050068	111.079154	0.000013	2.4
23	-0.999901	0.051545	111.071362	0.000008	2.3
24	-0.999910	0.051625	111.070938	0.000013	2.3
25	-0.999895	0.051590	111.071120	0.000009	2.3
26	-0.999894	0.051621	111.070957	0.000005	2.4
27	-0.999903	0.051515	111.071518	0.000016	2.3
28	-0.999894	0.051880	111.069591	0.000009	2.2
29	-0.999896	0.052327	111.067236	0.000013	4.2
30	-0.999889	0.052313	111.067309	0.000016	2.5
31	-0.999908	0.052901	111.064204	0.000010	2.2
32	-0.999899	0.052969	111.063847	0.000015	3.4
33	-0.999888	0.052804	111.064715	0.000012	2.2
34	-0.999899	0.053442	111.061354	0.000004	2.2
35	-0.999911	0.053511	111.060985	0.000010	2.3
36	-0.999894	0.053681	111.060089	0.000009	2.4
37	-0.999900	0.054085	111.057959	0.000013	2.3
38	-0.999897	0.053677	111.060112	0.000015	2.3
39	-0.999905	0.054912	111.053600	0.000009	2.4
40	-0.999900	0.055442	111.050803	0.000022	2.2
41	-0.999899	0.055548	111.050246	0.000031	2.2
42	-0.999910	0.059568	111.029046	0.000013	2.3
43	-0.999901	0.061890	111.016805	0.000014	2.3
44	-0.999906	0.062787	111.012075	0.000011	4.2
45	-0.999901	0.063248	111.009648	0.000023	2.6
46	-0.999900	0.063901	111.006204	0.000016	2.2
47	-0.999893	0.065443	110.998082	0.000008	2.3
48	-0.999892	0.065952	110.995400	0.000012	2.4
49	-0.999895	0.065939	110.995469	0.000021	2.3
50	-0.999899	0.065151	110.999617	0.000027	2.3
51	-0.999902	0.067557	110.986941	0.000009	2.3
52	-0.999906	0.067927	110.984993	0.000024	3.4
53	-0.999886	0.067995	110.984637	0.000027	2.2
54	-0.999893	0.071631	110.965485	0.000012	2.2
55	-0.999907	0.071311	110.967171	0.000030	2.3
56	-0.999909	0.071653	110.965368	0.000018	2.4
57	-0.999897	0.074731	110.949162	0.000016	2.3
58	-0.999902	0.073604	110.955094	0.000022	2.4
59	-0.999889	0.075216	110.946610	0.000011	4.4
60	-0.999902	0.076639	110.939115	0.000016	2.5
61	-0.999889	0.076676	110.938920	0.000011	2.3
62	-0.999905	0.075853	110.943257	0.000017	2.3
63	-0.999902	0.076523	110.939728	0.000015	2.2
64	-0.999888	0.075455	110.945349	0.000033	3.3
65	-0.999903	0.078201	110.930898	0.000029	2.2
66	-0.999898	0.083574	110.902626	0.000023	2.3
67	-0.999891	0.086629	110.886561	0.000020	2.2
68	-0.999910	0.088916	110.874531	0.000015	2.2
69	-0.999911	0.089389	110.872049	0.000018	2.2
70	-0.999893	0.090773	110.864773	0.000017	2.5
71	-0.999900	0.090757	110.864854	0.000007	2.3
