1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.345069	0.000000	1.089115	0.138183	2456.2
1	-1.324998	0.000000	1.089115	0.142518	10.7
2	-1.344550	1.000000	1.039609	0.109149	10.5
3	-1.324893	1.999836	0.994416	0.146621	12.2
4	-1.343711	2.991942	0.953295	0.104683	10.7
5	-1.334311	2.578772	0.970000	0.116133	12.0
6	-1.359833	3.578770	0.930535	0.131641	10.6
7	-1.341874	4.576682	0.894229	0.098965	13.8
8	-1.356444	5.575923	0.860606	0.135302	10.5
9	-1.333762	5.162751	0.874197	0.145838	11.7
10	-1.354756	6.162751	0.842014	0.182009	13.0
11	-1.334808	7.162751	0.812115	0.168651	10.8
12	-1.309973	8.162751	0.784268	0.118432	10.9
13	-1.316884	9.162751	0.758267	0.121256	10.8
14	-1.365866	8.749579	0.768798	0.171468	12.7
15	-1.351092	9.749579	0.743796	0.121380	12.2
16	-1.336449	10.749579	0.720369	0.131532	10.9
17	-1.349183	11.749556	0.698373	0.161396	11.1
18	-1.351883	12.749556	0.677680	0.143838	12.3
19	-1.328665	13.748403	0.658200	0.142245	11.8
20	-1.387321	14.748403	0.639788	0.172783	10.8
21	-1.368843	15.748402	0.622378	0.097843	12.3
22	-1.381444	16.748396	0.605891	0.109160	12.2
23	-1.356337	17.748355	0.590255	0.089344	10.9
24	-1.381078	18.747563	0.575417	0.108181	11.0
25	-1.352438	18.551345	0.578271	0.119837	13.3
26	-1.354676	19.550734	0.564020	0.153968	12.0
27	-1.350401	20.531433	0.550701	0.120689	11.2
28	-1.342286	21.531433	0.537753	0.176566	12.2
29	-1.321032	22.531126	0.525403	0.083653	12.0
30	-1.355205	23.531117	0.513605	0.186368	10.9
31	-1.364442	24.509284	0.502566	0.088508	11.0
32	-1.373377	25.273417	0.494267	0.087778	13.3
33	-1.384468	26.247278	0.484079	0.146059	11.9
34	-1.359087	27.041848	0.476073	0.155007	10.7
35	-1.336142	28.041848	0.466365	0.109613	12.7
36	-1.346559	27.944617	0.467292	0.139098	11.9
37	-1.333515	27.544377	0.471144	0.154192	12.5
38	-1.345105	27.131212	0.475189	0.134536	11.7
39	-1.368863	28.131212	0.465517	0.158962	12.2
40	-1.359874	29.131212	0.456231	0.193519	12.5
41	-1.347821	30.131212	0.447308	0.139255	10.8
42	-1.362950	31.131212	0.438728	0.250931	14.1
43	-1.337713	32.131212	0.430470	0.131660	10.8
44	-1.334419	33.130937	0.422520	0.118906	11.6
45	-1.381344	34.130907	0.414856	0.139241	12.5
46	-1.357265	35.130907	0.407465	0.122732	10.6
47	-1.385415	36.130907	0.400333	0.195298	12.1
48	-1.341068	37.130907	0.393447	0.112902	10.7
49	-1.349834	38.130907	0.386793	0.134588	14.6
50	-1.351691	37.717756	0.389514	0.128349	10.8
51	-1.330040	38.717750	0.382992	0.127672	15.9
52	-1.349665	39.717750	0.376684	0.161103	17.5
53	-1.310810	40.717750	0.370581	0.180213	14.3
54	-1.375524	41.717750	0.364672	0.069563	17.0
55	-1.371738	42.717303	0.358951	0.204768	15.4
56	-1.365761	42.304132	0.361294	0.216997	14.5
57	-1.369079	43.304132	0.355676	0.159125	16.7
58	-1.322174	44.304132	0.350229	0.133764	16.3
59	-1.341660	44.199282	0.350792	0.298476	15.9
60	-1.305589	45.199282	0.345493	0.128156	16.9
61	-1.372428	46.199282	0.340352	0.152150	16.1
62	-1.361031	45.786111	0.342458	0.211604	16.9
63	-1.347503	46.744633	0.337612	0.104162	16.9
64	-1.360005	47.744633	0.332701	0.250362	16.3
65	-1.343687	47.331464	0.334713	0.145274	16.5
66	-1.367083	48.330854	0.329888	0.124755	17.2
67	-1.351499	49.330854	0.325197	0.116893	17.5
68	-1.358027	48.923203	0.327093	0.111737	12.9
69	-1.313729	48.510032	0.329037	0.127660	12.8
70	-1.372045	49.510032	0.324371	0.215845	12.1
71	-1.354062	50.510032	0.319835	0.161477	10.7
72	-1.392618	51.510032	0.315424	0.223580	11.4
73	-1.343735	52.510032	0.311133	0.172699	13.6
74	-1.352281	53.510032	0.306957	0.145926	11.0
75	-1.353226	54.510032	0.302892	0.176161	10.8
76	-1.377957	55.510032	0.298933	0.172097	12.7
77	-1.362088	56.510032	0.295077	0.164746	12.0
78	-1.338820	57.510032	0.291318	0.164234	10.9
79	-1.383544	58.510032	0.287654	0.210455	10.9
80	-1.341264	59.510032	0.284081	0.149353	13.9
81	-1.353599	60.510031	0.280596	0.148176	10.7
82	-1.336331	61.510028	0.277195	0.186669	10.7
83	-1.356309	62.510028	0.273876	0.146747	13.4
84	-1.358572	63.510028	0.270635	0.174662	13.5
85	-1.376820	64.510028	0.267470	0.241928	11.5
86	-1.364867	65.510028	0.264379	0.170562	15.2
87	-1.335660	66.510028	0.261358	0.097480	13.8
88	-1.361299	67.510028	0.258405	0.110206	11.8
89	-1.332297	67.515447	0.258389	0.272238	12.8
90	-1.341854	68.515447	0.255502	0.116625	11.9
91	-1.349145	69.515447	0.252680	0.195932	13.4
92	-1.342861	69.102276	0.253838	0.151884	13.0
93	-1.340583	70.102276	0.251052	0.085961	13.3
94	-1.349120	71.102276	0.248326	0.162959	11.4
95	-1.360431	70.689105	0.249445	0.235925	12.7
96	-1.320630	71.689105	0.246754	0.130060	11.7
97	-1.331091	72.689105	0.244120	0.242519	13.3
98	-1.369051	73.689105	0.241542	0.117208	11.3
99	-1.386655	74.689105	0.239018	0.178823	14.3
100	-1.351475	74.324062	0.239933	0.124704	13.8
101	-1.347654	75.324060	0.237442	0.165308	11.3
102	-1.374924	76.324060	0.235003	0.192387	15.8
103	-1.369468	77.324060	0.232612	0.194822	11.7
104	-1.378705	78.324060	0.230271	0.066087	11.0
105	-1.371058	78.666319	0.229480	0.155558	14.3
106	-1.379224	78.253215	0.230435	0.237011	13.5
107	-1.376583	77.840043	0.231398	0.219133	12.4
108	-1.347759	78.840043	0.229080	0.232717	13.5
109	-1.346492	79.840043	0.226809	0.182077	13.0
110	-1.358037	80.840043	0.224582	0.266267	11.2
111	-1.354737	81.840043	0.222398	0.142679	14.9
112	-1.288585	82.840043	0.220256	0.233255	10.9
113	-1.351047	83.840043	0.218155	0.204150	10.7
114	-1.349225	84.840043	0.216094	0.136475	12.7
115	-1.346172	85.840043	0.214071	0.204650	11.9
116	-1.342212	85.426876	0.214903	0.111843	10.5
117	-1.347444	86.426876	0.212902	0.236687	11.0
118	-1.319793	87.426876	0.210939	0.125563	14.9
119	-1.357500	87.013705	0.211745	0.215042	11.6
120	-1.373321	88.013705	0.209803	0.195724	11.2
121	-1.332214	89.013705	0.207896	0.121222	13.8
122	-1.340721	90.013705	0.206023	0.147630	13.2
