1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.115425	0.000000	5.077958	0.031350	3284.5
1	-1.142138	0.000000	5.077958	0.028117	4.6
2	-1.138845	0.000000	5.077958	0.025410	5.4
3	-1.091332	0.000000	5.077958	0.024527	6.6
4	-1.154805	0.000000	5.077958	0.021325	4.2
5	-1.161575	0.000000	5.077958	0.020368	5.9
6	-1.152821	0.000000	5.077958	0.020240	7.3
7	-1.179444	0.000000	5.077958	0.025519	4.5
8	-1.121175	0.000000	5.077958	0.024161	5.2
9	-1.128959	0.000000	5.077958	0.027699	7.7
10	-1.115396	0.000000	5.077958	0.029298	5.7
11	-1.159433	0.000000	5.077958	0.025700	11.5
12	-1.192111	0.000000	5.077958	0.026869	12.4
13	-1.135207	0.000000	5.077958	0.023157	13.3
14	-1.175266	0.000000	5.077958	0.027683	11.7
15	-1.182475	0.000000	5.077958	0.038765	14.8
16	-1.166512	1.000000	4.847142	0.031714	15.4
17	-1.188365	2.000000	4.636397	0.019594	14.0
18	-1.149286	1.893298	4.658006	0.036399	10.4
19	-1.148637	1.786595	4.679818	0.030127	12.5
20	-1.155134	2.786595	4.483076	0.024031	12.8
21	-1.206357	2.679893	4.503277	0.019056	15.8
22	-1.197540	2.573190	4.523661	0.025371	12.0
23	-1.144307	2.466488	4.544230	0.028636	18.6
24	-1.182078	3.448341	4.361733	0.027972	11.0
25	-1.188405	4.448341	4.190337	0.031032	8.8
26	-1.166372	5.448341	4.031902	0.025768	11.2
27	-1.135212	5.341638	4.048234	0.027205	11.1
28	-1.143953	5.689417	3.995483	0.023064	10.0
29	-1.187024	5.582715	4.011521	0.025520	10.4
30	-1.153996	5.476013	4.027688	0.027407	13.0
31	-1.208971	6.360519	3.897482	0.030835	12.5
32	-1.210749	7.359478	3.760194	0.023391	12.8
33	-1.162410	7.252776	3.774395	0.025674	15.7
34	-1.142982	7.146073	3.788703	0.029552	17.0
35	-1.177631	7.039371	3.803121	0.024298	16.2
36	-1.186860	6.932668	3.817649	0.020423	10.0
37	-1.154073	6.825966	3.832288	0.026478	11.7
38	-1.170605	6.719263	3.847040	0.024738	8.2
39	-1.192912	6.612561	3.861906	0.023538	14.2
40	-1.198981	6.505859	3.876888	0.021943	9.5
41	-1.207473	6.399156	3.891986	0.021719	10.0
42	-1.162507	6.292454	3.907202	0.025453	30.5
43	-1.223623	6.185751	3.922537	0.024541	10.9
44	-1.183745	6.079049	3.937994	0.023919	14.2
45	-1.205662	5.972346	3.953572	0.018892	11.2
46	-1.203739	5.865644	3.969275	0.018936	6.4
47	-1.164002	5.758941	3.985103	0.024216	6.5
48	-1.174064	5.652239	4.001057	0.026506	6.3
49	-1.170634	5.545546	4.017138	0.021139	4.5
50	-1.207466	5.438843	4.033351	0.027621	7.2
51	-1.175473	5.332141	4.049694	0.021998	5.9
52	-1.177555	5.225439	4.066171	0.025061	4.6
53	-1.205618	5.118736	4.082783	0.021678	6.4
54	-1.186675	5.012034	4.099530	0.025652	4.9
55	-1.247918	4.905331	4.116416	0.022456	5.4
56	-1.199152	4.798629	4.133442	0.020557	6.1
57	-1.213090	4.691926	4.150608	0.024605	4.2
58	-1.178791	4.585224	4.167918	0.028413	4.5
59	-1.224545	4.490060	4.183479	0.018946	6.2
60	-1.180123	4.383358	4.201065	0.022452	4.4
61	-1.223443	4.276656	4.218799	0.021665	4.6
62	-1.185791	4.169953	4.236684	0.021826	6.4
63	-1.243137	4.063251	4.254720	0.020594	4.6
64	-1.264931	3.956548	4.272912	0.021586	4.2
65	-1.196677	3.849846	4.291259	0.025309	4.2
66	-1.183786	3.743143	4.309765	0.029198	4.6
67	-1.238004	3.636441	4.328431	0.026399	6.1
68	-1.228018	3.529739	4.347259	0.022143	5.2
69	-1.218562	3.423036	4.366252	0.021810	4.3
70	-1.241476	3.316334	4.385411	0.022291	4.7
71	-1.183727	3.209631	4.404740	0.025678	4.2
72	-1.254498	3.102929	4.424239	0.030889	6.6
73	-1.216871	3.029118	4.437829	0.027023	5.2
74	-1.225170	3.275954	4.392706	0.027859	4.4
75	-1.208609	3.169252	4.412099	0.026294	6.9
76	-1.252126	3.062550	4.431664	0.019463	5.5
77	-1.223949	2.955847	4.451403	0.021319	4.3
78	-1.231355	2.849145	4.471319	0.028170	5.2
79	-1.210494	2.742442	4.491413	0.024778	4.5
80	-1.257019	2.635881	4.511663	0.030491	6.7
81	-1.230455	2.529179	4.532123	0.028121	5.5
82	-1.271948	2.422476	4.552769	0.030229	6.1
83	-1.259493	2.315774	4.573604	0.026204	4.1
84	-1.236184	2.209071	4.594631	0.022638	6.5
85	-1.242106	2.102369	4.615852	0.020326	6.6
86	-1.252919	1.995666	4.637270	0.027595	6.9
87	-1.237354	1.888964	4.658888	0.028672	11.5
88	-1.240734	2.174616	4.601462	0.035727	12.4
