1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.662329	627.201626	0.006406	2276.7
1	-0.748257	623.504937	0.005497	19.7
2	-0.747309	619.865785	0.007065	19.0
3	-0.782864	616.282728	0.004911	17.0
4	-0.688353	612.754375	0.007965	20.0
5	-0.837698	609.279381	0.004123	18.7
6	-0.381447	605.856447	0.009231	16.6
7	-0.599180	602.484317	0.005254	17.1
8	-0.795358	599.161779	0.004874	20.7
9	-1.205808	595.887656	0.021045	19.4
10	-0.905758	592.660813	0.004241	17.3
11	-0.331379	589.480151	0.005618	18.6
12	-0.000005	586.344606	0.000006	16.5
13	-0.494440	583.253145	0.004388	18.5
14	-0.782856	580.204771	0.004098	17.4
15	-0.852801	577.198517	0.006940	17.9
16	-0.601881	574.233444	0.003912	16.6
17	-0.272267	571.308645	0.004211	17.4
18	-0.000806	568.423237	0.000090	17.4
19	-0.994073	565.576365	0.009182	17.0
20	-0.120130	562.767201	0.004202	16.7
21	-0.665869	559.994938	0.005013	17.3
22	-0.040396	557.258797	0.000932	18.0
23	-0.530738	554.558018	0.005281	18.4
24	-0.071043	551.891865	0.002096	20.6
25	-0.503490	549.259621	0.004350	18.5
26	-0.296807	546.660592	0.004450	17.7
27	-1.100807	544.094102	0.018936	17.1
28	-0.796158	541.559494	0.006320	18.2
29	-0.073981	539.056129	0.003587	17.4
30	-0.697305	536.583387	0.006118	17.0
31	-0.244902	534.140663	0.003945	17.3
32	-0.318803	531.727370	0.003434	19.3
33	-0.302309	529.342935	0.010015	18.3
34	-0.944552	526.986802	0.006907	25.4
35	-0.299760	524.658430	0.003228	23.7
36	-0.866963	522.357290	0.010002	22.9
37	-0.510972	520.082868	0.004305	23.0
38	-0.569547	517.834665	0.004999	17.1
39	-0.700713	515.612193	0.003038	20.0
40	-0.757656	513.414976	0.006220	18.2
41	-0.750981	511.242551	0.006266	19.5
42	-0.336682	509.094468	0.004580	18.8
43	-0.069383	506.970285	0.001601	18.2
44	-0.826925	504.869574	0.006401	15.5
45	-0.191564	502.791916	0.003925	17.4
46	-0.963793	500.736903	0.005345	18.8
47	-0.803896	498.704137	0.003973	18.6
48	-0.076847	496.693228	0.002422	21.3
49	-0.228330	494.703798	0.002406	18.9
50	-0.567853	492.735476	0.004830	19.4
51	-0.713629	490.787900	0.006852	18.3
52	-0.000002	488.860718	0.000002	16.4
53	-0.456560	486.953585	0.004739	20.9
54	-0.820502	485.066164	0.004357	18.3
55	-0.760898	483.198126	0.016681	17.6
56	-1.063165	481.349149	0.018703	18.4
57	-1.093639	479.518920	0.016602	18.5
58	-0.254115	477.707132	0.007687	20.0
59	-0.004956	475.913485	0.000625	15.9
60	-0.815596	474.137684	0.009023	18.0
61	-0.995673	472.379445	0.018395	15.6
62	-0.750458	470.638485	0.005441	19.4
63	-0.408665	468.914531	0.003295	19.6
64	-0.468839	467.207315	0.004902	17.7
65	-0.797350	465.516573	0.003858	18.7
66	-0.698404	463.842050	0.005124	18.8
67	-0.688989	462.183494	0.007201	18.6
68	-0.557807	460.540658	0.004855	18.9
69	-0.380792	458.913303	0.003769	19.8
70	-0.099128	457.301192	0.002774	18.6
71	-0.787807	455.704096	0.005015	18.5
72	-0.853192	454.121787	0.013508	19.8
73	-0.762963	452.554045	0.009803	19.1
74	-0.489662	451.000653	0.004767	19.7
75	-0.752676	449.461399	0.005731	18.7
76	-0.753257	447.936075	0.013176	18.6
77	-0.675113	446.424477	0.006863	19.3
78	-0.292755	444.926406	0.004993	17.9
79	-0.177816	443.441666	0.002225	18.0
80	-0.640807	441.970065	0.004253	18.5
81	-1.132896	440.511415	0.013029	18.4
82	-1.198576	439.065533	0.014037	18.5
83	-0.812683	437.632238	0.004210	15.9
84	-0.823530	436.211351	0.004544	23.2
85	-0.403977	434.802701	0.009707	18.4
86	-0.087659	433.406117	0.002463	17.8
87	-0.105684	432.021430	0.002144	18.0
88	-1.127752	430.648479	0.015428	21.6
89	-0.101953	429.287101	0.002870	18.1
90	-0.052975	427.937140	0.002192	19.0
91	-0.461250	426.598440	0.004119	17.2
92	-0.479089	425.270849	0.005740	18.0
